irlfkqnjnd,umonmkdxzz,rkyorlfgjm,mvyjjsvpse,qjbxddparz,lpcqeiwtsf
mnhqqxbysx,-819,dOG,0.1855,cAT,0.231
-0.209,300,-0.2945,878,ztmhhnhsgc,0.0765
uuklhvspwp,qbbxqdgnjg,507,500,cAt,0.065
-0.004,-358,0.07,caT,-0.248,-174
-43,cat,0.453,123,0.0965,cat
-937,-257,dOg,DoG,Dog,-784
mwwjiwjfip,DOg,rcvfnomnfa,DOg,-957,ybxdctlctd
82,evfzypdwov,-0.352,-965,0.443,-0.021
0.431,-97,-0.0675,exmkicgqud,-32,0.3975
zvzyngxrsr,400,-0.02,iuycxjkzlb,517,534
0.071,CAt,Cat,0.3245,-0.4215,-0.149
lgiwunkwzz,Dog,cAt,469,-0.4235,jcfhpsaqmm
mhexjmlqlz,-0.197,0.378,-0.3615,-0.0285,Dog
smmbbyaxub,0.492,rchxnsyvug,dOg,cqfavlphxs,uqzsvckyzd
579,ttjybdurnr,fwdphlcxan,0.3165,-0.3035,dOg
crjafxamlm,nugwgokrto,ifratvvggq,jqcnbycfeb,qgdlgoqhlc,cAt
0.0905,rvusgzbdop,-0.382,-0.298,-0.302,DoG
