qqrqszwyqt,ncoxdvgqkb,pEt
-0.4225,-0.372,-0.281
-704,0.4335,yiojqslcby
CaT,vydiblnhbe,qimywwcrxm
-0.122,0.3355,dog
jqfxjbavyo,0.2105,dOG
-559,cAt,-562
-0.4255,113,DOG
424,720,dog
-653,gmkosjwwqj,-965
789,0.458,DoG
-375,-722,Cat
dog,-770,Cat
cAt,caT,Cat
tckmelwpxl,-0.011,cat
0.4465,cAt,Dog
0.235,523,CAT
yuxgzmszck,odbsbzrvsp,cAT
-0.431,-125,DOG
-621,-0.201,92
cAt,cAt,cAT
zcorxdubkj,hddbcjoavx,cAT
-693,-868,CaT
-0.2825,-0.348,-454
0.0035,-719,saoderxyyb
0.4265,szeccmcyca,0.129
0.3475,gwrykvfksk,DOG
0.004,139,-845
izcsmtnupd,-25,DoG
trhpuibrqk,0.3195,Dog
lxzyifafyz,-0.3995,dog
0.0955,0.16,cat
-0.418,DOG,900
-0.1395,-0.1365,-239
-329,-687,206
uhwqtseqpm,htgeooquxs,DOG
-196,-0.294,-0.074
cAt,0.3895,CAT
caT,CAT,0.034
CAT,Dog,-0.303
nnzlgktwvt,9,doG
0.078,511,dOG
stbjrvclxc,0.3305,wtrfzdumcy
529,-0.3085,CAt
-927,120,Cat
DOg,qincakdzco,DoG
0.4645,rmwwfgszlv,cAt
877,0.4195,caT
0.3225,-884,-0.143
-0.134,0.037,cAT
-0.2285,0.0935,pauduzkdhr
-49,0.484,DOg
sdcwdfrfaf,-0.224,dOG
jzyvtsshks,doG,-0.4255
pyauauweie,-0.268,caT
DOG,lphenfzcpw,-534
DoG,0.0945,cAT
-106,CaT,cAt
fkpfjynbug,-0.4345,-628
985,DoG,dOG
0.39,-219,dOG
0.2085,jppyawuuso,Cat
264,wwrswvkbhx,lduslwliro
dog,0.4745,atmapjdqmu
-0.359,DOG,cAt
0.3555,-326,CAT
CaT,738,cAT
-359,cAT,cAT
957,dananudrsb,iljrmsjapi
opvdvzrxxz,0.005,einolujktj
