swppeamorr,sbleacqbxn,rsngjhuhwn,jovmrdpstc,vwovrlrnao,pET
0.098,0.419,940,arnnvzrpza,-0.1625,caT
dOg,hnmaehqoxo,bgxskwkzkm,0.078,-0.405,Dog
-0.2525,-0.1015,0.2045,-0.4105,DOG,cAt
zxbdfquhri,-0.084,-0.046,uvwpdwnpag,dOG,0.3425
rjlbxgaere,-428,jsgchuseud,bxagikilvg,955,dOG
omjffbwyiz,zkeywzvuia,zumrnyundk,znlyswhaxn,0.192,efcornaxxd
-468,CaT,zlaeimotci,Cat,869,ibdpfpgvcq
0.4355,doG,hwuyvmkwvs,DoG,vjnpejxuof,Dog
vzixwpgwgt,66,-338,-0.463,626,CaT
-0.3995,nnhrotrpbv,0.2255,-428,CaT,CAt
0.328,fpwxcgxrsz,gfjmejagir,dOG,942,bbmxqzvtrt
-991,-0.313,0.3975,enhupcphyl,-257,caT
rybqihqgix,DOg,cAt,-0.01,CAt,doG
cmsfgdtcae,CaT,-0.1425,-0.375,zlfraoradq,DOg
-0.3635,-62,-161,-229,fvzagahwbc,DoG
523,770,fifzuxwduy,0.381,0.2495,doG
-442,yihjcuktel,cudmncdbci,-526,-270,CAT
168,hzfwkanags,-0.45,0.3995,rmeubpvrzu,CAT
zsndetjavk,cAt,0.338,caT,-629,dOg
0.003,ffqulcluan,ioczrxljel,-0.3245,0.2115,DOG
-0.456,0.031,-0.389,uimmtotlnl,-0.448,dog
740,-909,-0.13,0.3565,ciywcqqflu,DOG
cAt,oanzzoetfu,108,-0.396,511,CAT
-330,-0.164,ahpjgrnnfi,fopgvmxxnq,dOg,tukpmxvrsy
356,rvanezyfnq,496,717,-0.072,DoG
cAt,ieojxuxruu,Cat,fjpngakogu,xcklwemufw,CAT
wscddghsxx,vyaoltvvoc,xnkexiooaq,-0.227,cAT,doG
-0.3815,Cat,cgazgcpmqa,doG,pedilddzrd,0.422
-0.443,0.3875,580,677,Cat,CaT
0.495,pkkqwwagdx,0.374,26,CaT,oaypdvejua
cfgmnwinyr,piexigxbhr,519,-0.4655,Cat,Dog
296,-0.441,0.1455,-162,dOG,caT
dOg,ieokpwhwxb,wpcwiydhdo,Dog,0.498,449
6,-390,dzonmlhybw,-705,-167,DoG
dOg,752,337,-0.3175,dog,Cat
-0.033,0.498,gqfnvqqxmv,254,orvoighrsk,Cat
wdvxbssipt,rjlinpluas,-205,Cat,-725,cAt
wvzgdeooqc,vmnfeuuzbg,DOg,96,0.3325,CAt
yxmvbntvkl,dog,iogiqzejft,-0.3535,roavhhwebb,DoG
523,doG,-471,swzhukfwbe,187,cAT
-585,599,827,0.358,hcfvwaakzc,DoG
CAT,-0.356,0.282,-0.1645,0.0005,0.4005
696,Dog,341,0.4655,132,DOG
-0.4095,-0.2145,-670,xsrtxztgdc,-0.406,Cat
-99,-0.3285,dOg,-672,-491,-747
-0.1145,ckmujpdwqk,bcqnrhrolv,wfphimojfy,vhngcvivdh,0.3765
cAt,cjumqdrrpu,CAt,cAT,CAt,0.431
0.2305,tbxxegscmg,cAT,-487,Dog,doG
DOg,CaT,0.097,-0.4345,cAt,caT
-580,DoG,655,sbqauioabu,0.295,dOg
-866,402,vhlngdntsd,caT,CaT,aswuimintu
0.004,0.07,0.087,-346,moyvycarpm,dOg
pjpqcnqtjc,0.2455,pkqezyfnkv,606,tepoikwfbu,-365
fhkbjgxggb,33,-748,0.439,-796,doG
cAt,268,ufszhtisfq,penlzkrpaq,0.3215,dog
-199,dOg,-0.198,-0.3405,cyyhqpkdwl,CAT
0.0055,pjbyxeghya,zhizcsofhj,506,0.1855,bgcrxbhcpp
umgpsbqxjb,-786,452,416,0.0605,593
-326,caT,DOG,404,-0.473,465
294,76,cjtnfrgedj,doG,-0.259,DOG
0.289,0.4,399,jwieczuwza,wexjkyztop,-491
-0.1105,0.008,DOG,-100,cAt,362
dOG,430,0.3735,kerhcpfhif,cAT,caT
fgpahjmfat,-941,dzctmsklzc,fqlvjggkvu,vpvpuiqsfh,-0.488
oryjirswxt,qkltttujwa,558,qdsktvsmwf,rhmzfxgqwm,-699
-146,DOg,0.296,mbpwqhhvpj,-957,abufaxnuco
-0.166,-985,-0.2115,381,143,-0.3805
-430,-409,-353,Cat,shlanfwysw,scanyyupnm
caT,zwtloarmcp,rxkjcycuxp,znrovjtnpa,0.148,Cat
-735,-183,-340,0.44,-0.065,DOg
fgyifncyhp,swsryzqgda,-0.2785,-0.431,DoG,CAt
qqzyfdnfss,aphpinjkhv,-0.2975,389,0.1375,dOg
-440,-0.0175,-303,dOG,-120,DoG
111,ovgeigdwmh,-682,hrbesnptvr,CAT,DoG
DOG,bxutkmsoqd,-34,871,DOG,-3
nontgzylcg,0.418,dOg,-141,0.2995,doG
-0.3695,xvpxxfqujy,-0.25,0.103,frfbsypxgr,doG
jkkojebglf,-0.346,-0.0765,-248,-623,dOg
xkkbeievte,0.132,-0.298,182,CAt,caT
0.3665,-420,-105,cAt,DOg,doG
aifykagcpm,CAT,937,neaarnaivn,DoG,cat
-0.0465,hgiemwdoni,aqyzhgicgc,328,DOG,cAt
-6,kyehuarhev,-785,iduivrtygu,-0.388,dOg
-0.49,-595,-0.1735,ntdddvxebt,-0.1745,cAT
