eaxordhslq,skxsjqvgdn,wttbavjrkf,pet
dOg,xnporgwbqx,tpibxiztmv,dog
0.441,dftlfzlepx,dog,doG
evnwcqqdqn,dOg,963,caT
-289,Cat,587,0.437
-0.225,0.066,232,Cat
-329,jfwkwvcrvj,584,CAT
CaT,cat,602,mbmxymutgp
hcjanisvpw,-0.021,333,dOG
fhzfmpzixu,-0.1355,-313,doG
cflgqrqeun,0.4885,-0.1365,-0.3845
0.2905,-0.429,693,-0.196
0.222,mwvadpffqb,0.133,doG
-0.039,eigdjurpiu,0.2485,dOg
0.4065,doG,-424,0.47
-685,-0.2445,cat,dOG
eyaxnwfuki,-0.2545,228,dounijbieh
96,-887,dOG,doG
114,sghwswmycg,dOG,CAT
-202,lvcbufdkym,wldlkhjtwf,DoG
0.322,xoovcvkapy,jewdmhjwpo,nkxdfgwvkz
tofpabmftg,0.3875,wevwydrdrs,dog
-0.098,doG,-0.219,Cat
-347,CaT,175,olorvqdywd
dOg,CAT,bzefrukvjp,Cat
668,-0.073,olsnmetcmz,DoG
CaT,-435,532,dog
0.2805,-0.0485,CAt,CaT
abihdqqafd,-0.085,lmqthknbfu,cat
0.025,-499,syikuuwmst,-788
0.2505,865,239,Dog
vrzhbtuatz,-153,127,DOG
0.2765,-0.0705,-0.3595,dOG
rezgnkjyyk,qoospicsfy,zlvubkwciw,cmroqjxyrq
632,cAt,-593,cAT
cat,0.2085,-466,CAt
-0.1445,-53,DoG,cAT
-0.055,rupuybgyyy,-858,CaT
whhpduwfjj,-0.3645,127,-0.471
-328,-0.2035,377,CaT
-209,tzkcbyzbtz,fasatrhpbg,0.226
mwfaombtqz,fnitrekqxj,0.157,438
0.1095,-0.3335,-0.487,CAT
810,-0.282,prxndgeicb,fgxyeaxqjr
0.487,-987,Cat,cAT
-0.1625,0.0615,979,DOg
927,0.05,166,dog
pbuvmmksil,477,-0.028,doG
179,-751,81,dOG
nphkzxhlyf,960,0.3555,cAT
0.3535,254,-919,CAT
Cat,cat,-0.1295,DoG
piogphjggc,qbyykqzsyx,pdmgawaugk,DOG
DOG,caT,0.478,doG
647,840,DoG,cat
vilpvvnswp,xicwnwscpg,0.262,0.2985
DoG,0.3235,0.4995,dOg
lkxnpjvxwi,doG,0.112,cAt
0.4215,DOg,784,cAt
-0.0485,CAt,bvsewkqrap,CAt
-662,-655,-0.2305,cAT
cAT,-730,-0.1235,-343
CaT,-411,CAT,DOg
45,txxjuaqgef,edukdiazkv,cAT
0.239,0.361,0.3865,0.48
sxwdablphs,0.213,-0.39,Dog
-403,-0.226,-0.259,hbeuhgbuur
157,CaT,-0.141,DOg
-663,0.2955,-0.375,Cat
344,cAt,Cat,cAT
lshcgjqzre,Dog,-158,0.4435
mupxaxgqwc,0.2595,-0.1335,unxcluablk
-696,niligirvvm,-0.327,419
-184,cAT,0.1785,CaT
0.275,dog,0.041,-239
tozixqrgmp,cosbofjzoh,taclvkbqiu,caT
mcibtpsdzy,eqbttzwygp,528,pxoevzwyrn
0.4745,-0.385,xntuaryfjv,DoG
fpydpygmoq,433,495,kjoncruarn
dog,CAT,lgpuiqkmmf,Cat
-705,cAT,0.204,doG
0.3455,-0.2835,-0.048,doG
-0.1045,-878,bikojsonyx,cAt
doG,DOG,gbldhiyska,doG
