jivfcukdaa,PeT,peaurhbvun,xiudnpvfmo,ytcsewmwzl,vzptmszwpe
0.2335,CAT,oamrptqfkz,wqxtvekdgl,puknnfanmy,nexludwwtl
-0.092,cAt,dOG,pfbeantswy,iamvnxcchd,caT
fpnslomxay,DoG,-0.122,DOG,xvvjbppnea,439
lqrpadfzpy,cat,snkjfsvbto,xwjzamldxa,icmkqsbjha,peaxdjoqmv
jqjdgfkgvy,fnfetntxeh,caT,382,973,0.4795
575,0.1025,0.312,77,Cat,42
294,-8,915,sxzflivmhm,-0.1255,zynrfzryen
487,doG,0.4185,-0.3285,keapdvegux,btghkpjieq
cAt,Dog,znbsxsbgcx,-0.4415,-594,DOG
991,DoG,ruecmqeuau,432,347,734
-300,DOg,caT,-268,bmsvskmyng,twcoukttic
Cat,qfctlcdqds,738,-961,0.2895,rycmdtppmy
caT,knmqfosibh,kybltlaibw,213,-534,Cat
bngqmrqztn,fetbigawvt,45,950,caT,-0.4095
DOG,-991,621,-0.0675,DOG,dog
DoG,CAt,jqomqpznya,DOg,orbeeqsjuj,Dog
-63,DOg,274,942,avidzhxwkv,0.351
caT,dOg,0.47,-676,951,-494
DOG,-851,-972,Dog,vvpishxppa,79
-0.431,cAT,Dog,0.0965,0.3855,doG
caT,DOG,375,caT,0.329,281
-0.0995,CAt,-0.442,mlztrgpeod,cojtxcylsj,bemfhrrowf
CAt,752,297,0.3715,Cat,-0.4785
xkozdknfef,Cat,CaT,lqariieypy,otkomcmtvv,bpzghdjtrz
0.0215,Cat,-312,DOg,ksyjcxxifx,ggnhmmotkb
0.085,tpklsivggv,nkaqhpxwbk,909,0.28,-0.275
emepmfiycr,cAT,-295,-931,293,Dog
-0.301,Cat,-0.263,-0.3745,0.3245,-19
zklnbqhrxr,CAt,-896,qyybxhuczr,yqrrsdqdta,459
wswjpznocz,DOg,-965,sjzsmmmlbn,0.3725,cAt
ttpnuoxcaz,doG,ethnntjirk,CAt,vdjacivwkc,doG
-0.3325,nokvjaixow,lleiszgflv,0.0765,CAt,ichijvajvm
dyfidtyfca,dOG,mxxzsljlwi,qwofvgszoz,0.315,-728
-0.319,Cat,-469,jcyhxubbyt,145,0.1215
DOg,vdqwnwkvnv,-660,cAT,mluclboluv,ueevlfjwgk
CAT,cat,oqxtyzdyje,yqyttulegf,dolgeisgbf,332
573,-64,-0.3245,964,-365,770
umatmhwvig,CaT,0.0545,-0.457,0.0065,txvnovrwxa
-0.299,Cat,0.2715,0.3075,ngbsufzoyi,Cat
-838,DOg,uksdiqdzui,-899,-0.126,CaT
575,DOg,0.2845,883,30,Cat
