nammoxleww,mfxeuvrewx,axbqxpfosj
kqoqaoyzam,acnsrkgkly,-299
cat,dOg,zadklzuszc
ejbfrybygy,-0.3365,hfnsoosprk
0.459,0.315,0.0945
-0.075,260,afcbtkkpig
DOG,azcheclent,0.013
dsiauesoht,490,jgzkmmqxkc
0.2515,222,odwidrdpuw
323,caT,-0.0235
-790,-0.2465,0.0365
840,-586,0.0115
doghmauppb,kchvydduyr,jmkmxzjyin
-167,cAT,nuwazdcrpn
CAt,ecbkyuikar,DOg
kgkgagbnom,207,-0.452
CaT,0.339,0.2755
0.353,-0.2235,keikesnlig
-886,-0.21,0.1825
DOg,-0.42,-0.392
ctokseoklv,cAt,ljtpczwdab
-0.161,-318,gwpzrjsrdk
cAT,-986,xafmfrrzel
cAT,386,rjgiakawbf
425,-978,gfuuhgyyck
-177,dOg,dOg
200,0.1635,-169
Dog,oeiderdztb,-347
fcuobgovmm,xpwsagzdlb,qeqqvtjitq
0.3865,0.256,lapepzxzdi
305,omdsijbzqs,400
0.0075,CAT,facizghnsc
ekfrqgtwbo,0.478,DOg
gotfdrhtmk,433,ftngimvcxz
0.0785,tlikyploov,0.161
-0.4075,rkqrbwghbn,0.1475
gpfamjuzuv,9,doG
hykgblrzzc,125,-0.2895
298,wukmphmxjr,nemacghhgc
-0.227,ooelculjvb,uiftrjltrn
75,528,-486
doG,-770,Cat
hywaohtygv,0.4995,jfojslrupj
bthsrrnxad,0.006,205
-943,648,118
kvhdhtadiw,723,273
htbbfuuyin,DOg,0.3605
0.1435,0.025,-418
msawiqhidv,0.162,cAt
403,-0.2305,-903
-0.3555,Dog,iiyguiwjhy
DOG,CaT,tioffxxarc
cat,0.0005,doG
0.1945,skddiiehpd,-658
0.498,0.101,-0.1075
-0.305,-618,210
-486,-0.086,CAt
0.1875,129,0.263
qljyophgvh,yxjprytwoz,obqjqjgkzr
482,312,-0.217
0.4875,-932,18
813,caT,319
-714,dog,-0.191
obhxuxbkea,Dog,dOG
bukwywtijb,-678,-0.4195
