xaucffsgpw,btzttociui,wtohweivnx,ypdtsglits
-0.355,0.396,exjyfjlmiu,0.2345
cAT,583,Cat,kmxmllkkye
-0.068,0.366,DOg,whlmuqpvrk
0.384,922,-0.3725,mkxcyhhvak
0.202,-849,0.1375,-0.4685
rwslhxjamz,cAT,ypczjfxmhu,-566
-0.4585,851,dOG,rzvmmwfxvf
qjqvjsssps,ufgyjqrgiu,cshycfctvd,902
onlvfiqeuj,CAt,997,qifxsfilxr
434,DoG,ukxlnygegi,0.0675
0.4595,0.422,-341,-521
cat,wulkdwkpcq,0.4495,bmyqywbvwm
0.39,zqwfeoymmy,-0.233,164
thvybhrahz,cAt,kwcmykhhnq,160
-0.3825,-0.0825,wjrsnwsvrh,lrlcozbaoj
-73,dog,-0.297,807
lsifaasepl,-313,dog,-293
-470,-826,145,105
162,cat,0.0135,uyskuxanpt
Dog,0.2155,rhzrkyarcr,zwzkonzqxr
zchnafeohb,gabudjmgge,-982,423
CAT,616,qcqisfptkk,-0.214
Dog,zxnlgasdjj,-279,-0.306
DoG,fsgjinzqud,qdqftabrwv,809
