udpxtyklsx,bbrhyqbknl,rtzsmxdtpo,xndabfvwtf,anipjkouet
-0.123,caT,xwjnlpvzsk,cAt,0.3595
yybxrxjstt,-0.3685,hncutamjzi,529,0.2725
-0.3305,-217,fbqqrdbntm,-0.079,-0.027
mzlcousarr,-0.3215,-0.021,-514,0.4065
-0.2495,-0.068,mymlnyffhz,hfbebdhruh,-514
-546,xmyxmhffrs,DOG,0.143,fkphyurvtf
-0.018,690,CAT,caT,yquecwvljv
-664,0.014,0.0635,jcwcpjgtsp,516
-0.3735,-0.2465,-0.3025,-0.3165,balwnpoyiq
DOG,-868,-0.0055,674,DOG
-0.366,0.3935,Dog,nxtayanipk,795
dbvbujiqts,vfzwyhgmzy,-82,968,kvgpprjbya
198,-339,DOg,-963,-963
-867,-340,-574,boitvcioim,cat
hqfeaicsem,0.2215,doG,0.2455,566
Cat,-647,lgcdvtdpss,663,-0.323
ikxciijova,-551,-722,0.334,-0.4915
0.173,CAT,dOG,0.1705,0.0215
rfdzxcddbr,bnieecwneo,-892,jssriwbtdu,-0.2585
0.455,CaT,vyhhjhcyuu,nqzfuoitgo,hnxlgcgqfh
geuehksnln,hoxjjirbwt,ijcjjzzraw,272,uuusutshne
-861,-0.0385,DOG,904,nhuvdmcfwd
0.184,-996,582,kuvsgzrbcq,caT
CAT,0.1555,882,472,-782
ozhrphkgdn,-0.355,684,-0.084,ffzspddiqy
-492,598,dOG,848,lghyheotxe
-0.1545,doG,0.153,-0.1895,-0.4635
DoG,pezqjroqyq,-0.313,aidzbonnnj,-783
-0.3945,687,umdrgqclue,-0.2705,0.116
0.275,fmxlssiccx,-0.4665,dOg,-304
kxrznjzsui,-310,eplymrxzvh,-0.082,cAt
iwotbrjwrp,CAT,cAT,994,slesunpgvw
ljeaauqjyo,0.466,0.439,-476,zcdqqplkka
-262,-211,obnbsfjiab,0.1455,-0.4215
mqugzkxwtg,-296,171,375,znrozevgka
-0.4125,-280,caT,-0.049,0.4535
-0.0815,0.367,btmvutppjo,0.3835,cAt
-0.0545,bwsyekkofz,-132,0.4395,673
dog,eqovdefyqi,0.225,0.131,sjeesffcib
-0.379,gwseftcjfc,hpxqstinyy,qiuihgmgta,552
dOG,sehrruifqi,657,239,zowwxsodnd
0.1805,55,-272,Cat,0.2655
-0.4145,CAt,-490,-939,DOG
0.1015,-0.079,0.2445,DOg,-0.374
436,892,0.375,0.0435,caT
CAt,-0.2155,ebrfiaddap,dOG,netabwazld
shfaamvppv,457,euwydztyyk,-0.363,581
dOG,DoG,103,caT,0.169
-0.1235,caT,ngynarrecf,-608,0.258
cat,332,907,-0.4165,0.4325
-0.4645,313,-658,tpolvzsgao,zabkhlceks
-592,150,0.322,-20,-0.3555
0.408,-0.33,0.264,-819,nymowuhlzz
-0.1525,ibhxscetew,veypkbpjtg,-98,zhryabkyud
cemfahjorf,0.2515,-952,0.4395,tfuxhgotcj
mbwhwgcknp,747,0.1,-0.0885,0.041
0.114,ujdbncdtdr,-625,0.131,uuwrnibfzc
-977,bblhxlceol,702,-0.248,456
cat,0.162,422,ptpaprfnad,hyhsfqbcaw
DOg,dOg,473,0.1065,236
zoppuhwqfs,608,-0.2265,-272,Dog
-935,-407,apiujhbadc,-910,ciwoabwmpm
Cat,ldlybwdufc,DOG,-0.3135,-560
-243,CAt,0.2525,0.0615,-0.291
-0.32,770,-0.0245,0.0415,dyfnbriboo
0.0525,dOG,cat,0.4955,DOG
gikerurcmg,pwcqhwdjtp,0.0165,ogdapflnjq,0.243
-526,cat,-0.228,-0.4315,954
-0.3585,-781,edddbjxjjp,0.037,ktrsguzohv
wzdyndtvpa,xdkhbwbbpa,-594,ynarqowyjo,-685
dOG,-0.019,-624,DOg,424
vpbugpuoub,vfwxcpqtnq,cat,940,xtvqrxqmdx
-156,-600,vxrawzgjre,-898,svuyrkdeal
erzrcztuhh,-0.262,xdqtgjedpu,-0.416,-72
202,cAT,0.4355,-582,gfrhauvtzr
482,-0.4785,hqbvkaybxr,etjpumqmom,31
188,qrowkcrvub,rmavwklgbv,dog,ywatprmmuz
Cat,cat,-0.299,hhhwhsltha,caT
dog,DoG,qywnjukdhl,-0.483,-0.36
qaskidupns,75,oitauazzrk,0.116,-0.191
-974,jibvckuajm,0.394,Dog,DoG
-0.1435,-0.2815,doG,-430,-999
-577,-53,298,dvypicmnds,mskqtljwwa
cat,dOG,0.4935,ngyvcktbcq,cAT
CaT,-0.1955,dOg,0.409,-0.324
qihcetoxmr,slhcoipbvo,-33,CAT,dOg
-519,566,ljdcmvzrmi,20,dog
ajburhpjaz,-0.207,739,-0.1565,xihclkzicj
655,-928,-892,sleaasrtsn,tnupqzfjmj
-0.2095,spmluyntqg,radpvwhmse,ljgxjmoiwu,538
