esccuqaxsc,weeaacnvcg,ncnhazdvlt,PET,cwxhgyleiz
dOG,0.1945,Dog,cAT,-0.1925
DOG,-386,DoG,DOg,fesxvgvphd
coevziumqj,0.4895,CAT,cat,-553
wuzerzkccq,151,0.2725,dOG,752
veifdprorv,lxoolisxli,Cat,xyxtdwcxdf,ydwhsvydky
0.1525,ssyrkubfvn,-897,doG,DOG
-872,vvqtegyzbj,kmcuildbpf,cAt,hszddbrdef
0.106,sekbspmncd,wjfhfzbpns,CAT,-0.332
409,caT,uzwxglqwcm,88,fyblfpxdhv
0.141,-121,0.001,CAt,DOG
Cat,cAT,-435,dOG,141
289,dqzzruuyqd,Dog,caT,qbvuaimxek
CAT,0.108,-10,0.008,0.192
0.0445,zdaioakxzd,nyeiwxfddx,Cat,-872
-705,-151,0.089,dog,-309
