Pet,tbbrreexxp,hppwpqolkv,hxrxxceufg,aumogqiepq,hwkbxhbzpr
-0.198,Cat,zojeghcjqo,-69,0.39,508
dOg,xgwcqzikap,xulvfsyyqx,-740,cAt,Dog
DOg,-905,CaT,-0.339,-0.3275,doG
cAt,dOg,0.494,-703,DOg,oqpyaarzdy
CAT,-0.46,Dog,-0.3625,954,201
doG,0.2465,-839,zedmundspt,juchticwhm,0.408
DOG,dOg,-398,DoG,-0.3375,fbjvwjgdtg
626,gujoqlsmjf,0.199,-328,0.2585,dog
caT,ghrgcynogk,dOG,-0.4555,DOg,801
DOG,hfoynrcglp,0.131,qlqbvctngy,181,177
DoG,hfaenqkumx,-890,yblabcoyuy,725,0.293
cat,0.147,361,dOg,doG,508
Dog,vydaxggzan,911,rvzybbeuwa,dOG,oxeeylwdvc
CAT,-0.012,doG,epmcirbsua,dog,litbdcxadc
cAt,duyixytkwu,366,-546,mjjwbyjrzk,-558
cAt,-982,0.083,caT,982,-924
DOG,caT,-741,qspocmhifx,axvyktmgnj,DOg
Cat,-749,0.1855,DoG,gsjnloqkjn,doG
CaT,-0.432,pwwpaezofl,0.068,0.1475,cat
DOG,ocdjcblzoj,-0.3665,CAt,-0.4095,0.0765
xvncsqmclr,-840,-711,CAT,774,olxhpfojwf
Cat,rpuprvetzj,-317,0.1315,-362,0.2515
dOG,-687,-0.1495,-0.4465,0.217,379
-966,-827,-29,-0.188,zecstdtdur,742
DoG,DOg,msezvruima,-0.389,dafpixcezy,-511
dOg,CAt,CAT,144,0.2085,ftqmtocfcy
