ypkcqvovjt,bwukxdzvsu,miqvysdofe,pEt
wqaacifihm,CAT,utaohsjrhk,Cat
-276,uxdcnjxzof,-0.065,cAt
0.272,doG,-0.3905,dog
agdsxywnnx,619,-97,Dog
CAt,-0.4215,-778,-133
-0.4365,-397,727,149
wrmdwajamk,csdzxkecqn,enaadfznab,caT
avxdebarog,igtrmeurnr,-846,caT
Dog,-193,-0.03,qtrfcpcxye
-643,DoG,azkznwmjby,dog
-0.3835,mrjndibiss,-0.041,CAT
cqcgxpjbhp,lwqzooolwt,asgzgpoiev,CAt
fzdgaiogll,Dog,-150,dog
99,pvojojidtp,189,cAT
wjauifhhvt,-660,zohospxpuz,CAt
-243,749,mrbqtsiazy,shpsljpyvf
Dog,0.327,0.3925,Cat
131,-986,cwboxztccf,CAt
-0.3615,CaT,0.036,DoG
-0.157,dOG,-0.087,cAt
spadhrndim,DOg,-0.3925,caT
379,caT,cAT,CaT
doG,512,-0.4825,CaT
tmrovejcjf,doG,cAT,DOg
jmioczxsps,0.2015,-0.465,qekswqxqph
929,0.3255,0.425,-418
-983,-796,0.3505,umfcpbjywk
-0.396,685,300,0.256
ttybozcebt,749,-603,cAt
-80,-0.055,-987,rueukjzmxw
cAT,ylbpqkxiqc,0.1715,DOg
mnwrtvsxbr,293,caT,cAT
0.385,957,0.1605,-772
dOg,Cat,CaT,cat
hgugwtberz,-0.2295,-0.3315,cat
-371,0.457,592,dOg
-363,hwfnxtuohh,pmweaehzcb,cat
-0.409,yaegqibccq,749,dOg
ayqulptbmi,anawzzbpid,DOG,DoG
0.1745,obsefiwbbc,0.3085,dOg
-73,kruahwwuvi,-637,DoG
rdnhhmffnc,579,qtddcvmtmq,CAT
Cat,yptwlzwlxt,CaT,0.1885
jaebcmqjfo,0.278,-28,-577
-243,cat,cAT,dog
178,cAt,441,DOg
ydarzonkkj,giswjelhuv,DOG,CaT
cwqxyeomyw,DOg,-0.1075,cAT
fdjzgxvxks,-0.1285,0.372,-0.473
433,0.2025,DoG,DOg
npeugqxwre,0.361,0.1645,cAt
350,caT,0.3325,dOG
nttqhipjli,-218,580,dOG
Cat,0.345,0.2415,dog
rbadvugswi,-160,frkcbdtzvq,DOg
DOG,DoG,-0.257,DOG
saodeyhgiq,CAT,rqtfreigsx,0.027
0.209,CAt,0.0505,nuqzguurim
748,427,0.2315,Dog
-0.133,-720,0.2575,Dog
-793,-0.2555,ddtzgcjhef,DOG
-0.2315,dOg,-0.2755,cat
-0.097,-910,zlvpwtwupi,0.1305
mhslxmotjv,833,jrpsuuhfod,Dog
-755,0.208,-0.021,DOG
-0.4415,-0.4805,-0.069,DOg
-818,-0.294,Cat,ozumroyyiy
nbfksmqfxu,0.488,-348,DOG
0.016,17,0.236,doG
czuiberqxl,-0.0555,izlutzhjbt,cAt
823,-0.23,gbisxmvfgl,cat
-0.4205,evlvlizzcf,-426,-0.4515
