tkizocpebc,ihtrgfhtmc,yzyaizaacs,pjlmbuxahx,Pet,akayabsqbt,qsbywoleif
lqenlimscs,0.216,-849,-0.21,-0.4635,-704,dksrfjmuki
uwbpyfspbc,0.226,spvrrgjkzy,0.185,DoG,rfvgiuegfy,CAT
-0.4385,-0.2185,0.103,yvfflncwgl,-0.419,Cat,teaxxxgudv
-0.1765,0.3115,owbdkxzkbu,-440,DoG,issozvksgx,-0.3275
-0.496,zyrewprrsb,-747,DOg,dOG,130,xewamfuapd
0.336,cuifyszyqm,0.2955,-321,DOG,xlwscuojle,0.2285
-0.4965,DoG,0.391,-0.3075,dOG,-655,mkcbqtgpnb
596,DoG,422,CAT,CaT,unqarvbdbo,444
askmbdhmvb,-0.047,0.2085,rkfjvfevna,CAT,460,-926
-451,wwlaztxkxz,-702,0.086,Dog,35,qxihpdufbw
fzdncpmkcu,-0.3685,752,451,291,-0.3925,578
-9,CaT,xxfiwpacrf,nqivymkisj,-535,0.136,CAt
-0.0615,ociulxnkwb,104,0.4965,DOg,Dog,0.368
-259,-157,-200,ckuexrvzvi,CaT,ifainozdci,520
-619,gjnjoeeqan,0.2955,-0.0805,cAT,0.421,pyqqbbiauf
0.249,DOG,-0.227,opzwrqugvs,cAT,523,cAT
vtiuaaxpoo,258,dOG,-698,DoG,ahblacubrj,-0.443
170,0.2255,-0.1275,-910,CAT,-152,Cat
0.1185,-88,Cat,mhofwxzfta,cat,difdqxpbtv,mgcqignocz
0.2,-0.0665,dOg,ajcqhjrmsr,caT,-0.414,izpjrhmytu
-265,sfneoptbpk,0.1595,-491,dOG,-146,-470
mtenivotti,mrjewkojdo,dOG,648,Dog,cgnnrglyto,-921
0.369,dOG,caT,smqianpbnh,Cat,vygwbooere,ckbblimhfg
-525,-283,39,0.1875,-0.3705,0.0205,-546
DOG,-0.059,195,-0.2635,-0.3895,0.085,cAt
106,0.2505,efxyjkjyfz,201,cAt,90,0.449
-0.3135,nhxfeuhqlu,-0.261,-0.0805,718,152,100
0.374,doG,xnaxlotqbb,0.4785,CaT,-0.14,fgsxozsyzq
206,xqrmfvoksw,-189,gooqocvpsd,cAt,bftipwkcqc,0.065
0.0785,DoG,201,-593,0.2465,0.215,bbtqgafybp
vjwqvgdloe,tooorafofy,-107,52,usogincgnz,-0.413,-532
hwzbcbxnoe,mjhjfpoqis,dog,nendalkvun,CaT,-0.051,-0.2365
-0.4795,-0.2265,0.3105,0.012,-563,927,244
dxaygiwctl,824,-796,-982,CAt,-0.132,0.4935
altyznpekb,0.137,yapbhepduq,0.225,caT,-0.0955,CAt
-0.258,xxsxbdkuga,-0.4785,caT,DOg,-0.236,mrjxgkntgd
-95,-0.135,0.072,820,dOG,-0.1855,cAT
0.005,uozpdzsybr,cAt,CAT,-508,wqfafqtbja,0.029
Cat,doG,knxqycwcdm,0.0475,Dog,tbdeiueiva,-32
caT,eomebocame,-0.2515,-377,dOG,529,833
faoehnmsys,493,doG,0.2525,CAT,-0.3765,-0.2215
-377,0.3705,-0.041,DOg,dOg,rzawjmmthm,450
plgmndoaha,prnklhlfjj,-0.3275,Dog,doG,-454,-0.448
-0.4775,ydaauqljzk,814,-734,doG,bfnrjpljut,-303
-0.12,dOG,-0.2965,0.4175,-0.2745,xrrxbdakwv,-0.2495
-147,-868,Dog,doG,CAt,-0.382,ewyoaaavxw
-357,655,Dog,Dog,CaT,277,jkqqcfugvk
doG,-0.295,dog,-248,vkyaagiavh,-0.039,0.409
115,icrutjknrc,-0.425,huxbupeouh,DoG,yxgqncvcql,ifrogayzqm
Dog,uzoiiddzug,becebtoysh,-0.3825,Cat,ehhxcvamfe,0.4015
invhsctwdt,-932,0.2915,971,Cat,-0.3705,doG
caT,-0.077,119,-0.341,doG,DOg,0.346
xqtwdoqlls,yixiyskfzn,-358,bcfyzvqngr,dog,-0.0635,0.2135
mqxxazsdzo,-0.4325,wfqyxkrtit,0.269,dOG,0.3035,-746
nmnremrjqz,0.061,-0.3845,szxsalhsqk,CAt,mteddrbpbp,0.016
-189,-368,caT,Dog,dog,836,-97
fjmxbqadqk,-300,215,doG,CAT,rgxlcqygee,-0.365
xthxlpokoq,CAt,DOg,0.121,cAt,hqdaqyqtwo,-136
DOG,-811,-635,akvtatrcvh,-0.0855,460,0.151
CAT,-10,396,cat,Cat,-805,duozznkced
-107,voovcyyayz,djuzcetilb,uccqxuqgtq,CAT,0.266,gcsjihlzqb
youjeznvox,0.065,131,738,cAT,-515,-0.4915
-198,26,416,fteespuinv,CaT,mlkmjjnjnm,527
shbmkehvna,0.2835,-0.4305,zybwelskqp,cat,-823,-140
doG,0.035,-0.3705,CAt,-759,721,511
jugzdknjip,0.4285,-0.0545,fjvxmmwxca,dOG,ydhktdqhkk,-0.405
-503,syyxysnfwd,0.2305,ehnjdmctci,mttlbgxekx,CAt,170
ytpnpjefdv,CAT,cwmhqhzpmv,0.2745,dOG,-0.1925,sivrwmylzp
-0.272,-619,dOg,hsdzwaattk,197,0.2105,DOG
cAt,-0.2075,-872,799,dOg,0.3,-570
lxtjolcfkh,-884,-489,qzmliffafv,0.3195,58,snryndqfeg
-135,0.108,0.393,0.075,doG,CAt,dOg
945,248,-0.1235,-990,Dog,-0.094,-0.1255
