riyqfoybiu,grzjbzmqzs,ngbfloouxk,wuesdbnnnj
zrvvzqajoo,DoG,oaduarbpsx,CaT
CaT,hhrkhkxjcb,CAt,-0.1435
870,doG,jjtxyiimuy,zjgpgsinfc
0.3825,-0.414,dog,12
-0.283,cAt,agmdcbcfzc,-357
-0.3185,0.234,qgwaswlmjg,yfvbwavqqh
0.107,0.0235,binhdbjjnl,zcxipsnsaa
krhhtwmcyj,756,-274,-726
zbvrizlcma,zvnimkkmsi,-0.3065,-0.2765
epogmoqrup,iehzdactmw,0.4195,-0.344
cAT,qccnvxtdxc,0.4835,-0.1715
uefxtstixw,-215,DoG,dog
-0.2485,-198,ybliznmwuj,dnnyowtujm
712,cat,235,-0.257
caT,-0.3855,0.046,-89
566,-0.327,-698,-0.154
tysglyvueu,CAT,lvnswtrbdc,geieshqkta
0.406,990,DOg,DOG
ewxjgcvlax,DoG,spylrxwbay,105
uygauxakmm,0.1475,0.103,-0.3705
-0.414,woukopdubz,135,lhugrldnua
-87,-0.03,dog,lykxrlqmix
sdjpmoifxs,-0.395,-497,uiquazlckb
cAt,-0.2095,811,-0.118
thvfhxauim,0.1375,cvviilkxyt,0.393
vkhxwoxkws,hvzcfwnjfq,0.008,qzltyrtdqq
-0.299,-0.0215,dhoqojszgr,kfayihqlgm
-0.0165,1000,dog,hhttmdvdyp
240,kbimodihfn,861,627
jgkrvrhcmr,-439,0.055,cpjwcpvgaw
wxoxjdpxjq,0.1455,cAT,0.4825
jeqmwmvdwq,0.479,wzfhgxtyjd,-42
293,-0.0575,0.1725,-440
auadgskfco,cAT,CAT,dsugkplkyz
mnycatciet,-0.2455,-695,0.4675
727,-840,CAT,-0.3405
247,drkxnpfkuz,-409,936
ozxbovpqcg,-302,-0.411,fuwumixihj
CaT,-0.3135,-733,-0.1175
0.205,-0.3995,-792,-702
maoovyofuk,ymgsqtxnrk,193,-0.249
-74,970,-721,-262
cAT,641,992,281
dOG,-733,0.482,cAT
577,xfnwlyjayj,-45,dog
0.273,-0.385,DoG,DOG
0.0995,-399,mrknqbnpda,dog
cAt,0.413,dog,xeuqbsaybn
DOG,DOG,-0.4255,-273
0.414,ablkxgsnao,0.419,flavfgqzts
-67,doG,-0.06,yogfeykple
649,zxhddlusel,-0.01,0.1305
0.2635,398,dog,caT
vildjiakor,dOg,xvyuctwhke,759
DOg,nhubeolvrv,-443,-82
-189,CAT,bnijivurza,jijsxfujdi
-855,waojkeslpa,477,-88
-212,0.1645,ymsozdlnou,dOG
quknaruhax,548,0.295,0.2515
-515,0.306,-456,0.104
Cat,przqtdknmf,doG,doG
-822,CaT,hugnhnizaj,Dog
22,ugkmwbwifd,cat,DOG
-901,-0.3795,411,wmhnjvjzru
-0.2745,cat,Dog,bgqxoprdrs
tgdqivlkal,udbfzfmnzm,-0.0585,-824
Cat,0.061,-256,0.0205
-0.4515,DOg,-616,oyhbaprosj
719,-394,-0.147,0.394
50,0.292,0.179,-0.343
795,0.4215,965,-0.0865
0.1615,scjautfyrz,0.1185,756
-0.117,qoknjymlwn,cat,hqwrewvkty
mpzecwykee,-0.306,-756,nzdnvbuuae
-300,698,zqyhdcoamt,-0.36
