itsaxzbjwr,pEt,inxgzqpcek,svtscceqyn,zrbqzncwum,espsyymqvz,xyshbrliju
-691,CaT,-0.1285,cat,529,qvzdeaibko,dOG
-153,869,996,-314,0.3875,-275,Dog
-945,qqlerprote,114,-0.444,CAT,-24,doztjnjtmg
fbxtfxtfhs,dog,DOG,686,uekzggcnfa,-445,315
aothzoqhsq,0.2825,-0.396,caT,yunwnqzvhp,doG,-0.171
-110,caT,afvijcrtln,0.4095,-0.35,dyzhhdtaib,wccgazpxgz
439,cat,0.0995,-0.3565,fergofktea,-0.121,CaT
-918,CAt,-744,DoG,txssjhdylq,0.205,doG
CAT,cAt,lowsalhihn,vsdkxzbucw,0.1765,-0.3235,850
0.2655,dOG,-195,-0.441,dbrmiwxyvz,jwkuvhlddi,907
-399,sulgiuuvps,519,0.275,puovwsguck,343,fyqhaxppze
dOG,92,934,gfsdxvcgnd,euynavodlc,-0.4305,0.1875
DoG,0.4605,xqhmerowwd,cAt,dog,zqneyvshsg,cmzwmzboqb
-0.3745,dOG,0.4845,-618,tauuusqwyk,riqjouqzar,0.3685
-618,Cat,doG,-0.4715,dhlnqgzpoa,omzinihnol,142
fotskkopms,caT,cAt,0.331,cAt,-0.035,0.329
0.2385,cAT,-0.4155,-0.4465,0.3425,wlgdfsjgtx,jgzndoblgl
81,DoG,jcfpdndhoj,cAt,-276,Dog,0.252
382,0.4275,909,qrlvdkxqkk,duihduflax,129,902
-0.028,dOG,CAt,0.022,-0.133,-0.207,-0.0325
hymqsaizqh,DOG,Cat,-0.487,pbtqosesby,Cat,hbdovfhwty
bgedekwcht,eyhygwuwxi,Cat,-275,150,8,0.189
ulxbfxncvj,-0.5,-0.041,-669,dog,0.309,auiucitknu
-909,-552,341,izcxxjxugq,ujytfgqxer,munqmxhmmx,CAT
viooswqcgi,Dog,DOg,0.295,0.04,0.4685,CAt
cAT,CAt,mqhmjeipvk,wgcbcezlkm,wnakzfetka,0.2315,bdtnkuxhsn
-195,CAt,rimmvfqcse,0.296,-0.457,726,623
-159,CAt,qnfelcheml,wfpsvpcois,447,0.3525,-0.2805
liokznrrye,cAt,DoG,miwdoyykyl,frcedagqyd,-0.17,0.005
-930,Dog,-0.0225,niqxydcgii,cat,srjjgsitvm,0.343
CaT,DOG,cobwmgxxjf,cbqrtpirbu,caT,-397,-0.2805
eriabiffww,dog,dog,vkgruyvkiv,tzfnwobvov,-972,-305
DOG,sradpbmgbx,-258,856,genazymvap,350,617
tjxtvcjgym,Dog,-0.0895,dOg,gpidyvrlwe,DOg,-52
-0.2435,dOG,cat,xgeaiuoors,jvlgbpcjbz,ktgjncjzap,mvlvldqokx
-0.345,CAt,whxqzqpojl,613,lvxjhyovpb,470,-0.2545
uaqttoxutd,DOg,-679,-0.274,-0.319,0.0235,xltyodfqdc
0.3545,CAt,-546,ebtjdeyljt,-772,CAt,0.4285
xagjnrcocw,-949,740,iecdcgyhhu,-973,dog,283
577,DOg,caT,doG,-0.46,267,hvkgoeeihy
985,DOg,qxtxyeqxpv,907,CaT,dkofhicbtg,0.4095
0.087,Dog,aasgythpcp,vlazbirmla,-0.125,haqfycmtdo,uuybtlvqbs
450,xgnuixgsxl,779,-0.0205,0.253,0.2805,-0.3935
-0.212,umxsfrudff,0.3495,DoG,513,nuhzmhihop,dOG
-50,rrqogkfyva,909,534,-122,CAT,410
0.0075,cat,0.3705,-0.118,-658,caT,yougafqusp
-325,dog,CaT,-0.2845,mgkpdgtxve,0.1595,168
250,fcuavamyyi,-691,-0.2685,ljybfnmsco,yxxgcgoolz,-0.1185
oebsjwdunk,14,zqnaucihxo,dOg,0.024,0.055,-314
97,dOG,fyfxwjlnid,110,747,idaeucfbsm,150
674,dog,dxnugdpfcf,436,cuwlqreove,dOg,-0.3905
97,DOg,herhdkbirk,0.149,411,541,jtjvpatldg
47,DoG,rmosilckfd,legpugbfwq,qvacebqsry,-0.495,-273
0.4005,DoG,CAT,yoalirnato,0.2855,viohhhvntz,bxjwygpggg
-706,251,0.236,klcuzrrjkx,-623,dOg,0.387
0.2535,caT,bqtuvanphh,-0.447,-294,dimqrqlssq,0.2505
iwittlijmg,DoG,DOG,btvqykoeyq,hzprhkzngn,lcgakpugmb,-0.1725
kpwhcsbmmv,dog,flcupauvia,-0.3405,ylmzzgrgty,-327,DOg
DoG,552,0.039,0.348,0.479,259,qqvhxiicny
yzawzhomvw,CAT,DOG,cat,-79,DoG,DoG
-505,doG,etuywbegnv,CAt,859,qochmphkqu,fvpibstpku
-35,DoG,0.086,-54,990,vidwhxtfen,gotewtpmbi
CaT,doG,-0.128,-0.2275,ngtzfmfbwf,0.4645,fjvpjtsxle
jtlmztadhk,CAT,903,ijxewbsgly,-0.167,pyjsaqhpwx,0.2015
0.055,dOG,cat,0.363,0.364,guattprkdy,-126
-253,CAt,-675,-0.34,484,xoiwshshqg,CaT
cAT,0.061,0.3505,284,-0.368,433,Cat
