qtvozerldj,PEt,ftlveeychf,isyjqgctol,iuwinqiabk,uiuqrvzbzz
DOg,-308,dog,rjnhusgajh,Dog,rqvlqcxqsk
852,cat,-0.3915,0.474,ftsvkuhjdg,-860
-334,CaT,-972,236,pnfhwzkrkn,CaT
-0.1485,CAT,-0.4635,-0.325,-207,56
DoG,0.203,ieizyakfyi,-0.1325,524,dog
0.321,0.457,-0.2235,-0.0865,tzvazgspbz,-0.011
ntgiopiydu,DOg,-288,0.0645,-0.166,CAt
dOg,pwbjmefgxz,wghzclwdji,xddumcryji,mhcbhvoztc,-285
CaT,cAt,Cat,0.207,-0.2235,vaxbeqhdkn
lbggwiordv,tifbmtoalw,reggbdswcm,CAt,511,upsejdkfte
Dog,cAt,gaoueuwwtr,-0.448,-0.313,eiyetzrmqo
kdqrntieuh,CAt,-646,noklixktqz,188,966
-0.299,0.3405,uxohxppcxu,-178,-0.118,981
Dog,dog,-36,-405,850,-581
btxoricdqb,DoG,yolugdfltt,47,hafgdyvfuw,0.0645
