mttccydhbv,ltiiofkggk,uianojhtvo,pndbhvtdxa,ilvwxoxdwv,gwxwmrksya,xpbpuiuqll
-0.0665,-910,DoG,358,wunvmwqcbz,340,0.14
8,0.2595,-558,rbivwdypmp,dOG,pzlncvgsah,yyowxxcyvp
dgpljqycva,938,0.0745,dqlwunvcco,0.1855,koksmrlpqa,bbcdkpuufk
0.2855,-0.201,445,fxfzvhmymi,ifmkwmilhl,eeqofolpee,0.3665
puxfmqwcvp,-0.437,voxgklexxj,CaT,0.412,-875,-140
aitdrigvip,-859,kzgwwiscsr,Dog,285,nsabayuhsx,ectpnxfxbm
0.4175,-536,sygzdrkhmf,doG,-0.492,0.365,wwknhifrud
-153,-0.4055,0.1685,-0.3665,cAt,vucvvumxso,0.3265
652,0.2395,-0.424,0.149,egujwedxbz,-0.007,172
jyntfpkjuo,fzhvzsomsh,74,358,-0.289,Cat,-0.4655
-125,855,dog,ntzxrcedst,930,mqovtexpce,dOG
0.382,cat,caT,-877,-0.093,-0.011,fsktxqyseo
0.4375,Dog,axwxigwfam,CAt,-0.475,98,127
bsyosxldal,0.0315,DOG,-615,DOg,-171,-492
0.461,dog,CAT,118,-0.0615,0.2725,nxnwalkkuj
vjfwqotgwk,-511,gjzalxnqnu,cAt,CAt,0.387,0.1375
0.1635,-996,0.017,fpkezisste,nhsagadahf,doG,-320
-0.278,oorlzxpqhp,dOG,uqrkvtuctr,-438,wtglyhvjjj,-0.4375
zmxlyhtjra,mrtirniufo,CAT,-723,-577,zguvsvowrc,-0.4875
357,dOG,dOg,caT,249,-601,655
mwlczsvybj,-0.5,Cat,0.019,tiubenzhmt,dfgheaxnyk,979
0.459,Cat,pxwcidgfft,nmnwjmwuub,fkutsmfdjx,doG,0.013
mrbenxsjym,320,wfoyyapkct,dhokfajtca,0.231,doG,cat
rqrwdhwnxt,-772,DOG,-753,gtjoyhlzyo,409,vmqmffyimo
doG,-11,583,-21,DOg,0.3525,-659
-86,0.2585,-0.3355,0.03,0.4985,znbiupxsvx,0.446
711,owunfcrtxz,doG,0.1255,-0.182,rdxqsanwwv,-698
