zgnwhfahvp,lhxcnuodzd,amnvxsbgqx,dnvggehbmz,zelrfhzvqe,nikcvlqdiy,yccfgvbqjq
366,vppuogxbto,doG,-0.314,tzbcfzkcfb,-843,ggjfflxsyf
cvowdwommb,-0.3995,-51,smsckjuqch,0.131,bnfkcualnq,-576
0.4725,0.271,CAT,-0.1335,rfhaenytqz,-0.2905,wzeqzvmslz
ahnqczuynf,0.2905,251,ohctutuspz,yzarvvdaln,615,0.452
Dog,dOg,-0.1835,322,-384,Cat,Cat
-770,0.164,-0.475,-0.4975,325,doG,157
-0.1185,-999,-948,whhwbzeube,-0.007,vkayryqkvr,djmepuswwy
50,zzkpwdchrw,644,sadwycncen,-0.431,167,-0.2455
zkeokezeqz,ctvtnjteic,cuzfknckbt,-322,cat,0.036,tkgyjzyjtt
dOG,-0.342,DOg,zbfsgptrpd,dOg,yuqsgjklkr,-691
-0.364,316,euuvdyiqob,eshxjcqyig,-0.496,0.323,caT
-0.247,cfrauwpora,ituazshytq,aobtgbrgkh,0.461,524,flnboechws
-61,dzxgjiryrl,-4,0.111,eeccavswkx,Cat,-0.318
-598,Cat,uakhwuccdq,-0.367,-0.0735,-0.4125,aooulyfbzw
668,-345,569,0.353,0.3405,575,-499
CAt,-585,DOg,0.2195,lxawwjfawq,-0.39,0.0315
0.114,clthudjhab,caT,0.2425,-0.099,Cat,-0.0415
0.079,0.0535,29,eoavqabqkd,uotdcdihhp,1,-237
CAt,qnrvlrufde,-470,vkhmcsozvi,0.1675,zwurgcfuyc,-0.3075
Cat,58,meoenpfpqn,DoG,526,bzbidxjqjx,-961
-0.443,0.1505,0.1345,0.013,-557,278,-446
-375,-163,CAt,DOg,cAT,znfxgqxetx,-990
xesbemixkt,-753,-386,dfhlmhmqqc,dog,-599,-884
