yjsmjtlrch,amlzdfuglk,rlgqsfecak
kbidpdsqxq,dfmqzdelle,204
-161,fdgiaqjdys,-0.17
270,dOG,ahapbikbnp
-260,clclyxqawd,bycitvmrbr
Cat,cat,-174
ovmwpakbzn,cat,80
-420,-738,-0.1855
651,cat,384
jhhrhaxcnz,-436,DoG
hmuuyfzuzw,htauiksvmw,zqrrxuwwut
dog,idpnugbcrj,bqldckxgom
doG,-735,Dog
703,gnguxpjfgd,DOG
0.148,-0.038,CAt
-519,-67,0.3285
nonosfvxzl,0.229,-0.242
0.161,0.3445,mznlqfuffn
tpqpidswkr,zjfphpnuhw,723
-274,cAT,-30
-265,-397,cat
cAT,-246,-799
0.4015,gqhjlsxvli,850
0.246,emsaxgzvsh,-0.369
0.43,dog,lvnobdsycs
nwwkzvhgim,260,-0.355
cat,241,uwadbawhwn
-484,389,539
vgtgvctyof,355,0.454
dOg,577,0.0135
730,809,hlteulwfar
-0.248,-0.1725,0.269
869,DOg,983
CAT,-0.027,dicunsinxg
bciutzzhyp,0.294,0.441
-0.2075,-0.1785,-742
-617,0.36,eeajuoctcr
0.3485,iyuvtgdiyf,-297
929,DOG,0.2765
sufoocixbx,dbesehucew,vtqcdlqbcd
sqhhxvombl,-53,0.037
358,-0.423,jtkvqbzwkc
atibvfuxqu,887,-0.091
DoG,xrexpjybru,0.372
vgernobauo,CAT,936
doG,cat,DOG
177,iqueyyrrnj,-0.3805
-0.418,anwpzelvli,-0.1005
760,0.1215,-151
-0.2805,Cat,9
Cat,pvemknqijg,992
252,kjhwmmpyuh,tsuqiyadaz
0.4795,nkiqbpylbd,592
0.0665,708,288
dog,-760,-0.0725
946,-108,375
cAt,efdcvdrxuc,kqxfomozre
0.062,gxqzfmxihl,0.0275
-247,0.102,caT
Cat,0.0935,cAt
-0.4145,-0.467,-0.058
CaT,-547,bgmstknslx
