lmzkewfata,blovdwbmuq,ennyldwhls,uskqrddzlm,pET,dvraqvslxs
-0.2615,-0.0105,mexwvdzske,-0.412,dOg,jlblalmlel
0.2335,dOG,0.49,xgneguiqju,cAt,-0.367
CAt,deoembxgvv,pipxcoumir,525,onpsyhjnlg,mnvhdpgagu
futqulteut,dOG,-303,gbwazlymxg,DOG,xajwsjbuis
348,cAT,0.309,vgkigygbrj,ulicqakoio,0.197
-0.288,-718,0.4945,0.497,Cat,474
lzwcttqrzv,23,0.049,0.2355,dOG,rlagydacvy
sivewjrodv,-313,zaiooaxssi,0.0725,dog,DOG
CaT,cat,xgcdftosfz,fclkeoazxt,DoG,-681
DoG,0.0275,yfiaxbsguq,309,CAt,mxcbnrepfc
-132,-114,-0.2525,kksmhsfkqy,0.1185,0.1605
-608,66,0.408,0.4015,doG,771
714,0.2675,0.3535,qcnycxqgpu,Cat,-745
xaszxtgeed,-525,-0.336,0.002,hsfwjaplcl,983
0.4565,-394,943,CAt,Cat,upuvjdqwqa
0.0735,svozynngsn,-481,0.3495,zrtandkmgf,0.2535
0.311,-562,-908,hblsmghste,0.388,wnkhzohled
vqaygzrpyi,xhqjdpkcia,fvfyxlmebp,foekiuxulp,cAt,678
qzdlmdeonz,-616,qpnzltyxfx,0.2295,CAT,-621
0.42,DOg,0.0035,-0.2735,doG,899
205,dftwqzghpw,CaT,gfrbndyfuq,zgmkqsgrou,697
0.3535,-0.1125,225,-838,doG,maksddcbwi
DoG,-0.386,zwtlsvnsdv,-209,Cat,xluesvqhls
mumppzxnpz,CAT,emchpxmyuq,erqyqmnzpt,dog,-791
abspsemsgx,0.4195,bxgipnejwp,tydceeghzk,CAt,mitumaitcx
-0.211,dimhyghowb,0.1705,48,dog,caT
eqvrsvqfbe,-0.4795,0.4805,qlcnyptunk,-536,doG
cAt,0.3215,257,dhylgtzwrx,cAt,967
skjrxdjfvq,-0.143,cAt,667,dog,676
0.304,DoG,-257,-0.357,-835,hxxlfkvwcn
902,wlijdiwucm,-363,-0.1205,dOg,241
574,-0.296,0.2515,moddklpebj,DoG,cat
0.351,-0.016,0.452,0.0115,vgolfpcdfa,ovucymxdzq
caT,CaT,-0.156,-0.483,Cat,dOG
-129,doG,nulchhpgkx,214,CAt,-918
-0.171,-0.1715,0.2475,-0.396,cAt,qtvxcdwwdl
-0.019,-0.1975,nkirvqipmr,pfkgiqovoe,caT,-155
cAt,cvczswdgtc,dOg,-929,Cat,852
rahbkfhypw,dog,hyyiwurpwu,-571,Dog,353
0.0815,jcmtvlimtv,-0.083,ssysmupcqa,caT,156
jgiunzsasf,bvoyuynfkw,0.129,-0.264,CAT,dog
xaffywjuky,CAt,0.44,dog,-378,cat
gkltjxilko,fnwketrctn,hvcbpygduv,719,doG,htzkpgsogm
0.234,-49,-0.1185,dOG,-0.1395,DOG
itmgcdfeac,hdpsrdewpf,-695,447,Dog,0.3785
duozjamncn,-0.1835,rzdsaccfjz,DoG,Cat,0.351
0.2525,121,172,pcffmfcyhm,dOg,umoghxwjhm
pgjwskojqo,CAT,wmjjmisnfq,-771,dog,vsmewnkdgr
Dog,ejveaukhre,wtnlfcewpd,0.002,wezpjgglws,0.315
DoG,zjxoervggw,0.473,-810,DOG,0.4675
0.213,355,cat,0.3145,cAT,hrmatuilcn
0.1255,0.0535,DoG,Cat,dog,0.33
icynhbohgv,-0.196,DOg,740,caT,616
933,-73,xlaamgefor,704,432,doG
-948,lxpcdflnks,omsyfaradf,-0.0815,doG,oojlnyssvj
DOg,mijvdcabip,0.02,459,CAT,DOG
-108,exviosbsom,-922,ovjityfcon,dOg,hqsnqmpsjn
vboendxwzl,-220,ppmjxpzzwg,ikmfiimfks,CAT,0.2535
ehcbkzjmgd,dog,-619,0.0065,rmizoneeqc,731
271,cAT,CAT,-0.0055,CAT,-630
32,78,694,cngvfhcmyw,ulqnmblaun,0.422
71,0.4165,697,ycpnkaedct,-0.427,wtckalfpsa
0.414,cvyfhljvzv,0.2225,-689,DOG,-0.4815
-391,sfrzimunlz,vwbqoqusii,dog,sohjxjcuqr,CAt
330,0.409,657,-0.208,-949,wspfwvtmxj
-684,rxiaozbwfi,cAT,DOG,dOG,okxjbtjcdd
enoalofovn,CaT,CAT,-0.2445,doG,-0.232
-0.1945,fbipsgagik,qrcfcmjnfa,743,Dog,caT
txkkqugzsn,CAt,iouhfjcdih,52,doG,-0.186
fyvanipguz,-0.4795,0.0505,fyqmqxxvgr,CAT,57
486,524,-951,Cat,DOg,-513
