qrsyewcmgg,ebikikntub,acxkgfhfsi
-0.3105,ndjnxiibtj,-602
Cat,546,0.4315
0.2735,eggcoqkesb,scxygmaqzd
ijmvbsspft,vvxfqqyhxd,caT
CaT,742,xuqrixrjmm
0.2765,CaT,96
udmrwayrow,pxdxqoggoe,cnunxxiacb
851,-377,mnzyopftml
-0.094,-0.3275,0.1145
ogsryyqogs,428,-0.31
igljvwqcdc,0.058,-984
qfdufipmly,-0.245,oectofpmod
dOG,CAT,-343
426,-685,671
khhivbtkhn,-0.2,254
-13,sycjflzouy,0.0
dOG,0.079,fnqzgdtcul
snfpwpsuoa,-142,CaT
zklrvnsglv,-981,-19
-0.0525,jqvgkqqmhf,esdgmineac
0.27,-0.4945,kmqyrlwizh
-327,0.0835,-0.248
-0.466,516,cat
909,-0.0365,262
50,jznmmnlzae,-106
mdpzixjsti,fjjguxhdji,-745
CaT,-964,-25
vpczjwuhtz,dOG,Dog
0.3395,-942,zqccihqcfj
0.134,-749,0.058
-357,786,vquolhxhgg
0.196,-608,qegtajqprl
0.451,cfelhpcwhc,-347
413,-0.0285,-0.1665
-0.025,cat,-901
DOG,-0.4095,-0.249
485,0.1895,0.166
cAT,-97,0.1165
dOg,-0.0705,444
575,whcvqqvmba,jfitojnjol
-241,0.1135,caT
cAT,-0.4515,wbiauucdfx
DOG,CAT,skxgcifqkc
0.1255,0.342,dcjuuxwsno
899,gpubqhhafj,ykitomtlau
0.1485,wrbjdomxtr,0.0335
zcepyqityk,-0.009,0.079
DOg,855,mskwhtqlnb
0.4535,0.452,602
-0.465,dOg,-613
-974,-356,0.215
wofvwbcpud,572,caT
CaT,952,-0.466
snwzdujxmz,-14,-0.37
285,0.4285,wgwuabjnmp
yxsdbbtcaz,0.346,563
