qgpkzwwgio,kaywzmfxin,pet,lldegaacnf,wjypniyaug
971,-0.2025,Cat,902,-362
659,mprjcatzgk,DoG,0.2995,rtxmuosdnn
763,94,CaT,Cat,-0.3615
dOg,xoxtxjrhiv,cAT,0.4965,0.1005
drqsysmutd,-132,0.2625,3,-0.198
0.3735,Cat,271,CaT,qzjdevifsc
-798,0.0745,cAT,473,cAT
37,cAT,Cat,dog,-41
-0.352,0.4865,dilgjhvgrc,0.4665,-874
-0.296,DoG,0.1425,rtlfyoizyt,bwzwuosdft
882,-780,dOg,0.185,DOg
mlbawvxxxo,caT,CAT,-0.0845,hmshxjxylv
-0.351,cAT,doG,564,652
onrezinbxz,kwcuixumge,0.1775,-651,279
-843,doG,DOg,1,wompslyjfh
dOG,dOg,CaT,0.047,DOg
864,-476,DOG,0.2775,CAt
bwvmluyril,851,CaT,-0.3285,-0.324
cAT,Cat,CaT,xhuaclzkmj,-8
ftgygdhcca,fwyhwhoeiu,-283,-0.4225,zmqdqecpsh
671,-266,CAT,0.493,qokcgcoqud
-855,0.3455,DoG,282,DOG
beffsmymjm,0.24,DoG,-0.4195,gpfwmzhrfl
CAt,-0.453,dOG,cat,-433
CaT,Cat,dOG,xszrxwqtnt,gfumxfcpwk
0.2795,DOg,maxfkovfdj,-0.048,0.3275
doG,-426,0.3125,CAT,545
0.463,0.0035,cAt,-0.249,-901
-0.4785,0.4425,DOg,-0.0515,-696
-261,fltwecwwcq,cat,0.309,-296
-0.0765,317,DOg,CAT,wssvjxqdex
603,CAT,DOG,0.4705,Dog
fcehvbsnsf,0.358,dog,dOg,0.466
-0.0965,Dog,doG,0.239,-321
-0.027,0.34,doG,0.3175,kvooqpclco
bhennlliov,0.0635,spzswllckn,62,jqotwofvoz
DOG,275,-224,-116,0.289
mbxvzxfhvq,0.3225,cAt,0.2435,trcckeqnrt
0.147,-0.4005,Cat,cAt,Dog
0.2165,ztfpicvdcg,CaT,sxfcdotesz,Cat
788,0.2755,DOG,wdnopmqynz,136
-0.3815,-0.488,caT,942,CaT
0.229,aazfqxqpkl,CAt,Cat,187
-710,hiqsvtkaqc,DoG,0.4525,-0.4465
DOG,-0.246,dog,xizfzctdyt,-479
caT,gxzcyocbmq,DOG,735,lkeuscnhmr
-0.0725,caT,317,-0.3505,873
dOg,-982,CAt,-23,Dog
-586,hmrgjsgybu,puyvulyhkg,nwqedpycyq,-580
213,mnbvgaszyj,dog,295,0.2355
0.2255,-0.3485,qsvtsyffwm,0.312,evaonpiwwm
pveehqirhn,677,CAt,0.4545,cat
pkfpqkffuu,CAT,DOg,-177,-422
Cat,-417,-0.2435,tnoqxbilci,tapyqhpwlj
htcbpjketr,-425,0.2715,dOG,sbmjygkuwo
422,cAT,doG,-0.1045,0.0895
698,lzbiieeeky,DoG,-0.147,512
obsunfxfbu,zzqpnfkqew,dog,0.118,tuvjotmzls
CAT,0.457,qzianjswah,0.326,0.4505
dOg,0.113,DOg,cat,-150
lhyygierkc,0.4085,DOG,DOg,doG
799,0.211,fkoqswoiai,969,286
hdfjputefa,cAT,CAt,cAt,-0.1845
0.392,zhfrcznddo,DoG,qnwkfagfuj,0.175
snrbjnabfb,cgenlafdgu,CAt,-622,-899
0.421,0.2685,CaT,phxavinmmw,-0.08
-680,xuplmtfhbs,CaT,0.1305,0.39
0.3565,0.1665,865,sfrvzboqhl,-0.3775
Cat,yhsqxoeiiv,yizqjkfezq,kvfogaonfj,-0.4125
-0.467,0.298,cat,-0.283,-0.124
0.055,txxmtqxjxc,0.3005,-0.206,wcwfrpiaod
dOg,320,-0.436,-994,0.373
-0.4955,DOg,233,-0.136,idcbtznjdp
0.1415,qkgmnoyupg,dOG,gmzcqwddjb,311
tiirtdusin,446,DoG,-928,Cat
