ygtkwzagup,PEt,xdafdezrye
qjyuponpwx,CAT,quugqudora
0.4205,DoG,0.152
-0.227,cat,327
cAt,Cat,0.071
-334,caT,0.3095
0.255,CaT,-0.0315
93,cat,-0.2
0.451,Dog,doG
0.0785,caT,-167
fvxezyxuyq,704,48
cAt,Cat,dog
hnenjweami,dOG,hkvuvoaipg
122,dog,numqbwzwmk
0.171,Dog,0.244
xkcmbwhvac,hgbyewbhbk,dog
dhclsdmpfr,-6,hhxiqeekvi
ysjzclamho,cAt,akudgthpik
990,dOg,CAt
850,CaT,jbdwcfjllt
kgboyepahf,DoG,jsoyktwwex
279,-0.125,298
-0.447,dog,253
0.383,DOG,-304
-926,cAT,-0.1615
yuhtacjnia,CaT,hwtgmfmcaq
gwghelhjws,cAt,0.2395
CAt,DOg,-0.369
0.4855,0.054,-527
-2,-735,DOG
dOg,CAt,-493
-453,cat,cAT
971,dOg,ygkrvudwgw
DoG,0.2525,DOG
lktbaieais,Cat,0.1485
urlllbgwct,dog,CaT
-499,DoG,Dog
Dog,-0.2295,ldvynnmghg
DOg,-0.358,-469
-96,0.184,CAT
zwyszfdcnn,CAt,335
-924,Cat,-575
-421,caT,CAT
739,CaT,-945
Dog,CAT,-836
-667,Dog,0.2515
-0.1635,caT,-0.322
-437,-0.1415,-123
530,210,znsqbjfijy
-0.371,cAt,jhvxmvciux
972,cat,-0.235
-0.395,DoG,275
CAt,DOg,72
0.3755,DoG,-0.216
0.117,DOg,-0.457
433,CaT,wrbtkgnysw
bnmhsdxmxr,dOg,-0.498
0.0085,CaT,wspdbcdmti
dOg,doG,0.3935
-0.321,DOG,-355
-0.388,-384,844
dhjyiioieg,pqhrhhespi,-122
