dkcjlxgwlq,hlxnhqxuug,rhhzsyuubf,gjjsjyjhzv
0.178,-57,61,951
464,CaT,Cat,-783
DOG,283,CAT,-434
alqnhufzto,Cat,rzzvwcmjhy,-0.3255
0.246,ufdoxocwse,-0.4375,-418
hyomzmgvos,dOg,-990,503
Dog,uwlwtgebeq,-12,-864
0.069,460,-178,yioxxczytm
-0.1815,trimyzjzlp,Cat,128
CAt,kxnfnizbdx,208,baltwlefrw
caT,0.403,-0.227,Cat
DOg,dOg,-0.2185,0.051
doG,dOg,0.133,0.2975
gxvlthqyjr,-631,vnykjmgazj,-0.156
-922,0.2035,0.3875,cat
0.1775,esibherjpz,ytayhjlhot,-0.348
0.447,179,kwbyzkqivp,368
jhevqqvbix,6,mcasbaxeup,-0.235
Cat,875,liydwjrbvm,-298
tgdlnkvygy,-0.4585,gghfteuxjt,0.003
qejskyaisv,uftdnzbdtp,doG,-487
0.188,151,yajuqympxu,-0.079
679,945,0.034,21
