rjbspxqbfx,abpcioqdkb,vaqrzcrozl,ysukctdqii
pnaqxbcubv,0.3615,CAt,DOG
rvdmooyeud,932,-368,DOg
nkdxslroat,ffdjqdqdda,0.345,CAT
DOG,-0.452,-0.293,doG
0.3995,DOG,0.028,0.264
-0.1575,cAt,-0.4255,cAT
dOG,0.0795,-0.263,-0.3905
-0.4335,-0.199,-807,sloykbbqrn
0.181,doG,hbmhgcaklz,0.3945
0.3275,0.0325,94,teicxtlbib
lwzxahlfyt,-0.4365,-0.127,cihpzypywe
DOg,-453,-0.4155,934
gjtqfgorkw,Dog,740,327
dnxdianfkc,0.2415,959,nythmywzvz
0.356,-0.3065,yklpijcejv,rcarhbteke
-921,pcttftdfqv,CAt,64
qpdwyjixqa,wkhtlriaci,Cat,0.2385
-0.313,0.2735,cAT,242
CAT,dOG,0.2265,fgwndbiesh
-317,703,-0.3305,-730
pyafnjecvk,0.2685,doG,0.111
356,silfjsdayc,-698,-0.139
