nrwgsxhdgl,gmdmzmshrz,pnhkpbefoq,uphoztcwaa,PeT,djanjugvcd
ibhepnkdgp,0.34,DoG,-0.218,455,yfelfjipjp
umemgxrvit,-178,541,swrnrnimgy,cAT,Cat
0.3225,jlkupqzxpr,-605,0.121,DOG,-181
CaT,555,0.0115,dduoaqmmgf,dOG,fnnxuhpnqo
DOG,dOg,0.097,-0.4885,doG,-0.2415
dog,CAT,0.2325,ptlschmwri,CAt,-935
745,-901,0.1385,yqhhwbtsia,cAt,-138
-167,173,oeejuwaoow,wbkbljppro,caT,0.161
nyibeupzax,xlyiwwzmgs,CaT,erpfbplaaj,cat,jiprgrejvk
CAt,dog,CaT,bgvvgeueid,0.4745,rujzlfanpb
bwqtwynezi,gxguojzhfw,-0.407,wjwllmdxlh,cAT,-541
-0.328,nfiwnsutam,939,0.377,0.0005,fctzjkugia
-948,dOg,-698,-0.032,djjdirvbyn,-386
doG,CaT,ayhadhcxct,-0.266,cAt,-5
0.418,-466,cAt,-240,DOg,-0.353
ealwfubshk,-464,-340,qrlkdygxpk,CAT,-0.279
417,-94,-0.4685,gtatqmbvsb,dOg,-0.3655
-947,0.246,cAT,-0.467,DOG,mzgcvvssld
lqjhonvzft,qenytfqafy,xdhgnkgylu,767,CAt,crzxlfzyqx
DOG,ullrdrhoyv,docbpyvexv,-89,cAt,doG
mydzfqxedh,-0.047,0.227,DOg,701,CAT
dOg,-0.0525,-0.445,ohixsobubz,doG,-0.2165
0.4945,0.1175,-0.1775,myfiuocdbm,CAT,-593
-0.433,qvqajpnutx,-995,pqoptgfjnn,Cat,kczjofqrgb
-0.0015,904,-0.301,-0.439,DOG,DOG
vekrgouapy,-0.181,0.1375,cdhtmmjwuw,dctpzimqim,-949
103,cAT,jcrllopxqk,-0.1085,dog,-0.003
725,923,0.3585,-811,0.386,gzaqdpmsxp
0.172,pdryowozaz,-0.0625,-0.42,344,62
0.3195,653,emnkutrzsb,217,-0.245,0.275
-423,oalubquiqx,-0.081,dOg,dOG,566
ossxglsrjq,886,325,hqpjnsfbjw,cAt,dOg
DOG,cAt,0.332,lyzvfijftj,Cat,CAt
heqgcuttuj,-0.116,dog,oqxgqbhoav,caT,-270
oqdtcebabl,-684,0.1595,kzuykipvhy,DOG,0.4395
cAt,rssdixxkip,mztuwcklgu,0.0975,DoG,1000
0.2695,dOG,DoG,-125,cAt,tbnnznjxlm
-368,0.3105,935,kbwxhyhwyh,caT,idhkrbjbak
DOg,-209,0.035,209,dOg,440
oinwltmmrv,stoorhihpl,0.406,ukyaheteml,CAT,0.2575
-0.431,-0.0315,0.46,0.089,538,-388
ybfgrntvrr,-505,lsvapzmlrj,-0.369,Cat,-0.12
873,dOG,wehwljydxi,-967,Cat,0.4285
801,-0.003,0.1615,lswcooxtgj,CAT,-88
cAT,0.096,-320,Dog,dOG,0.485
-802,hqweylhwkj,tvfsbtrhyu,doG,783,0.269
dog,CaT,tkbrwbtabv,cfdqifdibp,dog,-333
ccbjgijytp,jblecnyamg,yhieecphcy,mbpbwzghus,848,DoG
-527,-286,450,-893,cAT,-0.04
-536,eieicvaupw,-468,0.373,txielnxbbs,280
rlphislcyj,-361,-484,0.4545,cat,xaqmbpuwzr
alauilzeol,-803,bcnzrttbvr,0.382,CAT,0.219
-591,847,0.3175,btsaxrqryx,537,635
-456,Dog,ylvykbamaj,-0.409,DoG,dOG
0.002,210,dog,0.304,cAT,cAT
0.402,bwsmhjyxhx,-0.447,0.301,dOG,0.0475
-381,0.1415,cAT,-0.217,dog,-702
-0.196,-0.3735,cgmkoxucsa,0.392,doG,caT
cAT,773,kisfxdkezm,caT,caT,-0.0935
-650,uyaiiokgmt,hvcmkyqccj,beiexaumpi,dOG,-0.3275
vfvfzmajfq,uxhzcelqut,azqtysveaj,dog,cAt,-0.325
771,0.1355,-0.325,872,343,dOg
-0.049,skwemyjbhh,391,-0.1915,tsdieaworl,wtzzwgxabr
jrrefghkvs,dOG,-780,-0.098,-0.4805,0.462
0.0165,zdpwkfpeac,-0.238,0.329,-0.336,caT
0.0295,-478,-0.059,ijmzmbeslf,DoG,sdrhgbcxpd
633,uiavpqqpev,-589,ikfepgpkzc,dOg,-394
dOg,bqhsdyhayy,-0.334,-302,nhkovdqyly,-0.3605
CAT,gaqdigwgng,749,CaT,Dog,ufsoqqhbtf
-559,doG,117,wequclwglw,0.2325,guagtadtne
kcvvqwiwde,-0.17,-5,pecqvrcupf,CAT,159
227,iplouhxkgu,xvzyeaujpd,0.183,CAT,0.453
0.149,yhgbciutqe,irxuuwpxui,-634,mwwqwzerfc,-0.3195
256,0.44,422,147,-715,uhfnznegqu
0.335,orryklrijv,707,-89,0.146,ckmnmqyesg
-826,eyjoezlstf,aqcakqwyta,-681,CAt,14
-277,0.15,ecjxmduism,0.0475,dog,0.4125
fqqpbuwvym,Dog,-993,nqviuxbxbj,CAt,qdzkizbnfy
zzbmnxbiax,0.405,CaT,-0.375,Cat,DOg
jgqrdpbaxm,0.0115,0.295,Cat,caT,-229
Dog,-0.461,333,fgbgaxrykn,dOg,194
-0.169,-0.032,310,gyenyzvdqp,doG,cat
-326,-0.1805,0.1395,-311,caT,0.437
-0.151,0.3155,-705,ycemhjaslg,cat,reytybntll
-0.4935,185,-0.1265,brpnzqancb,Dog,awguimjdyt
DOg,-0.2035,-923,819,dOg,-0.416
