waclplswms,wpmhmbywzi,lgenzcslbe,mcpszbjgas
ecpxqvbvja,-690,Cat,0.491
49,-362,doG,-0.2025
wfzmsiyxvc,DoG,-0.083,ojgondcmgr
dog,xrcjzxgjmo,254,oipzoeroiu
0.003,0.3535,rmmreukdbh,-0.1
haawzhpfku,DOg,0.0445,ocsjngshic
-608,wyymzrwsxn,0.0735,0.115
-735,-233,-306,cAt
-978,-0.1235,446,0.366
Dog,839,hzqrombugd,Cat
-0.371,ruddjjtzcf,qjencobryt,vmhkyjhjmh
-229,966,fpmqxvfjxz,270
0.205,428,-0.495,-866
0.019,-0.0545,orghpwukgb,0.4275
-422,728,0.1545,hqifocznbv
425,0.3765,DOG,0.3935
406,jzkypssscb,0.307,dOG
Cat,-741,-0.0635,0.404
553,-0.2485,-0.271,bczqcobygn
lsdnclvkoo,-222,203,0.2305
-592,cujiwkkhkg,ejryrarebx,xemgncekyh
-0.2965,-289,DOG,mercdjyuis
-544,-0.096,-0.184,CAT
zowtbgumhl,serkctfdoe,-0.107,771
0.3445,ahmvvmptfk,736,-950
-0.036,-502,-0.153,0.052
953,cat,-0.296,0.16
-420,429,142,-988
435,-175,caT,Dog
0.159,-0.114,0.333,-473
-0.4785,0.013,250,CaT
-708,811,cpdcfjowbk,-0.16
-738,txyzafnzjc,0.2395,0.1045
nuqyphcppq,-0.42,-217,xpcbvijuhs
169,686,cat,-979
364,bsjorcwhwd,742,knhyuywtuj
-883,0.166,-0.0025,0.325
-0.0505,-0.2975,rnetxmfzmd,0.1855
cnclngifkz,56,dog,dog
uuajkqctff,-552,aluksontzv,48
wtnwpisqut,899,oubaanaiwj,-416
nkppnsvkmw,670,hfzdaxkqcu,-0.1485
qhwcnkltch,-602,ffgekfoqvq,0.431
kziufucoxx,360,deuxqqwmjk,543
515,-167,0.234,499
tebyvauzce,gkuykiyfmn,-0.263,zqclclrhvf
-0.0425,fypwmuyols,0.0145,-253
cat,fvdrpernzq,829,0.195
-0.2035,-0.256,DOg,-0.2145
ajwuwkobpx,DOg,xxiruzmfcp,CaT
CAT,0.1385,vtpuitjctr,-172
CaT,-0.2925,556,0.274
DOg,-0.172,uzcbayjkzu,dOg
0.373,-521,-268,fdqqpdgyzy
639,0.047,Cat,-0.4475
510,onmdvznegh,fotbkaxkpc,sehlpibygs
0.0435,-739,-0.2655,CAT
fshbqhymth,cfnuygccjg,cat,788
DOg,-384,-890,-0.032
-765,989,mdxdpeooho,0.495
gatkydjpua,sxfmvxnxzh,afnzuldrxk,0.1285
Dog,0.268,-302,veeuifybjq
abhbppimno,0.2745,dOg,0.402
-0.1245,-0.4,-900,0.225
DOG,Cat,kvwwymfpjt,556
0.4365,-0.243,pbrkdjvfqy,0.472
-0.134,0.485,dOg,zgqsrvpcha
0.331,0.3765,-146,0.282
dog,-187,0.2125,yebwibmvwp
-0.357,-0.04,-861,dOG
0.4245,0.455,cAT,-425
-0.019,0.2535,704,-0.3505
0.294,iibrtsarlk,acrhnpgdav,0.448
-603,cAt,wqnghnpcbp,prtcbxawtt
hrcznlsumn,0.4735,623,0.3935
441,-279,0.1485,-0.185
dOg,utgvfrhvxg,185,Dog
dlugdklkbk,-111,kwyhjnkqoq,-163
CAT,740,811,-0.3145
cat,853,440,-898
