wruqcaaudd,jynzrcuubf,lmqtgxiuwg,kyymkxzbam,ytlzsjdrbn,kekumbakkp,PeT
-592,-0.249,0.0575,-745,DoG,-0.443,582
caxdeykrbh,tgwcydahlb,0.3405,ulfkoltxln,-765,-720,-0.35
ubddnrnxsw,846,-0.0135,isejmyymmu,-11,0.3845,DOg
-0.193,-0.223,108,0.495,pevjntuyjl,-523,Cat
dOG,615,pwqllgycpz,343,0.1675,pypiyyrdtn,Cat
fqujqiwinv,eimbszwesw,0.1595,dOg,DOG,-680,-0.2885
-435,opxwmvkfed,-0.4305,-979,162,-0.3995,DoG
535,ahucflhmvv,-589,39,0.0175,cat,DOg
-0.2635,-0.0625,acprpqvhcz,lvclnnaagj,DoG,nhksbbdlbt,dOg
-698,-640,-986,-0.042,cthiclafcu,0.372,doG
peuzbtzzfx,nvbskwiavw,0.348,yzfeddtuvh,gesssaufkv,-474,cat
CaT,534,DOg,912,yciythctnx,-0.1495,-699
-0.1595,yoyihcatpi,793,0.127,0.2805,-570,CAt
0.0485,215,-888,prljaimiss,925,771,cAt
-0.1815,zoriddkbug,0.1025,eganpnatno,cat,-0.135,doG
734,-841,-86,-0.1345,wpohihvlcu,htrmjmihrv,dOg
cAT,274,DOg,caT,-0.214,vcfiezqwix,0.232
-0.3575,cAt,-895,dog,-0.4195,0.429,Cat
51,-106,0.1825,966,nimwboiwli,0.214,sblkrkmjif
-338,ktmmrjqyuz,-0.06,Dog,ybugqsvssx,dykgexxeun,cAT
0.0195,0.33,npjfigljlp,DOG,0.2635,-0.495,doG
caT,tsazenocik,ftpsfclqrp,doG,txjpncxnjw,jawipkuckf,dog
Dog,0.064,0.382,mpnxyckhzs,396,pseesvskna,-665
apdgvyclgt,992,0.2225,-528,-0.106,562,cAT
CaT,-259,-0.417,-0.0115,0.0535,fdmnjonzjt,CAT
uopwuijmuz,-0.0315,-0.0365,-0.093,DoG,0.1585,CaT
-588,-0.1535,-0.49,sycodkvabp,-87,784,697
CaT,caT,-0.488,dog,-991,evfzpzaqiu,doueopoldl
691,233,Cat,wkfahmmdeb,yljzimbwjf,-0.475,16
wltaajtjpk,fqgmlfrcik,-0.053,0.248,-54,853,DOg
14,bhcybptfga,0.4125,zukvgwiqls,kcugbvisql,dOg,-950
DOG,254,Dog,dog,-0.2345,0.074,cAT
-83,-931,0.204,538,fvdtiszqlu,0.113,caT
-410,wtnksrhjxt,590,xiyqfvwwzq,0.03,617,0.356
-0.435,scsnumdlhs,inxxhsbgtc,-0.0195,-12,904,dog
-0.2715,dOG,fcwnvyzbwd,-0.176,-0.2965,cat,dOg
quxzihhgwl,CAT,0.4335,amuoxmsxjj,-523,0.2195,0.113
-0.454,ztehcpnndo,-0.2625,uranfklobe,-0.3845,-405,-0.4525
CaT,-39,zeqzwzsxam,zgulpfnpdp,vuhpacwzue,0.1445,0.252
-0.2025,xyxxjwnaof,icsziiuawl,gppaaxpxgx,CAt,wrotekgvqv,cat
0.3245,469,-847,xerivvxnhc,-198,565,dog
0.0105,dOG,-229,cAt,enfzjagnqd,doG,CAT
aaviuqtsib,-0.1455,tgpjcyxepw,-0.1335,0.0295,dqrhpngsbb,caT
660,-328,vlflftdvkj,965,-0.242,-0.462,0.4365
-0.3775,-833,caT,0.39,-299,-353,caT
777,-0.14,0.1765,-104,-520,0.144,dog
512,0.411,0.3095,0.3805,DOg,caT,caT
-956,731,suviyrljhx,Cat,-0.466,114,yjjkhctfax
0.459,izawklybzx,836,0.4765,Dog,51,cAT
cAt,ucadxprtvt,ihreetonts,CAT,280,-443,0.316
293,jxousktpdh,nyphjxujdk,doG,0.2135,caT,dOg
glbvndbtyh,-0.3165,955,DoG,0.1765,-997,CaT
636,-0.319,0.315,0.1985,-849,zuqnsfoohp,vsrbwmqpug
asjlsarmmf,0.2355,-0.3955,unqtpafhfo,0.0,kcctyrkhat,-120
-659,913,dspbnkgjsy,yqkortyjra,-0.4095,urdawqdmqf,CAt
-657,hzabqbatml,qafkzpmvol,-929,dOg,267,DoG
