pet,wcwoskmgks,jvcblzkpoi,puaepupryv,ddckcnyqpw,xswufjrssv,bmqkkgwvjh
cAt,nsvhqleafq,lpxxfglnbe,-566,0.016,-458,txfxokngua
wyzyeihcpd,469,482,-379,0.063,-423,0.2525
CaT,0.49,-748,dOG,-349,njdfkxrwsc,-0.223
-934,DOG,0.353,-484,230,-0.458,dOG
dOG,mdqmwyrryn,kbzrjbrjzp,0.0975,-0.1495,-0.3405,122
CaT,-544,josxnosomn,0.3955,CAt,cat,-720
DOg,-523,-443,zyjzdnbfdu,0.1945,-221,dOg
cAT,mlxdgjmkkt,-0.486,llvoslthjl,hopnjiivpj,0.4285,-0.456
mlusofywvj,amthrdpoyt,-0.054,-0.054,-0.004,-0.1835,0.3825
Dog,105,caT,uwqjivvxrs,0.081,-0.246,DOG
dog,0.1015,xkjurrmeli,pcjfnhnuxf,cat,300,-0.303
DOG,cgydzyyrkd,yfgvvypilr,0.177,896,cAT,CAt
CAT,-0.337,-672,-0.4375,-0.14,0.2545,-0.2055
DoG,0.055,hcynnoftkr,itynmcekqs,0.375,558,0.3925
dog,-215,600,-127,xvbqieuoyq,-710,zcweqxoaml
