vfoypihzde,jptajrwire,ztyjdyndml,vydeayqdrs,niuapvaohc,kngeflmyxk,nonnoicymz
CaT,czlbzelyyb,ehrmapgxev,nlbcugwakc,dOg,800,dOG
doG,lumzhbpapm,eueeevlocm,-0.1415,-438,-875,-0.055
caT,0.38,0.314,boowdzelzv,cAT,0.477,-0.486
0.191,-281,cat,uechhviuuv,-255,-66,47
-0.123,-0.2615,0.387,0.03,0.052,-0.465,-288
-0.2325,-968,dljnrxpvfx,dOg,mmvshogsrx,ediihgcdfk,-894
Cat,-0.475,ibdbiyldgv,-0.116,zqqczqcrzx,-0.368,jagwfjczmv
0.4975,zmbtayabeu,yrphjmrwyi,0.4865,0.2595,0.1195,749
yuaqbyeejg,bqldisailb,0.4985,0.467,-0.093,cAT,caT
vuahohtjur,602,ouhaataapw,nlmutomzqv,bditslxprb,175,doG
dOg,-0.024,hmsjqvabgf,pjibzhtgwi,-0.291,0.4415,gahikktbzj
0.348,-629,bnnpaoykwg,-0.248,0.3875,nlknmzxhob,caT
-463,0.379,fhsaykfdcw,0.137,0.09,50,hhaikluixh
CAT,0.0785,vxmxitipvb,-0.188,dOG,niseplqvcy,aihuvhqmds
0.14,-0.08,235,-0.2805,CAT,hczpnjslpi,zjlfbptjfc
-0.175,ukabqacnrw,stvtoqvojj,0.314,-0.2455,797,-818
-631,396,CAt,-466,ngjsyavfri,395,CAt
-221,-0.3535,0.3545,zrdwexmuwz,0.263,-0.329,deipfiqbhr
tusbchkhic,mwumjrknuw,618,0.019,doG,-439,0.0315
-497,cdvtvfdtee,oqqbshfzmy,-391,dOG,0.3405,0.208
matarerrnd,cat,ynougryskf,744,-148,DOg,dog
550,0.0295,-0.237,ajkfxzswbg,15,-950,ttaryhktoe
-596,baqbelepbg,-881,591,xzqjnildwh,-312,887
iocjstmikh,0.4505,-0.297,0.421,dog,-194,688
CAt,ftsuiqmitb,mkjgtblxeh,bnpujosydo,cAt,dkoprrsnmi,ddeefibvgw
4,0.2715,-0.184,-0.363,502,mwzlngprnk,DOg
tfpvnebuic,hsfrnupysw,heemchnlxp,892,xclfbvguaw,poooxobvqo,-326
375,sihqvlcsvs,-171,75,Dog,465,cuvadadrsk
-95,0.296,92,-0.354,dthobpuvso,-0.391,DOG
-34,pyqxbhgnwe,0.244,gwpqsqagbo,-0.2615,zlwfuuwgft,-0.4005
aackkyfotl,wohfisqkue,0.4005,CAT,eetvmbryyr,0.285,0.3245
0.0465,Cat,jhsolknyos,caT,djtamcpagu,675,yiknkmbxyn
0.3205,0.4655,-457,DOg,-28,-0.2745,DOg
866,wkifwqvpai,ypkpycrrvc,yiouvzjhdo,769,tlfunjxsey,-0.2475
903,symvyykfic,0.4355,901,0.2985,236,0.4645
463,dOG,0.233,Cat,DoG,dOg,CaT
waentvpxms,-693,gvkojcckcx,-823,-1,doG,DOg
bbucpmvqja,DOg,0.4695,0.036,-539,0.141,446
132,puxnoweifx,-299,lowvxcupbm,0.129,-0.3845,-0.3595
-161,wfyhlgubjv,-0.457,othrsshmat,-0.472,0.179,Dog
-0.2365,dldwbdyzkw,-46,kmgrmxfzpe,143,10,euuurrhhya
-0.32,ssnizdhucn,-884,xaacxepizs,147,-0.294,CaT
501,0.489,squqpqluyk,-0.0525,dOg,0.288,ujkqjpfgol
DOG,-237,cat,xzaztdijvp,-21,dog,dOg
arhtbkyqvn,CaT,-386,431,-0.37,doG,-110
268,nyofpsitrj,-0.458,xjmukxcmnl,-445,-0.3215,wufgvdquwg
971,-0.2945,cat,gukmumfspl,490,uzqagtpfxv,qctttackqa
ngxxeupkqc,143,219,slauetvacj,dOg,799,-0.4145
