weqlqqxntf,peT,zpgxhqkahy,fgpqhpzcel,fblistzmts
22,DOg,845,CAT,rcaxqhblit
pwkdyrrpjc,CaT,doG,-0.028,exynmzfqsa
DOg,doG,DoG,kzjgcvuifv,CaT
0.0075,cat,sydlshwlmb,cat,kumoysgrqm
647,CAT,Cat,fpxgwzrnss,76
cAT,doG,wlbwbaytnm,-58,CaT
504,caT,CAT,mqekovkfxm,xylpxutmjz
-0.3475,dOg,zonibmvxtc,0.3055,ibfllsraad
185,zylcffkhvk,bnetuxryiu,-246,kffeqrqhwt
413,cat,321,0.4495,prwoiqgqex
459,cat,-153,CAt,dOg
119,DOG,-566,0.0795,tryerhxzrf
hsqelqduje,DoG,875,-0.1605,CAT
fempvmmwxa,cat,ezzwkfeewu,-0.273,dsevpjbobg
-834,dog,wknpwgfdcp,-0.233,268
389,CAt,0.3085,ymtwfzruuh,0.173
jrbzzakagz,dOG,-0.3115,-0.267,qzudiitwwr
yrbnbtgaqn,dOG,psvnbnmppm,htgfaqgfep,-804
724,cat,zhbznyyyrb,vdrncznjyl,-0.157
dOg,797,eborzqjfpt,hifzzrqbhi,0.1855
gzcvdiusod,0.28,52,ckrnrqkhnp,-50
blohozrpwg,0.19,0.4035,-0.223,DOg
0.4,cat,-121,-883,71
DOg,jjtluyxfzy,Cat,-0.273,0.324
896,CAT,ufxelptlbl,doG,DOg
-0.022,525,cmzcsvxruv,-0.2725,-0.468
-0.294,874,rlnowjrbxp,0.384,-371
DOg,DoG,tcpvimchca,cat,xgoatsmoer
691,Dog,ptbndjnors,-0.1965,bjazzlcmij
198,CAT,-0.477,wqidyhblkk,eptnctcbcq
aabnhecthv,-165,967,0.4465,taeryjvzsy
dOG,Dog,0.0435,ywpufekrnx,-0.2395
-0.1345,CAt,0.1705,-0.217,0.0935
jmptpphgie,CAt,591,0.335,0.2985
693,CAt,nbyvgvylef,0.156,0.4195
caT,Cat,134,zpwbmvkmmm,-740
izpgyifige,-0.398,cAT,mlejccnfgq,-27
elwclbllgy,Cat,-330,-613,ckguqkhmsd
-0.479,0.155,-0.455,-29,cvfeeehnyb
-579,doG,hxpobbsflu,-0.372,-195
acgqqwinyh,DOg,dog,339,892
yfxfgpftdd,cAt,0.005,574,126
xcnernyrwc,Dog,-0.146,0.434,246
12,nkiqzdodir,dOG,-0.005,CAT
afpqqyvkxh,Cat,-0.319,dOg,0.2825
CAT,CAT,kqpitwgxsg,ndkvmpkgvr,DOG
nkrbqndozi,0.0425,cppeiyiqzi,cat,eyuvosbtyp
rghsmlervf,-0.326,-335,-84,0.0545
0.027,doG,CAt,CAt,-0.3605
-709,dOg,okshjcdevk,0.394,cAT
mgsmljjtkc,DoG,-0.285,DOg,hybkxkaoag
