zelswqxafj,bghufnjesg,aykxhyiawg,mebtbphsux,nwwregxfdr,ijiahndigd,yqmqrbgceg
-344,-676,559,45,sizlyhdcdc,667,719
cAT,ruonfaonyo,-821,-0.2395,0.228,Cat,-494
eezqjkkptj,645,-690,-577,usxcurxqzh,fzkeuuerla,0.45
-738,-0.188,ivzrbttgpb,Dog,-0.4425,swijyawijh,128
414,egvsxjnfjc,-0.2985,hsuobxkcsw,avqfaasofs,-0.028,lhdkhrusgs
-686,-0.398,-838,-0.2245,-274,aqrwwutxbb,obwtiraxje
-0.1005,0.1575,cAT,-740,381,906,0.024
-0.289,barfkkwefz,DOg,0.0175,-0.2805,0.176,mgcifzpynj
-0.364,-0.1255,-0.23,epzdayvike,-702,-76,vbohjssmbv
95,xgmsenbjuf,57,Cat,-952,913,olkyydhdos
dOG,zvhdxdnnyh,fiyvwqyhrh,0.446,-949,-805,DOg
reqpytpzcm,caT,bfxvaibgxk,0.0065,pzxwihluwh,eiculanwex,-0.4775
Dog,-0.157,-0.4505,rthmmeoyyf,-0.0365,cAt,jesphmypux
bdpudomkql,-0.411,-0.323,vdkzfdlfuu,-0.0635,-501,112
-976,460,wfurrdbbkp,4,-0.1555,insbczflcz,bkrvulejqz
-0.106,-291,Cat,DOg,0.0975,-0.088,-416
216,-0.2885,229,eihohydcjf,267,ncndbsgmss,DOg
dog,707,ficqzycfra,banouwpazj,0.4825,dOG,-778
eultxankjk,ivczeyjald,758,kvhfbzibcb,-0.081,-759,0.2505
hosaoyeerc,-30,-0.2115,snxxoxojyb,0.4205,558,poxxhbytmu
DoG,787,xzzofkrmii,hnjzievrrw,vodjigvvur,-0.144,0.208
fyjyktaoeo,-569,279,-107,irjkumfbye,-0.0385,-288
-986,axjzqgkuxs,117,-0.064,doG,mzrgjttzwo,mieazstjpm
dlqkmsuerv,-691,vsiyahtqku,CAT,0.333,weythlrtfw,rrocaoiwkz
caT,101,-988,ttzuozatgy,wepeaebqej,0.426,963
344,Dog,-0.0185,ryrzhbrxal,-639,vmazzmkqcg,-201
95,845,0.0505,DoG,txsxfbdwbc,xphfztuhhk,eifzqrnaka
0.086,0.0745,706,opkusnmmdd,wciskskqqe,283,0.3545
-0.183,-0.125,DOG,DoG,0.0795,araqyodrju,xqxqudprpn
-0.0875,-0.0895,ggoocqovnh,dOG,cat,-157,twhpvhlcec
vzvqpipjld,-588,wklifhjaky,ufenvesdqo,CAT,sjbryhhsri,clssadmwrq
dOG,caT,0.5,tempnrphcc,doG,0.313,-0.4685
yxjqafbgcw,-0.3365,srdrcyjchs,237,Cat,aigjfftqjt,-699
-0.1265,0.383,DOG,Dog,hmpqyyijmf,-160,kqqviietwc
-0.283,-0.117,ywinunnwzj,0.227,107,-0.23,jaasaimrhz
84,-0.1865,pgiryiifsf,0.045,vfkttqppwh,0.29,0.1625
-311,cAT,gwtuqdyyfd,gwpmvemwcw,-0.358,89,-0.3575
0.1425,hrbegzatou,-0.2175,175,zhlfkhkgoy,cat,DoG
-0.0735,573,754,dOg,ggweftpxga,vkqkvlgxuz,758
pccfpyafap,doG,-542,-0.1605,0.112,-0.2225,357
jownlydcch,-372,228,Cat,-0.448,nkqpljgpre,CaT
cAT,naedfopjmt,0.106,754,-879,cat,ybkojfxvmv
-0.2905,0.454,-803,535,doG,-429,tqqapvtzkw
-506,caT,cAt,-0.0215,syvdtvtstt,-0.4155,bqggunjczl
0.395,799,966,CaT,941,18,DOg
0.272,uqlnopekcs,255,311,0.1965,CaT,497
dOg,0.141,-0.155,-474,dog,ndkxnmpifo,0.0105
0.423,756,-45,662,dOG,-0.158,-0.3675
cat,760,241,-246,dog,qxkgmpxhzy,825
doG,-0.3835,lpivcgpypq,729,0.088,0.2715,ayosapblzr
0.1145,0.0455,0.2365,-351,qkthxbvwxq,iahwmyachk,-116
Cat,-664,hmvbusfflv,Cat,-0.366,689,ivyrvwtemy
0.304,hgmakthtpm,0.107,0.3575,0.399,tdlfkfvkmj,innvbfbycu
dOG,xzzcqhhnep,cAT,0.0015,6,517,hqkjqpeags
ewzwpjgjal,823,114,-0.4175,CAt,ejnmighprb,cAT
0.357,-0.463,qzcrmqwxyr,DOg,-827,DoG,534
-703,-0.1105,-0.349,0.069,knywthmfzn,-0.0395,-0.2385
arcscitvvn,-0.32,-498,-0.2625,508,233,582
-0.1275,0.2345,388,edgpjyxqyw,-0.065,169,-0.3955
852,fprjsnmtoh,kpelmftkrz,81,0.3585,-0.1095,Cat
0.0925,-0.1545,doG,-0.078,-0.272,451,DOg
CAT,ritovbwlje,dOg,0.1785,276,-291,0.0395
rdzxkveapa,0.3815,-701,DoG,78,lajpdasgwe,cekdyzgwpo
10,-0.3165,0.409,caT,oblcfwcian,185,asmnjtueof
0.281,CAT,Dog,-0.0625,DOg,-0.315,168
-0.139,0.3925,roxrvwzihz,-0.2595,dog,0.031,wejntyhqwf
-0.243,aukjxjfyng,sdlpbdyhkl,877,iioxuphejm,-909,lyjxkgeaws
-0.27,fdkwwymvob,0.027,hrbzegmmml,sykensljdt,cat,Dog
405,Cat,852,dog,CAT,bdgatacuoy,-410
oiemisizgn,0.3845,koinacembx,dog,-0.0215,724,0.369
