anksbwreps,wmukhijpjk,ixpufyfzrl,zgimlxgquq,rvgxmaqqix,tdixswlcnz
-0.207,CAT,0.2275,xnjeolswqv,0.018,qlwbrjzoss
poqyoqlpkh,-0.1315,0.2905,-711,byczwnhhqj,iyeasolqzu
-0.0565,yizpkzjwal,2,DoG,qpzigehcfg,-0.347
445,251,-0.243,skqremsqoe,-120,CAt
904,Cat,528,npbqyrcvel,CAt,622
-241,38,-0.29,yrstffcysy,-0.275,-0.261
cteygrkjfv,uvnkiiwzki,601,Dog,lliyrroeki,0.0805
hhjzynnvkc,-274,126,-379,cmplcgisqy,-189
0.446,0.3765,aqxcnfbybt,369,fdxttctmnd,0.1665
gonxntaofy,-134,0.2155,ojyljaxvnz,235,zjmqehqxwg
-0.294,-0.3345,252,723,689,caT
gpnqjtnbsg,470,sjtxiolwnz,-0.446,-0.441,0.481
iwwvyicobr,-0.069,-0.126,-118,CaT,-0.3165
-124,-0.2385,tpjjpxmjxi,0.3835,760,0.236
875,-0.1705,DOg,89,660,DoG
975,165,vueucygusm,376,-178,ejtewculpk
DoG,CaT,soyzeadauo,bliktasvim,-0.0025,hyeczxbrmj
fmiterschj,znpefeavak,-0.056,0.055,0.486,0.039
-564,sgphfklzrk,CaT,DoG,tzghdxqaql,jghvsdrgsl
qphvmrjcgt,145,461,0.4315,ygxupmckkl,-0.292
0.161,-188,ppvzxwpgga,0.1705,CaT,ndmtiotczb
-508,ptqeziddvw,-0.0625,CAT,cAt,0.2775
dOG,-0.253,lrnugecygn,-780,fubcrxcvgu,0.021
djucconmdu,caT,owntoixyqu,0.366,fxxlflbets,338
-0.2615,715,0.3925,-0.337,gnsazxzitb,-0.187
jobbpovfbf,182,-495,451,-864,-896
154,0.3295,dhvqqtcmvb,-413,uxujtxvxze,66
qibgfhdtov,363,clsrakicer,-784,0.1375,0.021
825,-551,965,-860,DOG,943
-0.1915,zkpbyezyfr,-0.477,0.06,dOg,-92
0.0485,475,-0.3295,bjaotmbsci,pielajgqwd,dOG
btcvkihsol,0.439,cAt,0.3065,-399,DOg
cAt,dOG,0.3635,987,owtphexqje,jydamwyqbp
kqkaqcygds,fhyevyahhe,-207,eboitafysk,DoG,336
408,0.0595,-593,-631,kdlmpodubd,Cat
tkmnfezcef,smkxfkztkb,glpwoaocpo,ynkronazlt,cpexyvnihk,iqlibsywzm
-207,CaT,dhmhmbyjhn,318,mmdcvhgcfk,0.2255
tbwbtzbwuu,fydrvyzsqx,-0.061,55,bkyicngwoj,-0.162
gkksrhoart,-573,cAT,-0.202,kjmdesyjnk,0.091
cAt,yjxqnrkdrm,-512,CAt,-0.039,CAT
dOg,345,owahrnuwxg,-270,0.334,0.035
