peT,beygnvryzq,etivdxpins,djafdvxele
578,xcxgljyauq,-116,698
jyvcfokzfr,-420,slxmiywmse,-800
doG,-0.2885,-0.236,0.2015
CAt,DOG,dog,qvyesxxhaj
zgstjqnrsy,asjcguwpjq,yjohmaxdlg,Cat
dog,-0.47,DOG,201
doG,-335,-0.001,533
rsaheterzt,lqywzakdtl,480,doG
dOG,-130,ahuwzqwkkh,-0.2585
DOG,bgbhomzukr,jcatnuqzcw,ssgjxryvig
nvqtuuftry,0.178,alfuuqsili,jryoyzcxqg
-0.396,dog,cckohbugob,0.2785
CAT,531,-717,xvpyxftftf
dog,-0.0985,420,0.3755
cAT,604,DOG,cAT
CaT,743,364,ihagbtuorq
cat,conendrfsq,doG,nvvshonset
DOG,oljiwzslnk,88,CAt
caT,mchqkrubit,rvupeqojxm,0.132
idrmxrvdew,uaikfmaqhu,-198,dOg
yfxqlhrtvu,0.113,gehyoueimb,0.272
0.427,-631,mvyqbbkvwc,0.3785
Cat,CaT,-299,eqfzcoxyzo
DOG,-0.131,0.299,0.343
