znlrhhvlib,kunrgidtto,yvcstiaebi,yxnzitvroe,pzpsjwephw,pet,ripjrccnqp
spntxrnrbr,honrnqtkek,-0.409,353,-0.2765,caT,riqkniocqc
-0.489,-0.2125,zgwfiuszth,efnajxlaiy,DOG,caT,-291
-285,ayszqlvpch,0.217,-178,-0.341,DoG,513
bulupffoyr,0.0685,unnujxskaj,-183,-754,CAT,bwvzqqtozm
vkvafgklzp,CaT,0.447,0.2365,cAt,qfcrzwraoh,0.447
kyuudaqtaj,-817,ukspogcxws,0.307,834,caT,CAt
600,363,orlwlfqmgq,604,dog,-925,doG
524,-0.392,-238,-0.0505,CaT,-732,nnghkzizyw
CAt,702,0.0015,bzfhscpzqz,-615,-827,juzecbcngm
0.1285,niagtezadq,caT,990,-0.2095,caT,-0.1845
0.424,0.0775,vlmuopimjb,924,DOG,DOg,711
xuyiwayqbl,-0.0005,648,hnjbevqwoe,fhecufoice,CAt,DoG
ohfktzwjpi,pguzlfcctq,gwfwtfbbhf,gakyvvvvyp,-0.324,dOG,caT
0.119,0.367,0.0725,urvhsgafvn,bbnovkzxhy,Cat,4
0.0425,-801,-569,-255,CAt,CaT,917
-390,-939,uryiasnmin,zzcwxvwvti,-0.0995,dog,-807
-0.4925,-72,232,-49,ueorpbexlj,dog,-0.124
0.1905,765,juwborxnmc,-0.15,-0.152,xjdtiwwsuf,929
-0.1055,geegoiigxz,0.101,myerqxgwuo,-0.39,DOG,358
bdeqbidmez,0.422,dqvrpsjwri,-0.179,-0.314,-17,iwklsefrxc
tabmjzoneu,0.0535,0.1795,gspwqbwdmk,-663,-0.1955,0.2875
451,dhpkfdgrrg,843,0.002,646,caT,CAT
-431,cAt,mjjfkcsyei,cAT,-694,cat,0.0225
cat,-0.346,816,-278,icwhvmxxbe,-176,160
kazrwrgevu,0.2655,-0.128,-0.145,vfthvyevnz,DOG,-540
263,-0.4885,DOg,sscqlvqhkt,0.0565,cAT,orzimrogqx
0.438,0.033,980,dOG,-247,ywxoltxkbs,-0.474
cAT,-998,-612,-67,0.28,DoG,-0.221
ozoshnbbil,pvrfvbyjjj,dog,0.192,Cat,0.384,112
hxmndvmldf,DOg,dOg,0.3345,icfxeoywjm,abmkvqnxhb,0.149
rpvxnrzqjr,lwfrremxce,oqyciaevml,dhioxtodmx,0.11,dOg,xcaadmowfh
0.108,doG,-0.486,-201,lutolhhqyt,725,zzsxklnxpj
yzvplqkqet,DOG,814,0.493,781,doG,sscuztjdsh
0.189,caT,0.2475,172,fnikmurjqu,0.033,-855
rfbllpkahz,lncvwnufnn,dOG,293,0.2645,-483,vcufaagnbu
772,-46,CAt,CaT,0.0335,fmthzazoss,0.374
lgqzsqejko,301,0.0175,dgvfhqjvue,0.2175,DoG,eaijorojup
232,-302,CAT,dOg,ydxbtjojjh,iwopyqwiwv,cAt
Dog,-263,kgxmpydsge,0.099,-0.095,Cat,CAT
ghirtkpstc,-189,-150,0.4285,-969,cat,-0.245
vufzmsgeqd,0.0515,-60,msqfuocfhl,dOg,32,cAT
-228,0.459,ehhxboknpm,aisiyqnsae,537,lvxbckyblj,0.4125
-0.469,zawdfpekyi,870,-858,-467,DOg,202
0.1555,cat,cAT,-752,0.211,DOG,-795
mcskaqukmp,704,Cat,635,llumvjemrc,Dog,934
-0.158,-0.4285,-991,-0.3235,rseekduosu,DoG,Dog
buswkycgne,yufxujaema,-260,0.235,-0.2225,-0.431,srscsemgdi
0.4,0,-305,geqclvggtn,0.3225,dOG,0.322
-828,qqkfhmfxuo,-0.4425,bxryoztkju,-0.143,DoG,fczybfuucj
-400,rarzprrvqj,uwsqasdslo,-205,945,caT,gesycdyrbq
0.096,gxngkdsocz,-0.1985,cAT,DoG,CAt,CaT
-0.1755,-448,doG,-0.497,Dog,-680,dOG
axsrdbpywc,0.398,0.1125,-452,-489,cat,-191
273,0.0285,ltqsaxufai,hqnesubamz,0.322,dOG,-0.378
DOG,431,rqkhtrihln,378,0.4045,DOG,kceigqtsku
