wnopgshjel,yzodnoekhs,zeaspumcyn,qouomifxsc
-0.0175,-648,-0.1785,-0.1975
vgwtgfmsxb,axglfcaqel,mykoorgnli,-0.1335
CaT,839,-0.376,dog
-0.1385,755,0.404,lpxvqwmmqa
jyfyxktnwa,518,522,0.334
Dog,Cat,gzxkptipwz,-0.123
CaT,dOg,dlwounqrku,674
0.297,cAt,vjtynjfztx,0.4105
-0.2865,rtynalyxeq,dog,861
doG,-837,0.2715,DOG
0.3825,0.3815,dOG,dog
dqadihdtwq,0.262,dOg,rouglsrncs
516,-0.4215,jncijwequb,caT
qoxijgcfgd,-651,119,-847
-101,-158,-237,0.125
311,-844,-536,boftbtlldj
0.19,dOg,378,0.1615
dog,0.242,Cat,0.316
DoG,DOg,-683,Dog
-0.255,-825,-0.1765,cldafrlvob
-742,CaT,-0.4715,0.3145
224,206,ehzaoawfyo,-0.389
-0.391,Dog,-830,-422
64,-0.053,CAt,CAT
kcykjffdzx,oudmbesfim,0.099,CAt
-0.4315,caT,ercgscijsi,0.2925
-899,doG,-0.4015,595
cat,-876,-0.426,eqhpuxtnim
0.0605,0.3205,cat,-0.007
-788,-0.379,qnvyaxassy,tsjvydsecm
DoG,14,uabajessfl,byrciliveq
433,doG,rujgoabbbg,-0.175
ztedpwduop,-631,953,0.0115
-0.209,jtuflzcsia,imzrrsrmpt,254
-0.139,547,DOg,CAT
-0.3335,-984,-0.3095,-557
-403,joybhdsgkc,-749,pdzyjrfmvs
-914,-494,qbnqwaaqrh,0.236
0.0045,0.1795,foziyxtmjj,952
0.377,-744,ekttvtqejl,-798
cbdbsnwvgn,0.479,doG,DOg
0.4815,uwrmmpoizv,-0.186,usisisnkke
caT,edwieuqskn,-283,0.4
0.5,dhqxvpqlvd,icdhjvlmxb,947
mlfaktslrz,-821,biuuglrlcs,CaT
dOG,fvjjrdginz,-0.1675,qrupowwdvy
0.0135,0.155,Cat,gzyxicrlwt
0.312,-0.2395,DoG,yssntxldfd
-0.0605,361,hxokvodfsi,putqitoumm
801,whewfviujq,ypiksovikq,112
mqysbgseiq,-0.279,peywjbabie,651
gmgvoewztt,0.483,fjnogzgtgt,sccdmpfzjx
Dog,Cat,-0.1315,33
rlzbmajwzm,pafqpgdbsg,cAT,-346
699,-879,mrekyzgmai,rnkgjfxjri
0.032,-349,dOg,dOG
dOg,cat,-535,-29
sxhcgtlscg,tuluwhgrpe,vozsulgtsf,mefgvsmhsr
opwuekemhd,0.459,-0.176,jxemxdfeem
Cat,-956,dOG,doG
rsmfvylxpl,-366,-0.0325,337
824,-0.1675,gsyjywjjhi,116
-888,rzlbcaxpvi,wlkqpetvhh,-186
hyuymumpwy,-0.2985,0.1595,0.2
cwhihhpaml,-0.498,-944,-0.006
-359,wqtoqqfagw,mdezoijkoe,667
248,cAT,Cat,0.292
0.181,-15,ljtikswaxs,qxeqyjdwfd
cat,-129,gpjgsheaav,824
cqpcomsgqq,863,390,dog
-0.275,222,50,0.329
hoglfvgndv,-0.322,Dog,xozqunlcjv
-873,cAt,763,-779
mctaxpqmcx,htwtcoueey,-37,-655
-216,0.4645,0.329,-0.1865
nxsdqfmzfk,403,0.248,149
0.195,udoswuvgmj,noolosdbgq,rpyyfpipuu
CaT,-0.2045,0.22,-934
wohbkoyxxw,lduhtlovzk,jkdwzqspnq,-0.3665
vqwselesrg,sizppydyes,374,ninewwccpe
0.468,undlandzsd,670,72
0.083,-684,258,ufxqtwmdbz
yyrzulcwnk,xmgbuqidgq,oygkivoqpn,qrqpehpkjy
0.1065,doG,0.2435,widbjuopnh
-562,yrsskomjgx,dpgflqofrn,cicfvtxxmd
0.47,DOG,-937,vyubypaaix
abfdcgmmav,-492,outxlzbano,-861
doG,-0.335,bxgslvzxke,-0.071
gwqkmjvyjk,caT,vkoixcnrog,xbfdalfrhc
-0.457,718,-869,812
237,-805,lhzhsvtckb,-119
