erqwxvyubo,flcszkpizi,uyboeqqngd,ibahxygonx,rzviazkywi,oxyrtiphjz
-0.069,Dog,CAT,7,cukcvnsrzp,-0.458
-0.4605,-826,0.072,0.2435,-0.0355,41
dOG,xidnpdnttf,718,-310,yxtkopjbrw,-0.331
dOg,-0.344,DOG,-291,-434,-935
-843,-0.398,Dog,DOG,0.4775,doG
928,755,dOG,-0.3535,-730,kzpflxnzbt
qxrcdpfkjc,0.302,921,cAt,-195,bxjjcougdx
-0.3805,aqhfkxarmr,dshoqcmymj,pkjtialnyz,-0.0815,CaT
-436,0.3615,-926,-0.362,DOG,418
-0.3895,-145,DOG,-117,0.1395,whhhfnzwrx
0.313,DOG,DOG,uauzpucwju,jbozuiuxkh,848
dog,lnybhmnthw,DOg,zukjtpffzu,xahulpkguo,987
hthajmxgln,-626,dog,zcnkpetgym,210,923
doG,1,ylrvhndfpd,0.3125,lbqqwfwhob,qnxibiaetz
-879,0.2735,-517,Dog,DOg,fjzqphhuhi
vfethjrmwt,hwxeezbgyh,Dog,-751,-243,0.4195
-0.1525,-0.0155,pcsnqqzual,yxgazcvozw,kuldqzlpgy,CAT
0.2085,dOG,beanbmhktj,hgmzhciwvc,jqfosihyaf,-0.4345
xqvexfrmfp,-668,-0.3735,omlzfqmrlc,npfgkqwhxn,mzaxowcdnl
0.1885,cAT,qqjpbsumwt,kfpjfmqlxq,ylrzficsjk,452
978,doG,bgmrrvwlgg,-0.0515,tjqghttygb,-823
-0.2085,vlcbqaqdxu,0.2875,351,cat,-981
xzaytiisen,765,-835,-509,atnnsbtcns,354
-848,-0.259,35,0.4425,ztvbvbhmmv,916
-0.1125,CAt,vualyrrfry,cat,0.045,Dog
0.473,kxgfvgaysk,kryndzvrqb,gnzvcgepof,0.4555,-0.4225
-102,232,-795,0.2005,DOg,395
caT,-0.002,-0.2575,yiowkshukp,kpbccdzsoq,qgdsbbabvh
-0.257,-0.169,115,0.3125,rpstksmpyy,ylnbpghtyi
doG,-0.275,zlnnlhoacr,jxujerykvb,0.4555,593
thorwrfomj,-1000,vwbewsbgvs,cat,nwhidjbtum,DOg
-0.1825,-588,doG,850,qehtsgmcwl,-0.1975
ddkocdtkyj,Cat,-979,pwlepmipio,0.221,-688
0.3055,lecrzjosug,vjclioudzw,caT,-0.344,-0.0505
cat,DoG,zoiduhacwm,0.109,107,980
-310,nnkvcuitrv,CAT,0.185,449,-337
coignvwvex,-62,-0.273,eixlgqmdfz,256,imgpvljqyd
0.459,-471,327,irmjdlfcaa,tsvnbnbzen,epnxzfhpje
0.1835,-359,219,715,tjtqyanmxb,-159
bnblhfdsbs,cxwwfzestz,-866,614,cAt,ttqfbvyeeh
opkquusywo,426,Dog,-0.0725,dOG,-0.461
-159,-652,0.051,DOg,ftxrcbdfor,-0.3245
CAt,bnkcvrriex,0.234,515,0.3725,doG
cnyktdvhto,jhgdgrupxt,ituzsjffjw,807,cAt,esypfdtdps
DOG,doG,-648,udlganiozw,-0.2845,585
0.073,0.161,-272,226,dOg,0.363
xbktljwqci,xxurliebcn,-679,vszkrxqbko,871,-831
0.096,0.4895,0.0235,kxhuidyato,mtockictov,6
itaibihape,-0.4675,acidjnvwaz,dog,656,DOG
-698,tgamghoigg,caT,293,-162,mtxvsymrxg
uapyvlgmls,0.41,0.498,CAt,939,dqmenssepa
580,xeszlzqcxv,0.177,-0.443,979,cat
codavdwpnu,CAT,873,joltpgrghe,-0.0415,tpclvvttzx
caT,52,0.248,839,-0.0985,-987
DoG,0.099,0.0595,cat,bpbtageqdn,cat
DoG,CAt,cAT,dqenteskhn,dog,114
DOg,0.4685,fhorsikqyl,endmbnztnh,0.2205,692
-0.2955,0.0225,dOG,50,687,yoyxtoowyp
CaT,-0.3605,814,-996,dOg,ohodvragkv
snpemgqoyq,xtdjyzcwsm,oduwxkhgdn,doG,-0.2585,Cat
0.0295,0.344,Cat,-0.4685,dOG,CAt
alxnprsdlx,0.2465,799,0.421,497,0.442
lgpwctqhnb,-849,ciujxohsvk,0.0065,caT,196
drlszngfaq,CAt,388,cevanwfhja,-170,bvlcdlrysl
0.3685,-96,dog,pqghvujtfv,0.2565,lgjjiwnzqa
bhnsjejxcl,88,390,-272,-0.0785,-0.0035
-0.082,bvdqxsault,405,dOG,ixolgzccor,Dog
cAt,pecpxksqys,-748,pgjvfdxwqy,doG,0.0165
0.484,CAt,338,-7,83,-0.1255
ifzdrnsnxs,247,wyyzytjzau,DOg,219,-0.1625
pxhictgynn,0.1825,cjfeerznmx,-749,-583,376
681,giewthbfvv,-103,udoaxmvanp,0.369,930
246,sojxgbpokt,0.333,232,cypxfghwkl,-727
0.216,fgcgeohihv,-800,CAt,DOG,-0.3105
Dog,-0.2355,-0.3455,-0.4525,hkumlavvjw,0.4195
dOg,0.076,0.273,-308,agoxoxapho,wvitfexjqn
cAT,-585,0.251,dOG,-657,swadagfian
-0.324,ptvditpkaz,canywgajad,-640,Dog,619
zvfwxqrkjz,0.3205,grighyetaf,flbjnytbln,-16,tumzupfmpz
DoG,0.1685,llkhpnlxyg,-0.398,-0.0765,miwwmtqqty
