lzdtqzxnhj,ulvbfpfbxa,ktqfisnzlx,chhpstyaob
Cat,kleslgtakl,-0.242,awpcvavlot
0.4855,zibranzkfj,CAt,0.169
-279,vebczrniob,-581,qzmsrlcdsq
-405,caT,-190,-0.1785
-4,0.041,zwkpeymaln,DOg
dOg,-0.083,323,-0.312
jymkzzdtab,rjwcutbpop,sqjlhnofuc,pqcwacmdou
521,tjuxigwdyl,fuimhoesnd,doG
198,-0.192,0.3955,caT
dOG,jqofudjkdi,0.447,0.4125
yfodkwsskr,-295,0.018,643
-122,cAT,946,-0.1905
-640,Dog,jozwngweul,DoG
-0.009,-0.4955,-855,-667
xfwhhpxmes,-0.203,ygmfkrutbw,615
dOG,cat,CAT,-100
-137,-769,dog,hexluczdxo
-0.033,cetliuyfhr,423,-2
0.4515,0.4635,-815,1000
-0.3895,-0.187,-0.294,745
-0.2845,mtelnhuehg,-285,-610
0.4105,auvyoridld,0.479,-250
-801,xcojsgyjhy,ydninpgcio,Cat
-885,hagwphecvj,dOG,rhizczovic
108,-0.044,xmnqyflkjo,dOg
-0.413,136,vpkttttxen,-425
125,cAT,cwqgudbyga,0.4105
CAt,-397,-269,-225
rnpvyakjjq,-0.3255,0.1865,DoG
-251,-0.0955,697,208
-951,cat,DOg,-0.318
doG,0.111,-0.356,dsyqwplsbw
0.304,-65,-253,485
-40,fcbfkuwlxh,901,0.2685
cAT,CaT,-0.4135,cat
-0.4815,530,aufxqiygmx,0.0595
CAT,-0.3705,-0.4485,dOg
0.354,-808,qcmerrkqey,-982
-0.2005,xsjlhcubkl,17,-487
214,0.0075,-42,lvkaienzhl
CaT,DOG,aegsfxhbbd,-0.1495
emxqkrbehv,705,916,311
hbtzwkhfed,-293,Dog,0.184
crecrlzdjp,tpxoofrnde,Dog,Dog
-0.079,-128,-0.1805,CAt
585,-772,342,qvoyibirek
-0.415,-0.374,0.3495,0.0275
-0.2185,-0.0005,igkkozwbzf,-671
rgmblosemd,262,jralowqwlw,0.094
dog,867,omtabitjgk,0.495
-173,0.3735,-0.137,dOG
988,-0.453,aapbnbamdm,-408
xawyyofxyi,-0.1805,282,peqihshvhr
yzgjexnmke,-0.4675,cAT,-0.3375
0.023,otfycwrakr,0.358,-452
0.198,DOG,-0.4415,cAT
-0.151,mkovysagms,doG,kukyckpnnb
qmlpucmcvb,-222,isvydowldd,fqubdmvkor
0.1765,qigyspnqsj,-523,677
857,-0.1275,caT,0.138
-862,jyywsorcbd,-712,232
-0.0645,-976,0.3875,0.0365
rnglhicnxk,rmsvovxeye,ppdhyttqqv,954
0.053,ptohlowzew,-533,epmulbawsi
Dog,cAT,0.3575,cpzykexnuw
18,-850,doG,-0.2505
0.3055,-27,0.385,frgpdqlqwe
720,nfaxlrtwsj,991,caT
DOG,Cat,461,0.0985
CAt,CAt,wnvrefkzup,0.4835
zfqptdmofc,-0.4045,jmkmdbgrjc,injewjzlwb
149,caT,DOG,dOg
cat,-0.119,gfsgfbhujy,-0.19
507,doG,0.324,0.3775
zulkawsvmi,mwipvkunlb,DoG,0.0305
862,-332,-0.172,-0.1365
-140,952,770,18
vldolerkgc,-361,doG,doG
-0.2475,-712,599,DOG
-913,381,0.205,CAT
yshmkahtob,-0.3045,CAt,-306
Cat,vcgbahsdhs,doG,-0.3295
329,0.065,149,wrxqzcsulg
xihwzbjexd,488,gscvmrvkvl,897
-228,-0.207,kdddklgtub,qesypnxhia
otfacokzgt,DoG,508,-0.399
665,dyzhmjdhgv,sccxrleqsx,ciatemgdve
726,doG,gdracidpdv,yjanaewnrn
etpklkymqx,0.0605,489,0.2855
-439,cwvyxmnoyj,nimglobxmy,0.339
