gqydhvedlh,bbgwkzloll,peT,aniasfgazd,xxpkuvalou
771,779,cat,-0.406,-0.1035
fpwrtmxczw,-164,DOG,fsivrviprr,921
0.019,0.2035,dOg,cat,dOG
udjoxonczt,626,dOg,312,-822
kwtgbetwil,qsqgonujny,DOg,-0.118,DoG
0.3155,0.0265,doG,0.187,-102
-452,rpktlcedse,-0.282,-0.152,xwpzajktjy
fblkjtzpok,-0.003,dOg,iahxzwiazy,-0.441
CaT,DOG,Cat,shvyebsbit,gdlffiyjxv
224,-0.435,-0.0115,-0.2725,CaT
msedhunajm,763,0.3745,584,741
0.268,kngpykhmqs,doG,-765,cat
twgvohngow,-0.1265,DoG,-0.2315,0.3495
-92,-857,55,Dog,dknujafavm
675,0.177,caT,-0.223,678
-0.21,dOG,doG,-874,yqnllwkdku
-67,DoG,DOG,-947,fftphflxbx
ajfrescpmf,rvkdqhjkgc,cat,-0.487,jebhgbvadj
0.4355,hzgxealqwh,dog,doG,822
lxubenutxw,-0.315,dOg,smyblttwrk,rbpfbcxchh
caT,43,CAT,-0.455,0.051
-0.142,0.4745,Cat,0.1435,-421
108,wboinvqife,CAT,0.4165,0.4795
noxlllcdna,rfxhmcovun,doG,0.018,-0.211
dmznzmipzf,-149,cAt,318,-403
qvziluarxc,Cat,DOG,ipsbkqjhur,-450
0.159,enwyrwhwjg,dOg,0.152,yibbhnevlb
wuphtxiqoq,uukfksyvdo,wzhhfltwym,qhtnihbmsy,-338
dog,dptyglwhly,-0.459,Dog,-0.302
rzwgasjiyd,-389,Dog,zbynrqtyjt,gixgbfmqxe
-0.432,612,0.405,dkmgmdewhm,angcfvuuwn
