vtxnvfwazd,owdxxskrma,fhbgvfgnbe,mwlwurcqdm,hsrmtwxgja
dOG,Cat,-0.281,-200,CAt
tmfigdpakr,782,awqotlvxsl,-0.295,DoG
390,-0.422,0.2625,877,-0.473
0.07,caT,868,-0.251,-0.0745
DOg,-0.002,hrfvmgdktd,CaT,jtcaryaxua
vfuaggnlwp,fyjzvdldfq,-413,-0.2285,caT
nxmjitwyoj,206,848,kmjkxleyot,bqjzixesuu
dOg,616,caT,-0.1655,750
0.093,kzvikoypkf,626,mmnnqawzrq,caT
chjxvzwnxq,bipzdqrlmv,cAT,0.107,0.29
xbeqexjjtg,ewetkfyxlz,ouqkqwhcmt,cAt,dOG
vywoxhwsny,uefnhetoot,zxzsrsvdao,-0.177,993
cAt,0.2825,-0.1035,olydpvijwl,-0.1805
-0.346,914,-0.0935,ndrsezhscx,tobmzchfnc
hnurfqnafj,dog,cupsmmlljl,0.1335,wdfoaaczyu
0.2725,561,-0.4045,dog,508
cat,cat,-0.06,835,779
-0.1715,364,cat,0.2205,CAt
xlobgdgiri,pfapzubnwy,-24,79,280
0.113,-686,qabatgwqgo,-0.29,871
0.151,estntzwlhm,0.1835,cpnibdpfuo,vkjmnwqivc
lqgwrzoxqd,fmiucvqifd,-719,ydtokhkoxs,0.323
CAT,fvhhuxjaet,0.4765,dOg,0.0245
983,-0.494,0.4885,-0.2245,dOg
-351,dsmdbjgllk,0.057,974,vjuccszftb
doG,-0.0145,420,0.2865,499
otszaucuab,636,dOg,277,-0.4805
-590,305,azycovuswl,dkyiucmeyt,104
0.18,DOG,mxzeunntku,Cat,896
cwccjuzmon,DOG,966,cat,996
-235,-693,-0.1815,thrnhdmypu,Dog
vtgqwoupga,-514,caT,dOG,0.048
-0.0965,0.3345,-684,-0.2035,qiravbkkig
doG,-0.252,627,-265,0.201
cAT,-209,0.0875,DoG,-393
-0.2255,doG,-810,-47,caT
265,-985,xntecwgivd,vqvjvhrmsi,dog
-765,0.1665,mphoraxsqh,171,0.019
-295,0.3775,79,-280,0.16
osvmogdytu,-0.428,asarwwjgqc,sjmjnlrsjv,caT
-870,lfkoxivixl,Cat,CAt,0.165
ewhusgohzx,-0.2295,0.4425,ivblghsafp,-81
-0.4515,0.057,dOg,0.03,888
ejejkgdlux,780,CaT,lfblmvzafq,-0.375
-381,doG,921,DOG,-0.3615
cAt,-678,DoG,dOG,-0.1805
rdioyalpvk,0.421,sodqqenxmg,0.422,Dog
-296,-0.402,571,usiikzjkpa,0.406
dog,joydwgeywp,451,-0.0605,dflssdnzhn
cAT,552,-431,907,0.07
fdkxupfyti,DOG,DOg,-758,-748
0.07,cAt,-243,qehlgxvznc,183
innhicxtbj,xcfvxqbptf,594,0.3105,maezbpyqzv
ooxqdydpcm,-0.41,-0.0325,Dog,-206
-111,bpbzmokhdq,yutcaqgpav,paylvnkiwy,doG
0.166,pdriftvvhp,-846,lvztdpzgvv,ywbanifylw
CAt,0.3545,202,-0.1695,-539
0.4515,-0.432,sabfsixxqy,-840,-0.4635
-0.2075,38,611,punvurejkh,-626
-206,gbcbljvhwq,cAt,305,-989
-0.364,qavmhffrvb,515,-0.3835,wjllbkclme
-75,549,-881,wclryiafnh,-6
-0.245,0.4165,-561,984,rkxhwujbce
-106,-0.1605,caT,-0.324,-23
149,-0.1365,CAt,caT,-0.021
caT,alfbjopshs,uozpolqgib,0.1125,-709
-673,-0.2735,Cat,dog,esppsoacuj
rtomvgtgdw,-0.2155,-41,0.424,eeonvbdnns
lapcgdgjuv,zxcmssjcsh,288,41,gpvduiwmio
139,0.195,157,DOg,-934
caT,-0.3055,cAT,0.369,200
