iqdljhviue,ilpajiogqt,unydqswaat,wglkjjkaen,wqzgfgeugm,Pet
yyzufticwi,0.394,afkedzuocd,ivjcfalnor,-0.368,dOG
gmdffxsvhu,Dog,junhwjgaom,kejvwluiny,fsqkcmkgyq,dog
7,107,DoG,0.2575,cat,DOG
ucabcqhdfk,okdrldteuu,DOg,kesjhftjiz,0.3055,dog
-0.122,967,0.2045,-0.493,613,DoG
0.109,-20,-0.063,xuhpoyqzgg,cAt,0.1365
-388,0.1335,-0.2645,563,Dog,dog
mrequbacbx,uaypocwojr,-900,sbsgvofsoi,0.033,-0.4505
hdmnadfvgb,0.4255,761,-577,ocqfnyqccw,dOG
0.3015,mwtzoariro,215,ydubfgojcj,-0.162,cAT
DOG,-0.2735,caT,qrxqjclysh,vqveravixk,263
-0.181,-129,-890,uhseriptnb,mdwsihemox,CAT
DoG,-0.172,oawyljbbzs,ypupypljwq,-0.295,caT
CaT,0.0955,ekzfrtqaxd,dOG,mwmmtnhfgh,dog
doG,dttdfqkzhj,gtcqzysizx,-456,-0.3445,cat
ujqbtrbwvb,-0.2665,542,DOg,-0.313,cat
-543,-0.168,doG,-531,400,cat
-648,-0.1855,0.4665,Dog,635,Dog
DOg,vdphaxvcfr,seafrekozw,Dog,ldhkewrpfk,CAt
0.2295,tuuioulllo,soqiylhylo,Dog,DOg,doG
402,xsaukqomfu,qkuazsycww,285,270,sbktamgves
Cat,0.2195,455,DoG,-0.492,CaT
-0.0745,caT,-0.0585,ewildpevbb,yvrnieadne,caT
vgngytmvru,0.3755,0.2785,359,0.143,-0.2605
0.189,dOg,0.128,rawkoteyab,-0.053,caT
0.3125,0.073,pdchnhicij,mpavtgttzp,-0.019,tufievjslg
-0.244,-0.375,Dog,-0.3245,enmcdjhtnj,cAT
oxpqqcxlep,62,335,-0.459,0.152,cAt
doG,DoG,-0.151,-528,doG,Dog
-0.4815,-946,kyvmlpccnl,-170,-400,901
993,vshguwspzc,dmufxykqjz,-0.4995,mzyoqelxjs,CaT
dOG,750,0.276,-161,-644,caT
-0.352,-544,CaT,0.107,mfgujowcqb,DOG
DOG,dog,dog,caT,455,cAt
-865,257,vtuyfcalzz,vpvaqsjkzs,-416,DOg
vhydwzvdru,0.088,619,vwkkdrlmsx,286,-174
243,wnhsieqmga,eyooehawil,970,-635,dog
0.451,Cat,-333,0.1265,0.089,dOG
doG,0.077,dOg,532,951,DoG
0.124,cgefrfriml,xdinyjiufz,-989,CAT,tvpzvjjomf
qlkrrfagyt,-353,DoG,yuugwfvlqe,-507,Cat
209,-666,0.303,334,-0.051,dog
-0.3345,0.013,381,530,dog,DOG
-237,-319,806,0.1525,wodtdisetd,caT
dOG,834,pqeaauxbby,0.1945,0.2505,-883
-0.144,-0.4925,-312,qqrysxxszk,75,btotkibofd
cAt,zlyhdoctjj,CAt,CaT,didnimydgy,doG
694,-0.489,mrunesoyyg,-770,0.068,cat
26,aapyrwtdnf,zvpjhhvuye,121,cAT,DOG
iokhnggvpt,shbakvxciz,-0.025,schltmeipy,CAt,dog
0.0135,887,-0.04,0.403,-0.324,DOg
-0.1845,DoG,-0.468,830,-0.1395,dog
-0.125,pspdvvwmpk,DoG,hliqityqbh,331,-0.122
incjpzajzp,475,CAt,0.4115,-0.2515,CAt
482,-0.1065,-908,dOG,-0.085,CAT
eqifjwzjkv,leeonoyfdu,cAT,576,zexjrzvhdk,Dog
