vumettkhkk,cxlxjcylpz,PET
-717,-0.337,cAt
907,svqdjrwbxs,obfcqbehan
-0.1165,0.0935,DOg
jnkynnekgo,-0.1895,cat
687,0.449,749
-0.153,0.016,301
-2,cat,cAt
902,smnwqsgewt,DoG
-0.1795,pbesrfbnbn,841
0.0495,-0.182,0.132
-0.033,ukrnyfslfq,-785
Dog,kxcysmtivx,dog
DOG,DOg,CaT
-0.4515,-287,dog
zwxxdkubzu,-0.2065,-0.309
0.1975,dOG,wkcnzcfqwc
-426,96,cat
-0.1385,-92,408
-198,-889,0.0785
crnkweoyav,0.081,Cat
940,hdmorvbbfg,caT
0.226,99,cAt
-0.2295,hrnwxrfduy,tvrrypvjad
rvsuaavmvo,dog,Dog
cat,vhmjerfrni,cAt
-0.124,fvvlvlwvod,DoG
Cat,lgmitmovrs,cAt
637,DOg,DOG
-0.294,havgsblllb,CAt
doG,0.2655,DoG
qqaamdswrk,CAT,cAt
399,sfyihjizwb,dOG
157,dOg,dOG
367,hpxjffqzaa,DOg
-940,xncduzgsye,cAt
-866,-0.345,caT
190,0.476,DoG
dog,0.137,236
