PET,xzmlfqbcsv,dqqpqizmic,tawtspgqtf,uxuoaxczwo,ufvytrggzt,kwbmmkvlrb
cAT,ghctsqyquy,988,CAT,-833,encnbqvtem,uedvhgmndp
dOg,-429,-352,-488,olvvcgvzpm,dOg,dOg
DOG,453,-479,-0.3225,0.2795,-0.358,eocxaolkyf
cat,414,gfxstscpue,htrmovgmpa,-0.0935,434,cAt
-902,chkpbaymay,0.162,757,lhemkotovf,caT,0.4225
0.1235,427,CAT,goinisddud,-258,-0.3265,irreylqsya
-486,pwgfsbuisl,0.103,-0.156,-0.0105,jxlgvxcicx,-836
0.3695,diyupltuxf,pedctrstpl,hoejxcfnnl,zubexbczvh,-0.147,655
Cat,98,31,574,doG,qlzcntciec,597
dOG,-30,774,gxxewypjdq,qjvmxgxrau,0.0955,-629
CAt,-37,0.2845,zylyydohkp,nedhntnrww,pzskscdvjw,pqaaccuvwq
ctbwyjmjyp,nnfpxnndsn,-400,xklppahits,578,-275,blnfosczyf
-137,295,-0.242,DOg,-256,cmxzmiaddn,-620
cAt,DOg,vruwirfjsx,0.4515,DoG,mmgrnryzkd,-906
DoG,qedpsgzwpt,-839,-0.383,556,dnrtszikwe,gtqhhqulxx
DoG,kysoxsktdp,-0.4655,pvilehkgup,dOG,uwiylvnsuv,0.4685
cAT,-966,-0.269,odbegkxjcj,Cat,pbggloasaj,-466
DoG,vzfcuulukr,637,676,kuabdzgjaf,-697,Cat
cAt,-0.423,kiwsmcwjxz,746,-115,DOG,CaT
-0.445,Dog,clhqjopdwr,habfrzwutn,caT,0.055,qkbekwrqqh
DOg,ybmcvaahvx,0.3225,-171,-0.129,-833,-868
CAT,627,-0.031,-591,-0.038,510,seuyyvvdeg
DOg,0.249,-512,fuckpqziam,doG,ackrwrwpwq,-743
DOG,-490,0.287,-0.2475,vwxfcnxkgr,DOG,-430
254,-0.1735,xqizoiiwwf,doG,wlvnzliwot,-551,fkfqalcvad
kdftqxpkdi,gximxlbdvz,-114,-0.1865,761,caT,-0.154
CAt,-0.07,CaT,oddggsbojr,cAT,dog,Dog
caT,-830,Dog,gpcygclefk,0.3015,urgwrdrfsp,CaT
0.121,dOG,-0.4655,-895,wpythvican,Dog,fbrhdqqfuj
996,74,0.364,-0.0415,htvpsggrjv,320,ksbxqwbumd
cAT,fkvpwlqukl,837,Cat,-0.046,jqxfbmgflm,0.198
DOG,-423,101,kkjwlghdmi,0.0175,fqqjqqazuu,ewkhwyaiuf
cat,-0.252,doG,kqreezobxl,-0.451,vhbimmukxs,cunyyruruu
DoG,vgukarfqed,-0.2705,Dog,0.249,0.26,-167
xovrennzpa,dkphbjpfje,-738,0.0395,gfagyegxzu,-0.0915,ycshyrncwi
DoG,-0.051,947,dOg,grrwrszbqx,0.4065,0.2985
DoG,0.4235,0.048,ppkjsnarle,dtoylmedox,-0.12,-0.126
doG,jgdsczzszh,0.134,-0.284,-0.1035,-848,-2
vwwalfeydj,CAt,-391,uedmtvtgvg,-0.3575,bcbvklnnro,DoG
cat,0.406,DOG,agheecldpk,0.348,afvfhjtlnu,DoG
0.4395,DOg,cat,hytadvfqvd,rfcifhaadu,-521,-112
CAT,-675,0.254,741,Cat,uzsfasjzfc,0.1675
DOg,DOG,0.4,cat,cat,-686,cAt
CaT,bxunzoncbr,rbnctdacyn,DOG,DOg,vufshpffep,686
DOG,40,cAt,cffkalfqix,0.141,486,-0.2105
-970,wudnyjqatr,-276,-0.4565,353,CaT,-0.242
-0.337,xomkvfcwsk,-0.2765,0.443,CAT,zvwwjnwutb,DOG
cAT,-217,kqbfqhqenx,-0.055,0.3765,-945,583
-400,-0.132,DOG,0.465,Dog,-0.3455,doG
cAT,rgatutpeir,CAT,ilhctaaioo,-0.315,ffshiaqaox,cAT
Cat,485,DOg,-793,dOG,0.16,xximfbtkqu
cAT,doG,0.315,zjzhypzjtz,DOG,778,48
cAT,nvgaivdelz,-401,452,-0.488,pwevivvivu,oolopvgryg
caT,whsihwjgna,0.029,922,0.059,0.239,fwpbuyehwd
dOG,hcjxdvoblj,-456,roacnpsrte,-0.078,-816,-0.118
cat,-122,801,0.3875,zakgcrufau,0.0055,0.19
cnuohutnzc,ouarsywlts,-0.402,caT,cAt,tabvrriekm,pafybyzepr
CAt,0.103,CaT,-676,81,-0.3805,-982
cAt,-175,-0.1045,-941,988,xgwbvfcwip,-178
dog,cqjzqjvfmz,qdupbooskd,snllafruvl,660,-0.212,678
dog,0.49,xzfjjbsmai,cat,-859,-516,gfexwnbwta
-0.2675,-0.312,Dog,88,zfczgpeooq,459,Cat
dOg,-204,-0.3805,yhwpelhkpm,frxivrbhiv,xizfuubqbd,-0.062
caT,tnyanudmnr,dog,-732,-0.404,-209,505
CAt,CaT,-516,0.361,0.3435,261,-0.4525
exdrvnhwcd,esrinyeusu,wdtptehbaq,DOG,vfdulfcjfk,-423,uautbggwkb
DoG,-0.031,npvypeuqpl,115,-230,0.063,zyjfcqcfpj
cAt,cnomptnpzl,-0.033,0.2755,ujuuhtxdqb,-862,gjaavtvzzn
CaT,0.429,15,-0.0935,DOG,eexisynzpg,-322
CAt,0.4275,pibgqztyok,ymzlezkaga,Dog,hwotsbbvgm,-61
