ymjganuqfa,mhfjdzjbey,lkxndgwkek,pswpjqmeme,jikhmyfshk
CaT,tczbpiupre,877,pvlxaotwuh,-406
-781,doG,-190,594,528
DoG,-0.496,-0.388,0.2245,Cat
119,558,0.265,0.2485,44
-21,329,530,-0.361,855
caT,0.225,Cat,gssrvlyepu,tzdezcqzpm
-0.355,hgadhpxrej,712,cAT,-0.4
doG,982,0.259,mnffpdzkrb,sxeottykpg
-0.285,dOG,983,0.083,-0.4915
gbrcovggfi,dog,-20,xfmwjlmmse,302
dog,gykqqmrpjz,-563,449,0.2235
863,-1,-872,DoG,pfkugbkjha
-122,0.159,rhrntvdzou,xhglwrvnvo,-0.042
-344,qgbrokpnxu,0.35,DOG,-986
DOG,-0.4025,0.321,DOg,-474
-883,ihgqgevhrl,qcikqqsohf,fewzqkimiw,-0.085
0.024,lfrruwyskn,845,-0.32,CaT
-915,-170,-677,-84,-848
nrwcqvdiyl,ilbohphpex,0.1595,98,-864
CAt,0.1915,103,0.337,0.227
Cat,togicdeokp,ajxepaiift,0.1265,-0.481
-0.397,0.2295,-0.494,rmfxvbvnfa,314
dnsfhtqrae,osppzwlsoh,706,yzfyzurxxt,0.3605
ieyhtwkuny,rlixxypplt,jywlhbyide,-0.4975,qeejmjkisb
-33,58,161,doG,xkjkiaxqjv
ebyhrnqzfq,mubyqsibwi,DOG,cAT,cat
-663,bfhcccgsij,0.2385,ctqimojebc,0.1355
dskjmymotx,-0.1045,0.3745,438,0.3165
342,bvpjgnlico,mamlbacsmn,0.1405,456
beekmejdaf,dhxokmwqnj,751,hqbtyfmzpj,doG
-0.164,cAt,wldknboork,623,-611
cAT,aisvycdmmh,-0.274,7,gkagnnisfd
dOg,-234,-0.071,cAt,CaT
pahxoywcst,0.4215,0.2575,DOg,wydazwvaqq
oawmlkimmk,cat,wnguzsthbg,cAT,-0.142
-0.234,-0.2525,-0.007,brqjjxtabo,wenapiegfr
ejtiysixkh,0.446,-578,frmrspiuxy,fhcbmbunbu
ldswpvhtea,347,591,76,dkoyynryyt
ujxhiodkog,-0.1085,214,tskpjbecht,932
0.0815,0.416,dOG,-85,733
693,oedqdmfkqs,hnnjustebw,nhwvkqiosm,ybzwgkmler
0.4725,0.323,-0.002,462,975
doG,-0.2855,DOg,dOg,doG
DOG,-293,131,zwykbjyqen,-0.0135
CaT,cAt,-265,-178,cAt
0.343,cat,-15,oqthnrsbcg,-0.398
cAt,687,-48,uutugtrlqq,zcfwbaaxbp
-0.1715,xobekevelu,-270,-326,cAt
0.3715,0.1245,-0.42,0.277,kbbjvszzuq
dog,-0.4305,DOg,dhwthwasmh,945
DOg,0.2815,-0.232,-0.3195,-0.149
qwomgxcviz,651,0.101,ocaboxcwcj,-439
0.0815,-0.0135,592,0.368,-0.4755
vwlrcmdnyl,-371,cAt,Dog,uibxqfsink
598,622,ohsmjwzndt,mvnkaypyvm,hvgljtdwkv
Dog,Cat,-595,-0.406,cvkedxyshq
0.08,dog,doG,vzsrxzfojw,-668
0.35,220,fafjpzwlon,eqllvbzbns,dog
qotoyshekv,qrzktofdlp,282,596,-509
0.056,caT,ofuelirxbg,CaT,0.149
