kaaovnttyg,jzabpxadgl,arezqofakq,rxugnuzxnk,bdiyioltpd
ayofieqgct,DOg,tyqqgiqawj,-0.055,-18
-248,-0.2275,tzqssmtzcd,fizwttjurm,hxobjgwxxw
dog,-421,-772,dog,doG
0.4645,911,-864,-472,tfuocpbftx
-44,dOG,wtnzmerqvs,0.45,727
Dog,dalrqydrfe,dOg,bnmvgtxkcm,mghbbgmrmv
-0.208,lbvbhrqgle,394,-551,syszolulhc
ctjkibpllq,abtotvavef,-0.098,-935,57
fkgjtmrhdb,dog,-0.297,-610,dOG
-69,-1000,kzcsmgfnec,-0.0105,-0.0755
tsamavjrfb,-503,gmslmjtyhp,68,dtrwskglwj
-0.49,cksoypnygl,cAt,0.416,-0.331
-0.158,bwzrstndcm,-0.058,fxehbiguaz,-0.246
-0.1165,CAT,836,0.013,227
503,0.0255,pqndrpbber,ppplhuskgd,wpgpbzdkrh
0.231,cat,-0.0425,cggwggkylr,mxlxlfwfus
qdvxppcqgb,-995,682,-221,-0.3635
eaqaaqovbf,Cat,-0.332,-0.0565,-618
593,620,0.2795,0.449,mwpfcxozup
oggfevuxgb,Cat,CAT,cAt,731
692,-0.133,-0.4355,ydnvzxysff,gmavbkhola
judbllpvml,-0.119,950,-781,Dog
dOG,DOG,cwcontlzbz,CAt,cat
389,cat,-728,207,-787
-0.1175,-0.2775,cAt,0.301,aiudtuqmpb
cat,oglwlygzfd,0.0295,-0.101,-0.2865
61,-276,msibxotonr,-827,0.0455
ltunexzaxp,0.1995,158,0.0825,0.1115
CAt,dog,sqcixpytcx,-0.4955,0.4775
Dog,0.45,ujtfhygcie,ubczghxpwy,-0.0505
-0.1015,888,wycmqfhwqj,-383,0.2715
843,gtwykgbxnr,878,jnkghrhjbi,-604
-626,-0.0955,pldpqqxudy,CaT,930
0.0805,dOG,-0.1485,lhsvfhlens,wmcpfdepre
364,-322,ddbhnyklgs,-0.461,-0.0835
0.0035,993,353,-0.0525,383
-163,-0.0995,dOg,-0.4845,765
cat,oblujwgele,eyoscajooc,dOg,-0.397
821,nujsxfduou,lyqrjokflp,0.291,-64
0.2285,0.1825,qcutljzdku,-604,75
-611,wknfiwukve,0.0085,751,qnvhtzcrwj
rjolotxaxi,787,dog,424,0.386
-386,rzyhsmucum,dog,-0.475,362
734,79,xymkkpddrn,-0.4155,nvaoynogga
zmyotxxmnp,rdndsnndif,Cat,-342,ippjvdeeds
274,950,nxojimzlda,dOG,-0.442
wpbpjigyds,cazxdcwwdz,260,446,rzvpopdzsp
elypyixxal,-0.163,0.1475,rxmttcdvjy,tlzbzllaqb
artkvppidx,495,0.104,429,cat
DOG,hjaqmnomjl,doG,0.023,0.23
caT,acjvuupxhy,848,-0.0545,-0.186
687,-0.1895,0.4355,-599,393
ujfkchqxzh,DoG,dOg,dog,pvcmmgomqc
602,-522,-105,-760,ckwbtulgww
lcpfsrzpkv,0.2605,qaitdpcbbh,-0.114,-0.475
0.36,0.08,ixjlrdlslg,cat,dxmqzooibr
txivqcvtmb,CaT,0.3485,Dog,-0.204
tinnypimju,cAt,abqwcfquqn,DOG,-0.093
240,ozwizlkpir,-0.051,-0.0565,-0.4165
wpnzwjpabk,0.4525,-0.214,cysjqrfepe,ogiaxodjwp
-0.469,-617,-614,288,-0.304
jltrpzbett,-516,391,dog,0.372
-547,-0.3295,cAT,qnsvwpidcf,894
rkxueskiod,fzzayrgxdb,-0.3745,CaT,0.468
ihkkmadywk,510,cAt,cthmojrufw,283
-377,0.091,-481,-0.248,-0.221
rinzjhxlnr,0.068,-177,-0.0225,133
0.15,-183,cuvtkwyudu,cat,-289
