kdmdjlyqpa,brsjbpkyvl,nsoldjgymi,liweczxkic
uesrtkhclx,hzwyzvqoiz,-0.2925,-0.0155
doG,628,924,-627
yriercnrbj,697,0.102,cAT
fklyxgidyt,892,742,0.417
ukxhyfsdou,dweuhnatox,272,-0.157
0.2995,0.395,oooxgjvcjp,191
0.432,Cat,-0.072,-0.444
-0.3855,cat,bycsmrvrvy,jpbwxqduvk
72,ovnfuzuwxm,kymqmqekrq,xjgstyasnd
438,cvknomlrgd,-0.264,zkfgvcwevk
-939,18,dOG,551
tyixuncdko,brczibvdjn,rleimoifbe,-0.3515
-820,-461,0.374,0.174
0.1465,Dog,njynsrbwpd,787
jhubbenhmg,CAT,caT,833
-787,-998,DOG,cat
-0.479,dOg,cAt,zpfwlsqgll
ksnjnaapet,dOg,jiqpbbbyco,-0.253
-200,0.434,0.0515,4
-68,cat,688,-0.2795
pryaehksab,-0.0395,350,dog
-103,-124,dOg,wffvdwgzrg
3,-334,174,-396
-0.4475,cat,CAT,654
CAT,0.439,0.007,0.29
wdhvwxcujw,-839,kngokfgxob,424
mjnnpsbfgi,wkhlqlyhdn,nbvonsgqua,ijyorjudpu
-0.07,cat,197,-351
cAT,202,xovugjvsvc,0.473
onpzwnrhrb,337,dog,740
0.1815,gtrlmvbddx,omqghnmtzc,228
DOg,Dog,134,DOg
0.3485,-855,hythrfdvuo,fsxlhbxpcp
-318,suoipkenye,-325,-0.24
ugoqcqhlgj,486,0.4805,880
bdsvnstkhh,933,-644,-0.1885
-262,34,0.021,CAt
bxychxuytl,qtkywunnrp,Cat,830
awrttvyxjk,-0.053,-940,vbcwvklhid
CaT,-0.392,-801,CAT
977,-0.3475,-0.2865,dbxlwgxgqr
821,-0.408,-180,cAt
Dog,DOg,cAt,doG
-276,elltfhpvdb,890,-478
tortkmvoag,-0.0515,-275,0.2755
0.053,0.082,isjltlxyad,wichlocxjm
cAt,okyevbhosq,ybnmudvnxa,838
Cat,DOg,-0.0965,586
-0.0695,CaT,ujmrefkbgz,-0.001
639,0.106,eoeacrojwe,0.2755
bemixkxvsr,-764,doG,sdyjmenmme
ecwczixdzv,0.346,667,CAt
-752,nktvnhhdmh,dOg,852
682,0.206,552,-0.0535
0.2735,0.456,-0.3425,xwifdkwdzy
-0.3065,-939,0.492,-114
lgccpbszni,tlyaeecwyl,dOg,dOg
rzijotuprk,669,caT,345
0.4855,0.392,-0.0775,doG
CAT,utqhkatdcl,0.417,-0.043
0.099,CAt,308,834
927,CaT,-151,peuutymagn
xwvtkimavk,-0.146,-0.335,-0.129
yowthqasps,-581,-0.2765,0.276
-310,0.455,964,cAT
125,488,-691,gcbjppflxk
512,doG,-439,cat
wfhlmpdfjv,dOG,450,ftmfosbpml
pvoenzyxwb,DoG,zjhhqplfiv,vpfohasczm
vvsadbsfad,cAt,0.091,457
75,DOG,440,doG
0.171,909,ebtvkcclvb,dOG
0.272,jixfdozxqi,-789,0.4195
849,0.0405,ydfzghzinx,0.217
vupwzvzmtw,-0.067,0.038,-930
isxkvmqmsp,-0.3755,-0.1175,-0.325
0.258,-238,qojxhrbwtf,-757
prjyzucaoq,433,dOg,-0.2265
897,wslvjonwit,693,dOG
prifcdgueu,vsucdwwyzi,etzlwrfrfp,doG
-0.0675,906,zosltdwevo,0.4195
-0.095,0.46,0.0205,caT
0.318,zxelpobmfv,DOg,144
zipqjjumbx,908,-0.307,txtxvwdtqw
dOG,36,965,-10
-0.306,lzdxzzzgqr,cAT,unonvzwgfg
218,0.396,586,reabpgxodc
-0.378,-877,tqdmlwvwwh,-0.086
