hlusyfdsyp,pet,kbmznmgtjv,ymfwkrsvia,koyptrxzfl
-0.0675,DOg,ralwaicgec,0.3725,zhrxldjruv
zzznxkisbq,CAT,kkvkgalrjt,cppdpuiqci,-0.2945
jqptokhkhn,uklyivvahw,nvrdbclcjw,qmdurlcfpy,Cat
484,dog,qdlqlryhyw,-0.0075,vheurcodrl
dOG,-0.3155,ornrbgrygg,nshjpcdgqg,xtftphkcpw
-928,CAt,tbsrlbfjpl,0.0955,23
doG,Cat,0.4485,-379,-275
0.1185,cAT,0.1115,CaT,463
dlrxwylprh,Dog,cat,DoG,0.0155
0.228,dOg,rgqqsetdjd,DOG,dOg
-296,CaT,-221,ogpielujpa,ttndebmted
gxcshbflub,DOG,0.1985,CAt,494
urycdgbxho,doG,812,pmlofswwuw,0.459
johayptxds,yvopqxfluf,hrnzztwpyc,Cat,qjuetwrncu
-576,Dog,dOG,pdbinqbuae,198
240,dOG,-132,sftsgmlvpr,DOG
-0.0575,dog,-0.2855,168,0.2215
brhsturfdo,xunuyehuis,-0.496,908,-0.071
gdtduexswc,-846,0.379,-298,-135
doG,dOG,332,0.047,ppabcgvhox
ziblptqjln,Dog,0.071,0.282,-815
0.3435,cAT,hdhnksksrp,cAT,0.4225
lpkybnhqis,0.2975,-0.2115,-128,gkkczrxiws
426,DoG,cAT,arnfqbomia,-0.465
-146,-0.069,rzuzxyazit,caT,udezdsypwc
oloawnqbgh,Cat,-267,wrynaagnoc,clolkmgzrz
-0.3655,doG,780,912,rtnwzoezbt
-0.487,dog,sonanapibj,zvvhzbuisn,-0.4875
-776,DoG,0.451,CAT,cAT
-0.093,Dog,0.4525,cAT,0.2695
ncncxedxzk,yqarsalzek,0.4485,bgmnssmmxz,-474
DoG,DOg,knypnimfvk,0.144,cAt
-541,cAt,DoG,dOg,gupocajwxs
doG,cAt,CAT,469,-0.4245
Dog,caT,395,fnxpzbbgsh,726
0.402,xmghfivpzz,-150,-900,cat
caT,kojuyqizdo,0.34,DoG,0.125
thcloxygew,DoG,-158,dOg,zalvgjrvrj
