pwigcpdylq,yplpmwnnyz,ubykrekfta
hopwgdxhtk,Cat,doG
-0.2575,-746,ofzvyiowbt
-0.037,caT,uvzfruztnw
201,CaT,dreteqjyox
-0.1615,hucutlxwxc,pzckivfrhn
cat,-735,-316
mdzdbojvnl,-0.0375,397
DOG,cat,wbuswjduhv
-303,jfrrlnrdgx,-932
0.4485,0.3365,ccadskgtlz
-963,wufhjywrka,651
-679,528,wunaehtten
1000,ylqffgwbbl,DoG
0.446,htxwjvaddp,166
Dog,-544,-206
CAT,0.0415,-0.275
0.175,0.421,xoxyfiqxaz
0.0565,-763,-0.319
383,0.391,-124
667,-0.137,vxtmouojsq
-0.0425,wmmqlupcwi,cAt
DOG,DOG,eingxesklj
wuijfallir,-0.4365,vldgzkyzaj
CaT,-0.0865,0.4255
-0.237,gsrawelsto,-336
0.0225,-0.4495,caT
-72,-338,tzdmtjbyvh
-888,fnmrjqdavd,0.4885
dOG,0.2645,0.2825
ivisafcyrz,0.0315,767
yahtkkklzt,737,0.1855
bdktfpripa,dOg,nvnpnscxiv
bzftkbyazm,wkfiquzgcu,DOg
-819,708,DoG
-477,292,-0.291
-932,0.4415,-0.434
0.1145,cAT,CAT
keizkxohkx,-0.1905,dog
874,-0.0745,doG
-640,laxxipiuxe,ckdmfsjfzv
0.455,hrcemmjvpo,zjcxqnjhrv
0.458,0.4555,cAT
DOg,CAT,-0.3655
-0.1965,ewimnbvnup,-235
446,skqzyorqus,ykkksmylmm
cAt,0.1735,-0.145
zlurcnppol,-494,nzqxbflens
Dog,DoG,-0.256
0.1865,bfoetmumrz,-0.435
psdqpdkpjj,-299,-57
0.2445,jviimpjwva,pboowidvxa
-0.4545,dog,162
-267,928,342
hwifpwzdzu,-195,-0.07
yqysgisgug,dog,carckocida
-309,-0.431,0.2255
tbqupytvcl,605,0.426
dOG,242,rlznfoveke
-894,965,880
0.472,cmhhyqpkul,-395
-853,127,0.143
