xwtdzyxwio,ddmwrfqshm,jnbbpdodrg
-321,DOg,-436
iigosrikiy,hkvjstamdi,-37
cAT,452,DOg
CAt,0.0715,coijknffxr
-627,ziczeqewqd,-241
CAt,-876,rmlhyvrtoy
knbuflyiaj,oobdpnuhph,gsiiudseol
wopdedtvdl,0.3175,-837
DoG,CAT,256
dog,0.0335,turfhqhrlw
616,0.036,-0.4505
ayrhzqxqwo,-555,0.1005
0.0865,oysvemqast,cAT
-0.285,raeqroanrx,DOg
-133,52,dOg
0.469,0.381,-581
-0.4975,0.1345,doG
-0.275,ecqxlavlkd,hwxkzhvlkn
0.1085,dtqyvssqpk,-142
-0.361,0.1975,522
-68,doG,hghamjmiiq
0.005,-478,ltfmekbrpo
-12,0.018,jklmotykyy
41,0.277,0.3755
0.3685,-213,0.161
-0.0265,0.297,48
dOG,-848,xzwydkivke
CAt,wxhsadbavr,-351
-814,-0.1205,-956
0.099,0.0965,jcklokdeqz
vefxppxboj,0.4815,dog
vpdprvuhzs,-136,CaT
-266,caT,bvknwpggat
-814,-952,0.0845
0.232,0.032,bwgvyreauo
DoG,0.061,jhwdffklot
-0.255,fssccadqxu,yxtnqtoqjf
CAt,-0.491,hlqlrovpgd
0.0075,pzjkmmnevm,443
932,-874,imgkmsghrw
-0.0295,-0.2845,lsjmtyludr
DOG,-0.4255,wwoyiqjyvx
tmzftomfpq,qcwcpgsjcn,-0.426
cswqzuwyyp,-20,Dog
angosalfiw,-126,759
-0.043,-954,DoG
-608,570,-0.33
cfuskkugfo,-766,-781
caT,637,pkmwgmbtvb
-0.4955,osxwykacfo,0.104
sqtnqkerrv,-147,-0.1995
Dog,-0.0905,-0.012
DoG,CaT,nceejsgbfg
-0.09,896,dOg
-0.124,pnvnnagxrw,61
-0.077,347,-0.495
535,-941,-0.1095
-0.255,-0.333,396
-0.093,0.0215,cAt
wtdkoeynpq,mxtqutwtgy,-135
dprdbgjhwv,-0.2885,cAT
-0.179,CAt,904
-0.123,qeifsniblb,luaecmqwfd
scmeqbeded,985,qoeazgvlus
cAt,caT,-0.211
-0.0065,csaepocmoq,mlupjuufhr
cAt,-534,DOG
-0.074,dog,DoG
