cdegtrabro,hpwtikzbtl,cxmzciixpl,moytjzedqk,nfbkpvxmfd,vtrjoompgu
-440,-545,Cat,vzlgrzyebn,569,0.0205
0.4685,358,Cat,DOG,773,0.4885
664,ilzsuhpkgl,-134,0.44,938,-0.1995
CaT,0.25,sldtpxuqau,uolwvfdyio,-195,972
cAt,-652,DoG,654,-519,caT
-0.0125,0.1315,0.136,bhbeimawhy,-0.2455,0.233
doG,-193,-534,-191,cmkdtjihoc,457
vluczizuew,0.262,jbnggqehus,0.0905,0.459,-433
-646,CAt,mannetpllt,197,DOG,66
0.2155,moqqzsehrl,xlrqldinnb,0.236,DOG,-0.0005
caT,zpmgzpkody,anhecutfvr,300,0.1,yqwpkyynlt
382,icccjbxspt,-0.325,-830,zfypneugcc,Cat
-388,-0.3265,934,-299,-107,0.427
DoG,ypkruewoxr,cat,wbrnymoybk,-0.3155,bjcxpjlioa
cAT,DOg,53,12,Cat,200
967,-527,692,-0.419,-674,300
-0.4945,lmepraigwl,-0.1605,854,-0.065,zlpuuthpjr
-0.2315,hrttkgeemu,-0.06,azjlavhiwe,Cat,0.239
miukgldane,0.01,91,doG,rtxprewigu,mzoabrekst
-0.263,237,vcfvjevelr,cqvbugsowm,-612,0.249
kkxptqofhr,dOg,duedtesgnt,vjqqyhfboc,-0.333,-0.2685
224,-0.338,-0.3555,ppkbztqxfa,Dog,hthffzpwvm
0.2375,929,fpklrjjyhq,jpuofdavhe,ewszwltdoe,893
caT,869,oipoberzei,276,0.2045,hmjfxgsgxb
pgmgezjqms,-0.387,-482,415,dOg,DOG
rryxswvhbe,CAt,-0.028,nqzouzkpwe,868,tsulgyvhmr
qvlaflzurv,-0.323,-0.178,-248,-0.267,-0.381
cat,0.221,164,157,DOg,-528
CaT,qhniankwmd,-0.3735,0.3445,-0.455,0.009
nqojcqltjx,Cat,njcuwiozzg,selcrmzqqc,dOg,-0.2035
thwvmdykvs,-0.376,-0.453,pwpgzaizvi,928,-0.4385
0.095,DOG,-0.354,-0.127,DOG,-958
doG,0.378,-335,-0.215,cbpucrloae,-413
dOG,-295,868,-0.237,xcpkrelctv,hrlilqlkqh
0.006,0.171,-0.359,famaacxfso,-0.456,0.0285
rxirdndpfq,0.138,0.068,mffzhfrhgu,0.1655,0.0835
0.2935,zbstqgmihh,0.3585,-782,nyrofoliup,0.25
-835,fmupndfcml,DOG,-0.3885,tcecjtnsvg,557
auvcjnrusv,0.0065,cAt,jsyiyupjje,0.0715,-0.053
