udjlbagizp,dxdhfwmoyo,pet,bmpnplheki,rtmsyvbaoq,kpzeoahsez
0.255,0.088,doG,zkgzkvmyek,-360,caT
-486,zxmmrsqubc,caT,618,291,334
xzmdrpqhhf,-711,cAT,cAT,0.445,-102
xsstsfuuzd,rydutruklf,Cat,ldcwiqbjji,0.4655,CaT
-767,0.0645,caT,-0.3995,437,hyacixtlin
-561,yqquedmqjd,caT,-0.265,0.4935,0.255
dog,669,-0.3655,179,fciwphjkaw,-685
0.0145,531,Dog,-531,0.447,623
-664,dOG,CaT,-529,-0.325,fcixstqswm
fygyejkaho,DoG,cat,-101,uqiqoidcot,dgxvujlswf
-629,0.096,gjjhjrtprm,-525,DOG,cAT
DOg,habuwkmkfw,0.2595,-0.3015,qpdfjjvbyy,0.4265
-316,-0.337,Dog,0.008,svhnhaehsf,-456
-0.3135,lutfeafkoc,0.295,-0.467,0.1755,519
CaT,627,cat,-0.486,CaT,idhhnzcpof
cgdfuioizc,dOg,-850,vgwfwydhds,rfdloayyja,Dog
cAT,hvvvmcwods,cAT,952,nmmcyxowob,0.4995
-426,-561,doG,-0.337,cAt,vdibvlpqeo
woayhovpoz,-834,dog,pymhbdywqf,plkcqpzpgq,dOG
-0.062,ajwnyyxmte,dOg,-0.287,CAt,wcthptpeqb
-259,ngallhbbot,0.1645,75,ymoreegyti,464
-424,0.2495,Cat,-0.002,-590,cAt
dOg,cAT,DOG,781,377,-0.238
nkzxycaeyu,lhkogepqeb,CAT,-0.3485,ykrdcalnqz,88
nonnbvgwpk,-621,DoG,fdecdoptbi,cAT,0.433
0.056,cpbaweidxo,dog,ytvsccfszo,-889,-0.427
qxopjvbbyh,0.255,cAT,66,lzswpcqqlt,tqjimhsduc
DOg,Dog,qqcpkzjjxx,-108,-0.052,0.256
CAt,-380,Dog,643,-740,DOg
0.45,imzgxxhctx,0.4885,-694,368,jpnviicgvr
547,524,cAT,663,gbpneyupkt,CaT
0.355,886,CAT,wwoitjixaa,-775,cat
CaT,mkjcwajogx,vqmywlathk,990,787,CAt
dOG,enhiizektw,CAT,pshmnathcv,0.38,isarfdkwrm
-0.4885,342,-337,364,-713,tjedfijhkb
-767,-782,DOG,DOg,0.198,0.2265
-534,0.3835,dog,-361,-91,827
ryycqsdffz,-222,0.2165,-0.4235,cAT,joffmaekto
976,rnfxfelgib,caT,-0.095,caT,-754
-0.1285,-0.265,CAT,enwhiqtmdy,0.238,-909
yokrozmakg,0.2295,DOG,636,ucsnhwoffm,fqbevvwmjn
-0.275,ddfwziakku,dOg,880,0.1785,0.3085
zhipkokavo,-0.4715,Cat,647,0.3715,jtxrurdgyp
-582,Dog,CAT,islomagwii,907,0.301
CAt,-57,cAT,jnqhrcwcvj,-156,bjtgpoatcu
CAt,210,DoG,gqjqhqagxl,djneduufbd,0.1205
0.429,0.1405,dog,339,-563,488
cat,140,Cat,872,nrcrpmwwoj,cAt
321,-729,-0.2955,0.058,-948,0.202
xlpactyacb,-0.1045,DoG,ceyzvxsnqx,dog,cAt
0.411,-941,CAT,-0.3515,cjnynmzvxu,725
-0.0275,0.4005,cAT,887,0.2655,mffhqjhjpr
DOG,529,gvbndwkoix,cruvlwikqs,CAT,765
-903,0.3795,snfjvoxqpe,-0.4735,351,npiizwaaop
DoG,-524,dOG,ceiqbxnhgn,700,-884
550,mzssskvnfl,DOG,-0.3285,0.321,-73
DOg,gdcdqybggz,dOG,dagfhuxrgo,caT,-559
-989,ouvukrktjk,CAt,jrwdzzdgbd,cAt,CAt
caT,456,DOG,-431,255,524
715,harpvgnpjo,tserujmbds,vhihyyiykv,rtkcouzivj,0.014
0.427,135,cat,0.1765,uafgzzbdco,cxkdbbofvz
Dog,440,DoG,-0.094,953,nvoxgoymjo
0.195,321,CAT,-0.46,jftvqqptgs,rikwpsfmlk
thyjugcqsd,0.1275,cAt,iuxssjrkhl,890,-73
309,681,CAT,hwcweczcdj,ndlxkarfcm,-314
-0.1705,298,CaT,qadxqddxqj,dOg,szgswmrevh
