smxsqfcdzv,ovlbwzkeix,pet
996,hojhrulpif,cAt
563,iiwzfwirlx,cAt
0.4505,ezyqrssdeh,-718
166,bxypllkjjp,dOg
-7,dOg,nrwqmysyzm
746,cat,CaT
-347,112,dOg
wqtlpbipcs,xlpbtpypzh,xihjsjbcrj
-134,zduiaafaqs,dOG
tquzpjokbc,yusxghlnxk,641
-87,0.3355,-654
qmihtgumvs,703,sehqezzrkv
804,259,cAt
-0.3995,yjgjkbpein,CAT
-44,doG,cAt
-0.3965,-722,yqbeplpevt
97,dog,DoG
cAt,vjmtexmdzd,cAT
snkqcxmxbp,0.4215,DOG
-767,0.1545,Cat
qwpbnvcmyd,odaxoumcye,cAt
-350,gwqslllore,-282
rjfbpzkcuc,dOG,dOG
0.3825,cAT,caT
ypwbdbriro,-0.3755,dOG
152,myhbuwrtxs,DoG
dzhuulodrs,DOg,dog
271,vhobudlxmh,cAt
dOG,esjrmchqpi,doG
-0.327,557,0.3615
-0.376,-0.086,dOg
-0.1145,CaT,-0.356
qmrqbbjlwu,141,isybjhypky
488,doG,Dog
0.081,-0.2005,cAt
0.2365,56,doG
dog,dOg,CAT
505,wsmkeqmgtj,dog
dog,fhnddcznpw,cat
-0.041,DOG,75
cat,zgmbrdjfmb,dOg
-856,-0.228,caT
tokrczyxkx,-33,DOG
doG,-0.1415,CAt
-896,fpbjuihhje,CAt
gkunnsqret,315,672
0.0485,DOG,-947
715,CaT,dOg
Dog,-0.193,Dog
gzgwtxjriv,0.3425,CaT
0.3025,mcklbptrxx,CaT
365,-290,dOG
-0.438,flakrbvgwm,dOg
-336,dOg,zgrjtnofei
-547,-0.0415,-23
-633,cAt,cAt
-0.2045,abbrmstxbg,doG
0.4,doG,-0.443
477,-0.3065,doG
0.232,-0.3105,DoG
xngwmanxxn,252,-0.3495
vvdwpvnoxd,0.1545,djcjoqhzsk
xwnnfaozsx,0.3975,CAt
-415,mgaslhehox,cAt
0.1865,697,doG
0.1205,dog,CAT
ekviaohpgm,rwegpqllkv,CAT
ipskhmyrwa,-802,caT
CaT,DoG,CAT
hosbqdqohr,DoG,544
dgwxarwcda,hzxajziltf,Dog
DOg,qvwfzqgoil,yelbukgjcg
cAT,404,CaT
caT,DOG,cAT
iryxzzwjuw,12,308
