pet,suhfxqrmle,kkcbtodmak,naxeyseype,ueyiktulxi
doG,dzyhhlxkar,aalqlkzibe,dOg,536
dOg,DOG,cAt,-72,xprxtcwoge
-857,-105,0.1545,-0.46,bwytphqius
CAt,250,fncuvehjxq,-0.1855,kwqdtekxxq
caT,798,dOg,uydyetfbtl,cat
DoG,vnobgauhbz,pnrldogolz,wpjcxxqgxk,wxmxljzgpx
-982,-667,0.033,726,rpduvddpxy
0.0395,-358,-0.43,ljalgnplxu,ihkzmaidwe
quhyzssgmr,ycynqyawdd,-0.361,-0.458,-627
caT,DoG,-0.174,-0.027,-0.491
Cat,0.375,-0.422,-0.2005,twtalvbfit
DOG,cpxgxduybo,DOG,ihosuumxoh,571
102,678,0.3095,151,duisvaprub
wrzcvzqwqd,Dog,0.3525,-0.0945,-558
doG,ncyupbmrpn,-0.2345,947,-156
DOG,-830,866,doG,dOG
cat,dog,-87,nvmedeocsr,cat
cat,kugflhpfni,xhspwiadvn,687,tlfxkvkgzq
CAt,kwpwzucvvt,movfjroypz,-479,psehqcgenv
dOg,cAT,0.09,qlmgyvzyhx,193
dOg,kqfmnchiin,-177,sxqfiphigo,hkbyebcxhi
0.205,0.0195,pwfzraxhyl,dOG,935
CAT,anssyzkmao,-0.205,fxcwkpacgx,-0.497
-0.418,sqdqwznopi,oixqulftwr,yldojgrshe,0.466
Dog,0.321,ncddbscgmv,622,141
dOg,zybzjyfjtu,0.4195,15,976
DOg,697,dOg,-123,0.304
CaT,-810,0.2805,-0.0955,Dog
pcwmfsfihb,-264,-0.085,hteraqxioc,-507
