inmzzqrphw,peT,evmgyhazzd,qnvelhfsje,pklheohote,tvufwooszu
DoG,cat,fngitmtyrr,627,-0.4535,-0.038
-359,dog,0.454,idcoqzukzv,zxoacizktq,lvftpsvlii
Dog,doG,-0.2925,cat,-0.2395,vdlhtgxmym
cAt,CAt,441,235,ucowibszau,-0.0875
nzzvcfvdei,doG,-0.2885,doG,muzdybahzv,xhmouwbmpf
0.472,cat,0.1465,rcrbjcjbig,769,txxiioqydj
doG,CAT,DoG,-0.106,doG,cat
mgkgqnvizr,955,232,-279,ywjccwddxk,171
CAT,caT,-585,828,433,0.409
jtbqcfyctu,doG,vkbrpxyhiu,641,0.4125,0.4855
979,dOg,zihkycaexl,Dog,Cat,0.126
0.4925,dog,637,npgsiizqwe,-0.275,tceyriyrje
Dog,cAT,-0.133,DoG,144,432
dOg,DOG,xgypozcisn,0.1805,jevvmhdyxq,145
dog,dog,0.2165,zsxfpxfxyn,DOG,-367
0.487,dOG,zlcjtowfzd,dOg,-0.4745,0.3295
-245,-116,ylomnvxdwu,qzcgmafiuk,gazzxhxihr,-943
913,doG,445,txvjjukazy,-0.2595,0.4005
408,DOg,0.414,caT,-0.4975,379
rwrunfrhsw,Cat,davdiihidy,blmrfjtvlm,683,fegssagtvr
-377,Cat,tjzjyzexuh,qekflsfntv,-0.262,-539
caT,0.4415,303,cat,wmdakentht,zmpdecevbf
cAT,dOG,0.489,zadgrtvkte,Cat,-0.209
-0.4615,81,xchqpxtagh,0.142,fgakwrwras,0.2455
-115,CAT,307,136,-0.479,bydbszttxz
203,reeyufxrbo,rrunhqzvbc,300,qvrykaqgom,plhjfcxvvj
Cat,dOG,DOg,-269,eqwlhtjzct,qopkbzhxyf
Dog,DOg,343,-0.3665,0.0605,tgfmmprtss
-882,cAt,-713,-0.2695,dOG,307
sdjuitlmlg,dOg,-0.422,876,367,-0.0865
663,Cat,-532,-542,-0.1405,1000
-485,doG,487,-822,-336,DoG
CaT,CaT,adpoiknoxa,qyjxljmvrx,DoG,aiuvpegwdl
854,-0.3595,DOg,zflhgxfjci,-0.4015,0.3385
0.196,0.344,-0.4655,iuaddootmm,919,godcaknbfg
nhuszokerc,-858,dOG,988,-588,863
-0.0805,Dog,cAT,pkmdbusxpa,dOg,480
666,-799,caT,-641,99,-0.419
CaT,cAT,mxxfcrlexr,orokoarisb,-272,xzpgmgeqga
-385,dOg,207,doG,DoG,47
fdzgtgxkgw,DOg,sngphzkpvl,biffaizzib,-0.4085,853
