PEt,ozjrvaemyu,pezzfmpchi,yzlvmskbvp,pgknhpvxpy
-0.0005,-0.474,-958,negapopist,0.4715
Dog,-0.3185,CaT,0.331,dOg
Cat,-0.388,Cat,Cat,-837
CaT,hjvxtwhrhl,0.0565,378,-590
dog,-0.244,-304,doG,-0.1865
Cat,0.0175,-989,-350,-222
cAT,DOg,zatynvasbw,rrhvxvrtec,yxevreuhej
dog,652,0.036,-0.3325,0.1455
91,-0.395,oskzhhjryu,-0.0145,-0.386
cAt,zyqboqwxpq,dOG,0.3205,mzhmquhqhl
264,-894,383,ozkjfkcgps,oexabsuqud
Cat,zzejydjhpu,-0.4655,391,cAT
cAt,uppnjwqwpc,rwnqvaeuml,-0.0375,228
CaT,agrgkbwsyf,DOg,-195,717
dOG,dOG,cat,Cat,0.1765
doG,217,arnhunbydm,lddqwwwddu,-497
dog,nybxpwhznq,hydpuntjhz,DoG,qxmnfuovpc
cAt,caT,sbmadsusxi,Dog,-209
CAt,0.133,93,rbhgudzusy,0.1125
dOG,0.0415,-814,vjpctlkmcf,kxuallqfvg
caT,-0.4025,0.1515,-0.1715,motohzfmja
dOg,0.441,-574,-922,-0.3975
caT,piylohccdb,-29,DOG,ekcqeqpysb
Cat,dOg,cat,nyocrhhdyt,-0.1615
CAt,0.197,xxycphonno,toprsmfmsr,-0.121
CAt,0.439,ztlfzsywbf,Cat,CAt
caT,DoG,-0.0925,0.4695,-236
dog,ridbinspuu,565,-0.048,621
CaT,hmpoakngiw,cat,ufhfgzhvcs,cAt
-0.3475,440,-284,-355,-0.0705
dOG,bqkqptcwqr,238,jyqfapxouk,-859
-753,0.3975,rmqqqvpdmm,-209,0.037
doG,DOG,320,-0.337,eihgytpvrs
DOG,-0.1715,-0.162,-0.2225,0.4365
dog,-41,0.075,-340,0.0235
CAT,-894,pwtnapwvei,CaT,-0.3085
DoG,vwnhepfzpq,3,88,0.2915
DOG,-0.4665,bhydpodfxp,Cat,ncnhkcqicv
-612,733,qoeyvmuapl,yydrevxars,jretxgtzlx
dOG,-0.497,-338,-0.176,682
-796,CaT,-404,0.0055,DOG
0.346,-0.193,-465,zeziashiwi,cat
DOg,-545,xqxsbxzxxn,caT,-0.1875
DOg,-221,0.359,0.5,Cat
dog,caT,0.3395,-845,soeqdnqppc
497,uadtanbfpt,sdpnbujyjh,-648,-100
cAT,0.127,gfjaphhtck,dOG,dwikeaqsas
dOG,0.1435,cat,0.064,-634
ijjzixmwly,ujglrhypdp,lhtvklmxsy,0.2325,907
Cat,DoG,440,207,ikjgawgjlp
doG,gvhtfhvnwb,fjmxafaear,-126,myyqpnrzci
CAt,hkhzzlzqnv,Dog,-0.0425,0.374
cat,-906,-372,ryahsolzak,930
763,nduojphxdi,-585,dOG,0.244
dOG,-0.089,-906,kbglraqjkl,0.439
sebglagkep,dOG,-0.155,cAt,0.1905
DOG,-0.087,dOG,DOg,-0.249
caT,caT,cAt,0.3205,cAT
yngoakujmn,-0.027,wpayjjsvog,qulsismxew,-0.1865
cat,-698,0.2175,0.3235,-528
wuwjivdkyj,bqghighsen,hdvwohmndf,354,fcnqvyauqu
dOg,cat,gdqvttxfmy,890,dog
CaT,669,0.385,163,-0.3355
DOG,-0.286,cat,0.11,hjojwutbhk
