ypmesyreix,qhwybfndll,fokotepdth,oflnxxjirj,vvupopvgwx,fjuqlaxril,nhttivhirm
gznswsaamh,192,hdfruxykee,-386,CAt,573,-0.255
662,dxnelxgsqz,0.2225,mcklvghvpm,jbrskqmgrd,-207,-0.2165
0.0555,212,-0.222,0.3545,jzsivqfkkx,0.1155,-0.2965
yrswjydqqw,-936,4,-751,-0.0105,540,-0.0895
-989,-219,-574,-682,833,zgrschrmku,CAt
744,ycjotcqumy,0.399,hdhmxwdfya,-968,-153,-587
0.389,-0.419,780,-0.0505,0.4935,-620,652
glqnplrngo,200,-0.304,grxbwkwuwy,-420,-0.3355,jxqtlshzjh
-593,-0.4335,vflrblalvu,brpwiajqvo,cAT,989,-806
529,-0.0335,-0.3725,0.4855,dmsghtoekd,pjbcpkdchx,0.392
234,-868,CAt,pocjdppqqx,-0.4745,ctfkpovhrr,-0.1305
174,uksdidopss,uhmcgfovua,-820,852,ewkahwmjbs,-58
0.4905,osydqdvbkp,-0.0675,-0.2075,-521,xvlzhdsalo,328
fvuvctamfh,-177,ssqtnbbteq,-0.274,cAT,ekqxhwcceu,850
0.1915,kglyxnaayl,CAt,-0.411,rgaavphcyg,602,ttxclsfggv
0.371,mtlbyiybgx,Cat,jftuzgjueo,-0.223,lcoabqeyhd,705
dOG,wfzqjcpubb,nqdynjjnxg,-0.0035,731,hextubjlta,dog
0.0695,CaT,dOg,-0.025,0.0455,rwfkygsjaw,279
0.13,Dog,599,-0.3525,tyznydeicy,xkczoidrfp,szcrckebhg
-0.4965,DOG,0.338,-526,zkmtyqhfaf,oahvtlggrv,hktmwsakjr
dOg,-0.1305,-0.324,0.411,0.0095,zhxjfqbgbe,jntahatzat
nscbmpxcdb,DoG,-120,klyjehwwhc,tdyaymzmdm,qvouxehavx,iavtzpckaa
-0.4265,rtxgwfhblf,0.093,scpzsufbex,257,DOG,ikahaznqds
