fzfctkxmpw,pEt,jvrrerklcc
0.079,DOG,0.1885
0.1895,Cat,0.436
-421,806,-0.4625
hpqjsrjrgg,dOg,0.183
zsziaikune,doG,dOG
myvkeefaui,qmrjiajjsj,juebjbwtce
CAt,CaT,taubdmqqtw
-0.005,cAT,-389
dog,-193,0
-0.087,353,0.028
-0.4555,bqzkquybbl,267
ldfljpmukl,CAT,-485
593,Dog,dOG
xauyrorfxe,-950,0.108
cAT,cat,DOg
yksmhqdrbm,560,qtfcjlqqef
0.322,Dog,0.3085
-211,cAt,0.332
-0.439,CAT,315
xefrjdvqnt,105,-0.133
dmnejzvmjk,dOG,vwjbqqprbe
-0.32,DoG,dOg
-0.2695,Cat,-0.256
zpjzloklrf,dOG,0.3615
-0.1895,dog,rrcyijfznw
-0.44,smblxtvjst,doG
tliyrvltmd,Dog,0.045
sbtyxygryx,dOG,uflzkkgjma
uiqhwfqhjl,Cat,CAT
dOG,CaT,hftewbkqes
432,Dog,-0.4015
cAt,Cat,948
0.088,jcxyipeieb,-556
0.2625,mklzaqybfn,-374
-784,nazpvrfsfi,ynthmfirvt
865,DOg,bmzcptuesm
-431,cfqtqriycn,-525
CAt,cAt,DOG
752,cAT,-0.1335
rqkntqzepk,dOg,caT
doG,caT,ufmyaepald
576,dOg,-588
-0.405,CAt,pauhvrxzoj
dog,cctgtjerju,kbgqnpfouk
puzbsxvcgj,515,lecxlervxi
0.1495,nqyjhxuqrf,-0.3875
gkohqtzwnc,dOG,mebbxcmcue
dprhnnvgkh,cAT,0.086
-474,CAT,-886
caT,dog,doG
guqenhinzj,cat,0.328
0.424,DOG,-0.138
xtivutccdj,DOG,-679
0.1065,txigxpymyb,DoG
qpmoumkxwt,dog,-0.391
Dog,Cat,cat
120,dOG,pyltzbbzbi
75,DoG,-0.4835
-0.1505,cat,CAT
-0.4795,doG,0.1425
CAt,cat,ebuhqbelsh
-183,caT,0.201
vewxitozgr,CaT,hwhkhxtpfc
792,Dog,hgaffvxsmi
CAT,cAt,lblozgchxf
4,caT,263
0.3795,dOG,-0.169
-75,caT,99
-74,-267,759
cnjfqsqeak,DOG,jkwyjvmbap
0.325,DOG,jhmxuoidjm
aafkpgmqhv,ubzgvevlmm,-793
0.2415,-0.476,DOG
CaT,DOG,-172
Dog,577,CAt
cat,cAT,363
-955,0.07,478
129,DOg,cAT
-0.095,Cat,288
-0.151,0.0225,nygyqkpppa
-0.414,-156,582
-382,caT,hyynkunuke
-60,-0.028,CAT
-645,dOg,43
328,-0.1155,DoG
-698,DoG,-4
-0.2315,cAT,992
-0.459,259,wnbldxecvw
strapvizlj,dOg,532
lcgnzoevij,xvlipmmzvi,152
-0.237,DOg,fycpwdnyss
602,caT,dOg
0.033,-0.0845,ecuiklumkm
dOg,-695,-0.454
-0.2085,-0.084,0.397
Cat,caT,0.468
-780,-702,0.4155
iacsbtypdl,cat,DOG
914,DOG,-615
