yglweoauwr,qbdqjxbouv,dpulswgxpa
-229,CAT,24
dog,cAT,iobtxppfqc
grapqzqtag,-323,CaT
62,-429,iatmhilmqh
DoG,0.0065,-0.2145
0.2575,0.0195,-0.018
evnshdftxc,265,-693
czwdqspkqq,-0.0055,470
doG,637,Dog
0.4875,-183,DoG
-955,0.182,CAT
wsghtwsjav,caT,-122
ihccouymub,-0.06,dnkyvmnkpk
0.2,-0.495,etlmastztw
wtghnryozt,dsgsjmcbij,caT
-0.0265,CAt,DOG
-118,570,caT
-0.3715,sfmgnjgccy,nmfujofmuj
xtknjtburh,-0.141,zbtqfjwils
CAt,822,529
0.336,-959,-0.118
ygwnuaxdio,gnofcoolsb,cAT
Dog,CaT,nsajlofmyq
484,0.163,rzpzhzawyi
0.0465,cAT,-762
dzazlgegyq,-0.3425,mpktjvkjic
csigejqwkd,CAT,DoG
-0.27,0.1585,777
0.3085,0.408,0.0545
xqavoctksc,pwipraupho,552
0.475,caT,nzjeksqijw
odgxiczkax,-0.1475,-141
0.2795,hiwiexdrwj,ulotbgjauy
xaamccyabs,CAt,954
CAT,0.0505,Cat
512,0.1915,768
DOG,-0.329,Dog
-0.2165,tqfxnzntjc,96
71,Cat,cat
-49,0.2335,DOG
63,viirfoedyf,dOG
-455,-352,-805
CAt,0.4205,0.2565
-0.2215,-0.01,sbpjvegscd
CaT,dog,-627
eitoephtzn,DOG,-996
eozpbqprbr,dkfxuwmidh,caT
bpogeinoxf,0.16,doG
-583,dOg,-0.2025
wihlrlxhok,xdeitdscwq,CAt
-70,tsvkcvhdnx,0.393
qayagzsozo,171,oqitncwvdj
0.141,0.1765,jnqqlyxhve
-116,371,0.0125
-674,0.392,txjdhprweo
dkdjnmrdod,DOG,0.353
-0.3795,doldmccepc,0.2805
uewnrdmpxm,0.2785,129
pclgqznmet,-0.107,fqvgeszcgp
CaT,-0.384,rypbtsvvco
csmtbkvtej,ozayavyykl,329
-424,-994,cAt
0.0,doG,cAt
-0.4485,-823,wbymjasatu
dog,CAt,jgagclwtct
-0.3825,dog,CaT
sgmjatfnwn,dOG,-0.3065
vptvuqhpjb,-510,-0.427
CaT,dog,-118
blamszqazf,-609,bcnahxscic
482,-393,-571
0.469,ztjnkbbtqc,0.4105
dOg,cat,0.3855
0.2495,531,czvmfwscab
DOG,547,450
-726,zdbijwxyav,922
660,CAT,cAt
678,-0.205,0.1555
takosyqozq,0.466,cat
dOG,DoG,cfztalemir
ujkqvqqawt,5,-49
CaT,-0.1175,0.3455
-236,0.393,kcoquavmhc
pkwascywrh,DOG,ymjhcqfqfk
tvneqrpyiy,iidzjoaftt,xsugqapxao
992,nstpmiiejw,-0.285
undmfstfiy,627,-0.212
-118,-0.367,646
0.331,qmdgptctte,-473
-956,-0.424,582
reyciiixul,htflkgptvv,sdgztvabvg
0.16,-0.277,518
0.4175,ugegscivra,-745
0.086,893,DOg
0.303,0.317,Cat
693,237,0.333
dOG,zrzkqyshzv,0.4855
0.1865,0.395,doG
272,gngswfmfnj,-620
