jywkexdxuw,gxnaryugiz,qdthrfuija,wihjoeugfs
toailyrhkf,-906,891,CAt
gfnbgtydoi,rjtswhtfvg,-741,tvqsnnipfu
doG,0.299,-557,0.268
812,rofvtpazjt,msooxgquos,937
-781,-0.255,DOG,-0.0355
0.1665,-713,-365,wxyhvcumos
jmdeczbfrf,hbbntwmnes,ltarbgibkw,CAT
caT,-817,-0.0935,21
428,439,Cat,-507
0.234,-6,300,0.21
glicjqahup,vevfnjmybg,-977,250
398,416,0.3775,qkulwclujq
-532,cAT,caT,Cat
luqxmylcmb,-0.1485,Cat,0.1835
-65,468,616,-757
443,-720,apzlfyfbku,cAT
vdypnebnbj,oejrfywgxz,12,gilffbhgoq
-0.1965,cAT,elaondplcp,-561
-0.1435,463,tcymqsprak,-0.03
jzrxyjtcyk,801,-487,498
-0.102,anncqxbrtj,uwmghwgehn,-314
aosuqvccyv,jixomlzdwj,0.177,ayasvioqjq
182,624,-557,dOg
-0.2195,ynffpimrpy,1,-555
cAt,DOG,DOg,0.105
0.129,-423,doG,382
-559,DoG,doG,965
-956,hdqylctmlt,shjjhdiyku,xykapnopnb
kqyzbocpqu,-32,qmgjeelwem,dOG
282,223,Dog,Dog
-380,0.2835,-0.392,747
-91,-194,ynmarkuiut,218
ybwjbcuenu,0.3125,ffmyvalwik,cAt
0.2855,lcjmnpruwx,oddecprzme,dcofpxjbad
wevkshckbo,-0.14,yqjedzpkrd,795
0.459,fogcyqzuig,nnarakxgtx,514
-0.232,211,-0.1585,717
rghbngidre,doG,CAt,-0.476
-306,-0.118,-0.1355,zhnouvlxjr
0.0845,122,0.453,Cat
dOg,-154,vteoybglri,DOg
758,0.1905,-910,cdzxbzgydb
0.0095,zevurqnqyr,seuiuwqpxj,CaT
ynhympjynw,-0.233,cat,-0.404
hgkhalxwxe,0.408,bebresqazw,-0.4415
xrubkdizkt,luxjljzzqu,cat,gimpusueqj
gsagdqczbx,ypblombfjf,cyakwbdopo,0.15
849,wvnbkltnlq,-892,wmnmevhdag
fwaxwbxqkn,-625,dOg,-0.449
Cat,-682,-0.199,yxgvljetre
-784,xpfrsvhdnx,jlkfeofvbh,626
Cat,-0.1315,cat,zadesrpngo
468,655,0.376,Dog
-0.2535,mbyxhopcks,Cat,607
905,0.3925,-680,dOg
yewmkohzqp,cat,zmordrsfpu,-538
0.1715,acafovuvjb,0.288,cat
rjndmylebh,0.0895,0.4035,820
-0.3115,adiqonjano,0.426,-285
hzcarnxmjz,-0.4615,dOG,-0.162
-584,-0.496,zfnswodgtl,-0.014
syjfuxtrne,dvwhkdzmhm,692,359
-390,11,-801,0.3805
0.078,mkpuyboxzz,-792,725
-0.4815,840,CAt,frdxnihebl
DOG,CAt,Dog,-0.1695
cat,flrbqqxiyj,0.016,-0.32
dOg,219,bwnnbxxedo,0.387
-0.1015,417,cat,-0.0635
doG,Cat,uhwryxudtd,0.1645
319,hvhgyiwlcj,-393,-0.19
-0.29,0.2995,-343,-0.392
voaijyxwch,276,vtadcenall,-765
368,CaT,dOG,-321
0.3115,0.223,edsgsksjvy,-0.295
-190,-564,krvninthoq,-196
-508,-0.358,upvuiinomn,DOG
jwjywzqvbw,Cat,-401,0.1515
knhuiwtgyf,CAt,mnfyxrijfj,CaT
fycfpradib,jorjviwdls,CAT,-0.1095
-151,0.2345,-26,933
