lxflcrbggo,pEt,gtpqesmdsy,tzlfwnqoru,ltdqtuzsqw,cjzrczgcob
efmxqbremw,-0.3125,-0.0245,806,-0.071,981
CAt,dog,DOG,quvbcbzwzi,-614,iwshxrbgec
dqkybouzjf,-438,754,243,-0.141,caT
-0.487,0.245,0.4265,pjbunzhqxj,dnrzaozifb,0.483
679,dOG,-610,pznuwlpiie,dOg,0.1875
128,DoG,-0.438,Dog,0.373,-144
-279,caT,-0.415,-90,815,-830
-0.2835,caT,0.0505,-0.1855,dog,-0.359
-0.041,doG,yypmhswuru,uvbdyigtfa,caT,koaxwkqqtk
dOg,DoG,-610,45,0.332,dOG
858,DoG,rzrpvtafvy,dOg,746,312
-678,Dog,-853,691,0.1975,CAt
-0.4275,caT,0.453,cAt,cat,-0.2855
DOG,dog,0.4315,-409,ynnnrbxszf,doG
0.42,0.057,elyxuhfypp,0.191,dog,DOG
jbfevxmxsh,CaT,cAt,hnwnfsgsio,2,ufpmbygrie
0.241,624,-0.3945,0.083,-0.1475,685
ycwhfkvtad,cat,-176,0.293,509,kuraoxmfgn
0.054,cAT,yoshesrfcu,ysvzjhkgmw,-591,arcqchwdfa
0.193,CAT,-263,43,-0.1315,ikrtsgdmnj
wamxpmsqlc,0.2535,-314,-232,kjysydngad,-0.31
DOG,Dog,oflqldrkjo,-367,-0.3515,-0.158
kspqpcwuuw,cat,cat,wtpnypklud,-976,-767
ueuvdskswk,caT,646,-766,CaT,-796
0.0615,xyagjsqkoq,cAt,-0.2105,538,vizdiswhsl
CaT,Dog,evhvfaisfd,-0.0215,yqhzwwetdo,cat
