advsxdikxz,oyzcruhrhc,yzpcxxcdqo,illjstarwu,jjxsbehlyu,weruoqnxno
-0.1695,fpmqazqsif,kjndhzdusd,-802,jkjjspsbhk,789
vdrqlbwvxr,mntdauaofi,CAt,Dog,0.389,-938
lgamejtyty,nyotmjscjl,250,Dog,0.2905,-0.445
-0.0865,162,0.3215,0.481,-0.1615,693
mbxwdeatot,qwqlipjeld,vwlbazfbgt,CAt,0.392,0.4505
-71,716,dvkydztpfa,-0.462,-481,513
0.1765,273,-0.065,yicelsyott,dsuojqpwis,tvesvpizhe
dceanlkasp,569,-188,yknmhfiadj,tnbdgwmeuh,0.439
211,jffpxkgshq,-57,225,-257,-0.001
zrjhdubike,999,-910,cAt,0.1315,ojgxegszem
cAT,20,DOg,889,-0.18,dog
kmdnxdbdau,-151,-606,199,oynghhkews,-0.228
doG,-0.315,DOg,DOg,812,-32
CAT,znsukelrjs,713,kgovckgxfy,wsvadxhgjp,0.1465
haynlmzbmu,909,-35,-0.485,0.214,cAt
719,dOG,78,-831,-0.4535,iwmqxhmfdy
ujebpdnwvp,wgizjbwmqv,kysmldltod,278,wshnshdfxl,CaT
iwsuwysofb,-993,434,mqnvuqbrcy,970,dog
dog,-68,cAT,cutzeozczp,wsvrpdpjkj,uxboeanzhp
onvcaukgny,Dog,-0.132,-0.025,dog,48
mqbjawqjxj,dqkkxwmwph,caT,plszidtbmm,593,dtblpuawtq
-208,0.205,-0.462,lfiuwahkca,dihcvzcbta,-645
-0.2175,526,-952,-811,-0.225,mdiuryicgb
CaT,-0.1605,0.1115,-259,DOG,caT
bhfsokfggf,603,-756,usnoipxqms,-708,wdndfsfcid
CaT,-0.162,-0.3355,fmmwgxtdjf,CAt,acnwhyuwpm
Cat,-0.025,-479,ilbilcbnvi,928,rhugkdfxvx
-0.2315,epgehppjnb,-510,0.0085,0.338,svrqhmmcif
-0.1435,-0.09,uhwvntaaye,jadbitovuv,0.344,-0.0355
0.458,-287,CaT,-0.049,0.1155,-0.285
gtimpblkcr,-585,cpvekpefer,48,274,288
0.309,-0.0305,763,knwrsupefa,0.022,-58
cAT,753,-0.025,egnyfrmpri,0.024,369
-996,-759,112,isqcphpurs,397,-314
cat,0.256,dohdouqmog,CAT,Cat,-0.4735
-0.34,elidsmtlir,0.16,rbhteymotc,758,-0.29
-866,-586,-0.0995,dgtqfulmnx,-0.026,-0.168
