odaazkqjlb,fadqakebxa,zycaxsmaub,wphexfeffy,geyrmbxjpz,fpzwwhvien,PeT
0.0385,yeypmdeqpw,bbberlukdl,821,dnuokozdzg,0.3035,DOG
0.294,313,0.467,eenhgxzfqm,dxqxufjnin,-182,0.0915
0.142,451,-491,-784,Dog,CAt,dOG
Cat,dOG,caT,682,-0.0645,908,DoG
CaT,uftyxnofqu,DoG,184,-0.2575,0.051,dog
-0.2055,vktkhzpcuu,DOG,982,512,257,CaT
ipfmnvyekz,DOG,472,tnwngezdub,qltxybcosu,dvgtjvbcay,dOg
-0.12,-0.311,cat,602,0.249,dOg,Dog
-0.0625,0.2655,-676,122,-0.2885,rgpdffioea,CaT
dOg,344,cAT,wmsftjlzlq,-0.278,cAT,doG
-493,sqavgoiuqi,wrjsfjdcwi,760,cAt,oarhkvbawe,dOG
doG,-0.294,-0.468,0.355,-0.234,183,-661
-0.4385,549,dOG,cat,tnzmmddbjh,cAT,cat
osjvokrzky,-769,0.2375,DOG,-0.0455,ewblzcavyx,0.1345
0.1185,doG,-498,mhtrzmszqq,DOg,-0.207,CAT
0.3775,0.3685,900,ygonoknlkh,cxocqcnddq,cAt,CaT
-0.2695,uruixkbcir,0.308,0.4385,-313,0.393,doG
-760,dOg,doG,CAT,itswhhkghl,463,0.343
bspsqqtmys,CaT,-0.3395,DOg,lhroevjego,dOG,dOg
-179,0.4885,525,0.456,695,cAt,-795
CAT,0.1645,-0.123,-0.4825,jtuzoocbcw,-0.415,Cat
825,vxlxtqeulq,cAT,doG,yugumlgivo,-197,CAT
pwnizcnvvv,-956,nwojpfwxvy,0.38,sldkkipudt,0.4745,DOg
751,-0.0785,0.023,79,DOG,944,Dog
0.2965,-199,674,-0.1685,732,-562,Dog
jvdbpjbflp,285,nhtduwhfdi,mzytddeese,-0.0635,-619,DOG
gzgfsaepzs,-785,xfuczbjdeg,273,0.283,-662,caT
-0.4665,ivhlluyofs,yithyjfifg,570,vztjitzqfv,-0.4885,ohrvojecuy
