dnbfiwiwtu,mwylncvvxt,tgppxxtgmq,puliwnyjem
0.136,CaT,730,fktlogvodv
vabdpbudqg,CaT,557,-0.2165
-0.1595,0.496,0.4675,-0.1945
-488,-0.0615,0.3605,382
-0.4205,dttlyavjit,52,557
0.228,29,ujdfkutufj,-531
-0.377,645,cmuqhvuvue,bjpaethjuj
0.475,DOG,pmwzczozcp,-622
-662,-0.4175,CaT,Cat
-0.4515,-97,haxmcgyqwy,0.2025
-865,-0.3625,-0.373,clmfaxipsn
tsevhajkbw,dOg,Cat,973
610,CAt,DOG,cAT
ijfuvkubzw,koogssrxch,DoG,cat
706,351,senwmasuba,0.4315
555,-0.0055,myeaxvqcfk,kklwssipej
-0.189,12,yaijiuxqxu,0.2825
0.384,-184,-0.042,109
bufjpqfpex,-0.12,-483,euntmgzlsl
doG,-900,pghwmcutgw,684
ppochqzenr,0.1575,ehyxvnhhff,129
-0.005,987,-65,zbzogpqltl
-0.1615,671,-0.281,0.3135
-866,CAT,-0.1035,caT
dOG,DOg,-0.0155,0.0605
acszjyhkwq,DoG,-778,-76
pabnsvmpvi,0.1895,-374,0.2315
0.2245,-0.492,-771,cezmdgligo
0.376,aqwqlizqal,-702,-234
-0.388,0.476,iprlneicru,-0.4655
yuywydowru,-312,-0.302,-488
lsytygsobs,cat,0.1065,wzuarcrbql
cAT,-0.178,tuvybbrmau,225
hfejfqffcy,xzumejlanc,-16,-0.3045
CAT,-623,85,ztzxtfvjjt
yabgbqtjzb,cghyhzufbu,akawdyzqqv,cAT
mhmairbkvd,dog,heydnarhax,0.449
dOG,0.2595,xzlwbnsydt,-0.008
DOg,-451,sukzomttoz,-452
0.203,-108,Dog,-0.245
0.2065,0.3395,-692,zcqfmpcfdb
mqddjgdmfx,wuawsyoxwt,0.1355,-704
qittgshnhj,DoG,-0.302,DOG
62,doG,krjgycfwoc,qtddfalzxr
CAT,0.22,jfssbllzfw,dOg
85,-0.151,Cat,-0.4815
0.3615,chmdpwmblf,xxrdgtxjsb,0.177
okkcewhlam,210,26,0.1105
0.4945,614,-0.079,alvipzjtyg
iphtqsbuvm,-0.0445,-983,-991
cpepjcdgvu,0.448,-0.0085,-353
0.217,-35,dhefktdvfc,594
louwmaymxo,-25,cat,-0.266
czsfdbyntj,atosbbkugd,tzxbxifnra,cihgllqqno
Dog,0.048,kfvxdwlxox,0.061
90,0.2225,mobqmbdgnc,kpoxmevouz
595,cat,DOg,mrcxqjortf
0.4475,493,621,zmxgspieuk
-0.422,itdxvvnwcp,dog,dOG
781,-657,-0.4835,ojmghtjwlp
-0.142,-0.032,caT,-0.185
202,yawyswdalg,0.4145,dibuyghfti
0.2215,tbacqhbfbb,phodyvcmur,-0.3845
0.3675,-0.0265,-0.413,0.0085
0.2635,CAt,pyzqqruyos,wkjymgpepi
qbmcqrbsnb,vupbsqswjj,bbssjkwseu,-604
aqvmfxugsn,408,hxnhaoqaoo,0.1765
-3,bttmxctrzy,887,0.0485
DOg,-0.435,vrtzukqpct,qhwaernvmg
kjezpontmm,403,0.312,0.3565
-0.265,0.3635,-435,0.4895
0.009,85,296,DoG
498,grrhzhrhut,vqoojdvxox,Dog
kaoovhazie,-766,792,sqrjuknnyp
xyzkkrlzfc,zsqvjdiuda,212,DOg
-937,-900,pxdwvdvayc,-641
-225,sasivudjvu,DoG,dOG
9,0.3275,bnlabxgaqq,683
dog,nbvvaqdkbh,0.2665,crortuobvi
-135,0.068,DOG,0.246
kdlidcylkm,0.4915,dOg,ihwzdbcgjm
-670,737,DOg,81
-483,xxieqpgtuk,acxmnzbuye,cat
