tjxrcldmwf,yyczuusvkn,btipseumng,mjpcwtayqs,exjcfojobv
0.0865,dvgwqihgtc,-588,Cat,-649
raqmjykdhj,hvqgsnuthi,-610,cat,dOg
-0.104,doG,-446,-453,-0.429
gwsiwzombt,yekncjaaut,0.002,312,-529
0.4265,0.478,CAt,534,-0.202
vorjczifnl,0.3195,-463,gwmahvunla,-655
-92,815,64,qsrszstvva,415
mblfguvniu,drxhhoqzug,dOg,xuyliakjyb,caT
683,jpolbwplam,awlriezxrl,-0.397,DOG
-303,zzaqbudtwb,-0.292,bfmzzrodkm,-0.4085
-324,pffgfpmoay,0.117,kxpcauamgt,161
253,cAT,-0.31,327,504
ckmqjxncjn,0.3795,0.464,cihetvzpsl,yewicdxmnl
-0.016,0.091,0.249,261,DoG
zpjdnugbpd,ihoehceluy,358,-0.012,CAT
rhmywgrgzy,cat,ulpsoathrq,-710,0.054
izwlqhtwkq,caT,0.1115,tbfzrfitrh,caT
cat,-0.132,0.124,cAT,0.404
cAt,gkybqnnsau,-414,-96,eyqruhfsvw
snllaupqke,0.285,281,-0.247,iunaiznjet
qytsahinef,-0.2515,cnvqxemfqr,-402,0.146
rniwyfxfui,109,-434,mbckeebuxs,zullizaxmv
CAt,Cat,vjucouwqxx,sbbqsfazgo,-141
0.2335,0.194,wrltoakdwr,-0.179,-0.475
138,640,363,858,-0.3365
0.156,-953,tumbxxdffo,128,lchfhskzog
-0.142,uumkdqhogx,rfkzfvrdnj,0.386,-0.132
sfswgbijsg,-0.1535,saiqcbdwsp,843,dog
-26,-799,0.382,-0.159,530
CaT,-0.456,-0.4515,cAT,DoG
kowwhslwhl,878,0.417,lcvdblvkgo,cat
-386,dOG,-0.2265,ugcypihlsq,-0.454
0.498,0.3775,-774,0.412,-872
-898,0.0345,-0.2675,-0.1365,dog
-0.2165,ygslsbrcjv,0.185,qvidymooia,-616
0.417,-604,xqfjunoith,Dog,doG
-0.0895,616,DOG,-213,0.0725
0.0195,avrezgyteu,-0.102,0.4375,CAT
ijkjkezqhq,-0.1065,-182,dcsabjedca,-991
0.4865,lgawdcffkb,takkqvzzcs,cAT,0.2835
DOG,973,0.019,210,-0.397
947,DOg,0.484,0.252,214
bihnarnche,41,dOG,603,-0.2995
470,cAT,-0.383,564,-45
-0.012,-0.0545,0.382,jjjdyqpmnd,DoG
asrmeyspel,632,0.2785,-871,809
565,-0.4195,-0.0245,pdvcbqelsc,-134
0.4755,gzdmjyyszk,zgsqiyomcf,677,-113
bzwbjyakhx,knvuytnwrv,285,-0.0035,-173
957,tqtnyrvoar,-506,0.1655,-0.257
46,-0.2345,CAT,-0.0905,834
-325,-0.2475,-449,-0.0075,983
-477,407,snkaraeohd,Dog,CAt
-570,-896,vdduxibowr,Cat,ohwivlcrlg
caT,cAt,DoG,-852,wutzljnwgb
-0.276,166,-0.1815,-0.3545,0.408
DoG,dOg,-0.423,225,yurluuzpsp
cAt,CaT,kimesxbqtb,-744,ckrfxuuqpi
wvoncccnem,0.4935,-501,-711,-257
0.0755,998,0.116,-566,489
ifwhyncsio,-461,0.069,DoG,878
-121,aysopsjvce,-0.3485,-639,-602
-0.0005,0.281,hdbzwbvvrb,cnprxxivql,Dog
0.221,-0.2305,0.087,doG,vzrvucjejb
723,-0.15,0.032,0.2345,zzgygucwdc
-0.304,dOg,0.3815,DOg,DOG
-194,kstwuyktvk,-891,497,Dog
hwbvitzvmm,46,0.07,-136,vqakhxufnk
-0.222,-0.1625,almrpphdvm,xrtozstqhc,-0.1465
doG,dOg,hvklewuxrf,711,bxkualcrdu
423,-732,-995,0.4455,-0.4185
0.138,-0.116,dOg,-0.152,0.192
0.318,-0.452,0.365,qskfkcvixr,dOG
nkspjooxif,xbhvhnyqsa,158,-370,ubhmtcasmz
caT,520,0.245,caT,ckwzmwntkx
0.149,-0.289,896,ofzocuaqhy,-0.206
rzmsayhqvv,-368,gxwcbcducj,cAt,0.1445
0.269,CAt,pqtayndxlu,-0.285,-102
0.027,339,-775,qjxbjkwhst,gzpxwfevey
0.393,0.06,0.4525,plowdlerka,kbzdlxehcw
cat,CAT,0.1945,0.109,14
xwpnmldxzu,-0.233,cat,ftyfxzrrga,dOG
