cbqpkcsfpd,biyrvawrdp,jlbqokseye,hcesopetif,Pet
0.3495,pujzupkqvz,0.215,-91,caT
Cat,bqafwjpeuc,CAt,xrwcilphme,cat
doG,-0.1125,mnyfmhnrfm,jhlkkdydez,-0.346
0.0135,wgngilpjcd,894,-0.2505,cAt
CAT,dOg,DoG,355,CaT
0.021,Cat,-0.1585,0.421,0.49
-0.2875,-0.0375,0.2065,qahatifxqy,CaT
442,-0.417,ppxxrxbpda,560,DOG
-354,-669,-0.107,qvzfiucfse,dscoxdubvo
0.3035,0.121,-624,-130,DoG
gilhjyvvsy,Dog,-0.3005,111,971
doG,755,DOg,-0.022,DOg
tviqltajob,nxvkhrjxiv,-386,fifdoyzbhb,lihiqlvyre
-853,892,mvkhckshuu,Cat,Cat
syckkgbvjl,327,cat,DoG,-875
ckhsacpzcf,smdcxohegh,-0.112,cAT,-472
hmiblssscv,0.4285,gutkkyaoaf,lrysevmwzj,CAT
ltvgrvhvhm,-554,-606,498,Dog
-708,iwrzeebwxn,136,moxkdhxmdj,DOG
245,CAT,-0.4955,jwwicugjzk,-0.421
Cat,0.347,akubbyalje,-0.4965,Cat
-0.4045,-148,dOg,bgmzlmofhe,CAt
DOg,-788,-388,0.0275,hgkyuakktk
yxrvqjtejt,jpsrnrmayj,-0.356,0.025,uvdudhpcnx
ogltoiijla,DOg,zweerehrgu,gbbhkmeung,vkssjknyil
-984,zsrpzrqlvn,-292,0.38,caT
603,iuleaaelyg,172,tsykqvdyir,CaT
cAT,0.464,cat,zpgtddzcrh,cAT
0.0585,krsohwampy,-669,-0.427,CAT
-251,0.1055,802,650,CaT
-0.1665,jrcrdmfsto,CaT,xwdhweipif,28
caT,CAT,783,dsdpcdwgsr,dog
iuvbhderah,nbwnjrujhb,91,znrllrbgkb,DOg
-0.0075,caT,omciwnxuxr,186,dog
-423,-570,qtclfyufhk,0.472,-0.362
yexjkjegkt,jeruberfqy,902,sepmuzyldw,doG
662,Dog,-0.0425,-812,cAT
425,cAT,rzkxykdznk,frlcvhxeoy,doG
